
[00:00:00.000 --> 00:00:03.320]  大家翻看聖經第十四章的經文
[00:00:03.320 --> 00:00:09.800]  在讀十四章之前
[00:00:09.800 --> 00:00:11.000]  我想先提醒大家
[00:00:11.000 --> 00:00:14.000]  大家會記得在詩篇有一句很重要的經文
[00:00:14.000 --> 00:00:19.400]  聖經說「我的心那,你要迎歸安樂」
[00:00:19.400 --> 00:00:23.200]  因為耶和華用後因待你
[00:00:23.200 --> 00:00:29.200]  我們常常都會感受生活有不少的難處
[00:00:29.600 --> 00:00:33.400]  但每當想到神用後因待我們
[00:00:33.400 --> 00:00:36.000]  我們的心就可以安樂
[00:00:36.000 --> 00:00:40.000]  就可以放心跟隨上帝
[00:00:40.000 --> 00:00:43.600]  我們需要認識神的恩典
[00:00:43.600 --> 00:00:45.800]  神的恩典是很大的
[00:00:45.800 --> 00:00:47.800]  因此很多時候
[00:00:47.800 --> 00:00:50.600]  當我們認識到神的恩典這麼大的時候
[00:00:50.600 --> 00:00:53.800]  我們就不會掛心很多所面對的事情
[00:00:53.800 --> 00:00:57.600]  恩典從另一個角度來說就是能力
[00:00:58.000 --> 00:01:01.800]  恩典幫助我們做到自己做不到的事情
[00:01:01.800 --> 00:01:04.400]  得到我們不應該得到的
[00:01:04.400 --> 00:01:08.000]  在期間認識神的恩典和能力
[00:01:08.000 --> 00:01:10.400]  我們就可以安穩
[00:01:10.400 --> 00:01:13.200]  也可以被神所使用
[00:01:13.200 --> 00:01:17.200]  知道神能夠在我們生命當中賜給我們能力
[00:01:17.200 --> 00:01:20.000]  可以侍奉祂、可以見證祂
[00:01:20.000 --> 00:01:22.400]  因此在基督徒人生當中
[00:01:22.400 --> 00:01:25.600]  常常思想神的恩典與能力
[00:01:26.000 --> 00:01:28.200]  去尋求這兩方面
[00:01:28.200 --> 00:01:32.400]  我們就在神的裡面更加豐盛地成長
[00:01:32.400 --> 00:01:35.400]  有時候面對著一些衝擊
[00:01:35.400 --> 00:01:37.400]  好像《約翰福音》十四章
[00:01:37.400 --> 00:01:39.000]  一開始的時候提及到
[00:01:39.000 --> 00:01:41.800]  門徒當時面對著一些衝擊
[00:01:41.800 --> 00:01:44.400]  因為他們聽到主耶穌說
[00:01:44.400 --> 00:01:46.600]  祂將要被舉起來
