
[00:00:00.000 --> 00:00:05.000]  今天是六月四日,可以唐的正日生日
[00:00:05.000 --> 00:00:07.000]  很多時候都不記得
[00:00:07.000 --> 00:00:10.000]  因為很多因素,各位解釋過
[00:00:10.000 --> 00:00:14.000]  所以不是第一週,我們用唐慶月
[00:00:14.000 --> 00:00:19.000]  多數是第六月最後一週才唐慶崇拜
[00:00:19.000 --> 00:00:22.000]  但我們在二十八年前
[00:00:22.000 --> 00:00:27.000]  原來我入職時,剛好是第一次崇拜
[00:00:27.000 --> 00:00:34.000]  崇拜是星期日,我還記得
[00:00:34.000 --> 00:00:37.000]  眨眼一段日子
[00:00:37.000 --> 00:00:45.000]  今年上半年,我們其中一個港道系列
[00:00:45.000 --> 00:00:48.000]  透過同工一起分享
[00:00:48.000 --> 00:00:52.000]  《約翰福音》這七個「我是」
[00:00:52.000 --> 00:00:56.000]  「我是」即是耶穌說祂就是神的意思
[00:00:56.000 --> 00:01:01.000]  眨眼原來是六月第七個
[00:01:01.000 --> 00:01:03.000]  中間有些是一起說
[00:01:03.000 --> 00:01:08.000]  「楊的門」和「好木人」是同一段經文
[00:01:08.000 --> 00:01:13.000]  這次的題目是「處在哪裡」
[00:01:13.000 --> 00:01:15.000]  很熟悉的經文
[00:01:15.000 --> 00:01:19.000]  葡萄樹和枝子剛才也在讀經時
[00:01:19.000 --> 00:01:22.000]  重溫讀過一段經文
[00:01:22.000 --> 00:01:27.000]  這段經文讓我們想到或重溫
[00:01:27.000 --> 00:01:31.000]  其實七個「我是」也很有意思
[00:01:31.000 --> 00:01:36.000]  但也離不開我們其中有同工分享過
[00:01:36.000 --> 00:01:39.000]  《約翰福音》二十章三十一節提到
[00:01:39.000 --> 00:01:44.000]  記者之時,要叫你們信耶穌基督是神的兒子
[00:01:44.000 --> 00:01:48.000]  七個「我是」展示耶穌是神的兒子
[00:01:48.000 --> 00:01:52.000]  並且叫你們信了祂,就可以因祂的名得生命
[00:01:52.000 --> 00:01:54.000]  這個「得生命」離不開
[00:01:54.000 --> 00:01:59.000]  好像今日經文我嘗試了解兩個重點
[00:01:59.000 --> 00:02:03.000]  其實都是說屬靈的關係
[00:02:03.000 --> 00:02:05.000]  我們和神屬靈的關係
[00:02:05.000 --> 00:02:07.000]  並且信仰實踐
[00:02:07.000 --> 00:02:11.000]  雖然七個「我是」用不同的展示
[00:02:11.000 --> 00:02:14.000]  耶穌是怎樣的一位神
[00:02:14.000 --> 00:02:16.000]  和我們的關係離不開
[00:02:16.000 --> 00:02:20.000]  並且和祂的關係並不是停留在一種關係
[00:02:20.000 --> 00:02:22.000]  並且有信仰
[00:02:22.000 --> 00:02:24.000]  這可能是使命的實踐
[00:02:24.000 --> 00:02:30.000]  祂的關注並且很延續這個訊息
[00:02:30.000 --> 00:02:33.000]  所以有些分段就說
[00:02:33.000 --> 00:02:35.000]  剛才讀的經文十七節
[00:02:35.000 --> 00:02:38.000]  主要是耶穌是葡萄樹
[00:02:38.000 --> 00:02:40.000]  天父栽培人
[00:02:40.000 --> 00:02:41.000]  一至四節
[00:02:41.000 --> 00:02:43.000]  說這種關係結果子
[00:02:43.000 --> 00:02:46.000]  並且會神的道修理
[00:02:46.000 --> 00:02:48.000]  五至八節就強調
[00:02:48.000 --> 00:02:51.000]  耶穌是葡萄樹
[00:02:51.000 --> 00:02:53.000]  我們上面已經說了「之」字
[00:02:53.000 --> 00:02:55.000]  不過這裡再清楚
[00:02:55.000 --> 00:02:58.000]  「你們」時節只是說我們屬主的人
[00:02:58.000 --> 00:03:01.000]  需要結連於樹的那種關係
[00:03:01.000 --> 00:03:04.000]  到九至十一節就說
[00:03:04.000 --> 00:03:07.000]  神吩咐我們有的命令
[00:03:07.000 --> 00:03:09.000]  彼此相愛的命令
[00:03:09.000 --> 00:03:11.000]  總結十一至十七節
[00:03:11.000 --> 00:03:14.000]  我認為是再次重溫
[00:03:14.000 --> 00:03:18.000]  所以你覺得讀經文好像有些重複反複
[00:03:18.000 --> 00:03:22.000]  將耶穌重要想跟我們說的訊息
[00:03:22.000 --> 00:03:26.000]  他說因著神愛和祂的道中
[00:03:26.000 --> 00:03:29.000]  那種滿足並且實踐
[00:03:29.000 --> 00:03:31.000]  吩咐新的命令
[00:03:31.000 --> 00:03:34.000]  彼此相愛的命令進入這種關係
[00:03:34.000 --> 00:03:38.000]  甚至祂說你以前可能是僕人對主人
[00:03:38.000 --> 00:03:40.000]  祂說我視你們是朋友
[00:03:40.000 --> 00:03:42.000]  這個意思跟相愛有關
[00:03:42.000 --> 00:03:44.000]  祂揀選我們
[00:03:44.000 --> 00:03:46.000]  分派結果至
[00:03:46.000 --> 00:03:48.000]  所以剛才一個重點
[00:03:48.000 --> 00:03:51.000]  屬靈的關係和信仰的實踐
[00:03:51.000 --> 00:03:53.000]  這種關係在哪裡
[00:03:53.000 --> 00:03:57.000]  其實跟今天的題目住在很重要
[00:03:57.000 --> 00:04:00.000]  這是經文表達的意思
[00:04:00.000 --> 00:04:03.000]  今天問你住在哪裡你會怎樣回答?
[00:04:03.000 --> 00:04:04.000]  很快吧
[00:04:04.000 --> 00:04:07.000]  鴨脷洲或者海兒半島
[00:04:07.000 --> 00:04:09.000]  你會不會回答我住在香港
[00:04:09.000 --> 00:04:10.000]  也會吧
[00:04:10.000 --> 00:04:12.000]  我住在亞洲
[00:04:12.000 --> 00:04:13.000]  越說越大
[00:04:13.000 --> 00:04:15.000]  我住在地球
[00:04:15.000 --> 00:04:18.000]  如果你問隔壁的你住在哪裡
[00:04:18.000 --> 00:04:21.000]  他會說我住在主裡
[00:04:21.000 --> 00:04:24.000]  你說是屬靈還是說笑
[00:04:24.000 --> 00:04:25.000]  住在主裡
[00:04:25.000 --> 00:04:27.000]  好像沒有說
[00:04:27.000 --> 00:04:30.000]  但我不是問你這樣
[00:04:30.000 --> 00:04:33.000]  不過我們住在哪裡你會有什麼考慮
[00:04:33.000 --> 00:04:35.000]  除非你沒有選擇
[00:04:35.000 --> 00:04:37.000]  如果你有選擇
[00:04:37.000 --> 00:04:40.000]  希望住近家人
[00:04:40.000 --> 00:04:44.000]  可能我的親家住在同一屋苑
[00:04:44.000 --> 00:04:45.000]  方便照應
[00:04:45.000 --> 00:04:49.000]  或者你希望上班方便
[00:04:49.000 --> 00:04:52.000]  我一樓走到隔壁附近的街
[00:04:52.000 --> 00:04:54.000]  車都不用坐就好了
[00:04:54.000 --> 00:04:55.000]  睡晚一點
[00:04:55.000 --> 00:04:58.000]  或者有些為了子女會搬屋
[00:04:58.000 --> 00:05:02.000]  因為我子女的學校在沙田
[00:05:02.000 --> 00:05:05.000]  我就搬到近的地方
[00:05:05.000 --> 00:05:08.000]  很正正的考慮
[00:05:08.000 --> 00:05:10.000]  或者我希望回教會方便一點
[00:05:10.000 --> 00:05:11.000]  近一點
[00:05:11.000 --> 00:05:13.000]  很多的考慮
[00:05:13.000 --> 00:05:16.000]  住在哪裡重要
[00:05:16.000 --> 00:05:19.000]  希望對自己好
