
[00:00:00.000 --> 00:00:02.520]  我們會繼續思想在這個季度
[00:00:02.520 --> 00:00:04.000]  我們會一起探討
[00:00:04.000 --> 00:00:07.280]  如何學習更多去施恩與別人
[00:00:07.280 --> 00:00:09.840]  正如我們的使命所說
[00:00:09.840 --> 00:00:14.320]  施比受更為有福的一個重要的方向
[00:00:14.320 --> 00:00:16.800]  今天我們嘗試從第一個角度去看看
[00:00:16.800 --> 00:00:19.680]  就是不單止學習去施恩與人
[00:00:19.680 --> 00:00:22.400]  當我們自己承受恩惠的時候
[00:00:22.400 --> 00:00:25.920]  我們在接受別人的恩惠當中
[00:00:25.920 --> 00:00:30.160]  應該抱著什麼態度去思想
[00:00:30.160 --> 00:00:32.560]  我想先提起一件自己過去的事情
[00:00:32.560 --> 00:00:33.640]  很多年之前
[00:00:33.640 --> 00:00:35.160]  當我讀神學的時候
[00:00:35.160 --> 00:00:37.800]  我曾經申請一個基金會
[00:00:37.800 --> 00:00:41.280]  資助神學生的經費
[00:00:41.280 --> 00:00:43.640]  當時我申請的時候收到他們的信
[00:00:43.640 --> 00:00:45.280]  那封信很長
[00:00:45.280 --> 00:00:47.240]  提了好幾個原則
[00:00:47.240 --> 00:00:48.760]  第一個原則是
[00:00:48.760 --> 00:00:51.840]  我們願意支持你的神學訓練
[00:00:51.840 --> 00:00:55.280]  但希望你自己也會盡你自己的責任
[00:00:55.280 --> 00:00:57.320]  有你能夠自己承擔的
[00:00:57.320 --> 00:00:59.800]  你就自己盡量承擔
[00:00:59.800 --> 00:01:01.720]  我說非常之好
[00:01:01.720 --> 00:01:03.320]  我很同意
[00:01:03.320 --> 00:01:04.080]  接著他說
[00:01:04.080 --> 00:01:06.880]  你接受了我們資助之後
[00:01:06.880 --> 00:01:09.400]  你成為了我們的會員
[00:01:09.400 --> 00:01:12.800]  我說難道資助就成為了會員
[00:01:12.800 --> 00:01:15.680]  我也是第一次當時知道
[00:01:15.680 --> 00:01:18.040]  的確在我後來畢業之後
[00:01:18.040 --> 00:01:21.440]  這個機構還是不斷將信件寄給我
