
[00:00:00.000 --> 00:00:02.000]  以色列人告訴我們
[00:00:02.000 --> 00:00:07.000]  以色列人亡國之後的幾十年
[00:00:07.000 --> 00:00:09.000]  被巴比倫滅了
[00:00:09.000 --> 00:00:13.000]  是他們國家最大的恥辱
[00:00:13.000 --> 00:00:15.000]  也是他們最黑暗的日子
[00:00:15.000 --> 00:00:19.000]  偉大的所羅門所建的聖殿
[00:00:19.000 --> 00:00:22.000]  也從此不再存留
[00:00:22.000 --> 00:00:24.000]  被人燒了拆了
[00:00:24.000 --> 00:00:27.000]  但是神按照他的應許
[00:00:27.000 --> 00:00:31.000]  當波斯帝國取代了巴比倫帝國的時候
[00:00:31.000 --> 00:00:34.000]  波斯的皇帝古列
[00:00:34.000 --> 00:00:35.000]  上任的時候
[00:00:35.000 --> 00:00:38.000]  突然間做了一件很奇妙的事
[00:00:38.000 --> 00:00:41.000]  按照神自己的應許
[00:00:41.000 --> 00:00:45.000]  容讓猶太人回歸耶路撒冷
[00:00:45.000 --> 00:00:47.000]  重建他們的聖殿
[00:00:47.000 --> 00:00:50.000]  這個真是一個夢想的出現
[00:00:50.000 --> 00:00:51.000]  夢想了幾十年
[00:00:51.000 --> 00:00:56.000]  終於可以真的成為事實
[00:00:56.000 --> 00:01:00.000]  這個就是以色列的第一章我們所見到的
[00:01:00.000 --> 00:01:02.000]  到第三章我們見到
[00:01:02.000 --> 00:01:05.000]  以色列人就準備了所有的東西
[00:01:05.000 --> 00:01:07.000]  回到耶路撒冷
[00:01:07.000 --> 00:01:11.000]  古列王更加將到當日
[00:01:11.000 --> 00:01:14.000]  巴比倫王尼布格尼撒
[00:01:14.000 --> 00:01:17.000]  在這個聖殿裡面搶走那些金器銀器
[00:01:17.000 --> 00:01:19.000]  給回以色列人
[00:01:19.000 --> 00:01:24.000]  將他們可以等待將來建的新的聖殿上
[00:01:24.000 --> 00:01:26.000]  你說是不是一切都多麼完美
[00:01:26.000 --> 00:01:27.000]  多麼美麗
[00:01:27.000 --> 00:01:31.000]  他們就建聖殿的殿基做了
[00:01:31.000 --> 00:01:33.000]  然後獻祭
[00:01:33.000 --> 00:01:36.000]  然後就開始他們的建殿
[00:01:36.000 --> 00:01:39.000]  這個可以說是一個夢想成真
[00:01:39.000 --> 00:01:42.000]  不過第四章就告訴我們
[00:01:42.000 --> 00:01:45.000]  馬上就變成噩夢
[00:01:45.000 --> 00:01:46.000]  因為他們這個夢想
[00:01:46.000 --> 00:01:51.000]  立即遇見很多的困難
[00:01:51.000 --> 00:01:52.000]  我們打開聖經
[00:01:52.000 --> 00:01:55.000]  剛才我們所讀的那一段
[00:01:55.000 --> 00:01:57.000]  如果是用唐用的聖經
[00:01:57.000 --> 00:02:01.000]  是舊約的682頁
[00:02:01.000 --> 00:02:05.000]  或者我們唐用聖經的682頁
[00:02:05.000 --> 00:02:08.000]  以色列記第四章最後
[00:02:08.000 --> 00:02:10.000]  到第五章
[00:02:10.000 --> 00:02:12.000]  剛才我們所讀的那一段聖經
