
[00:00:00.000 --> 00:00:02.480]  大家打開12、13頁
[00:00:02.480 --> 00:00:04.280]  我們看到昨晚說到
[00:00:04.280 --> 00:00:06.280]  差不多一個總結
[00:00:06.280 --> 00:00:09.880]  我們用這個肥勒比書裏面三段較為短的經文
[00:00:09.880 --> 00:00:11.320]  配合起來
[00:00:11.320 --> 00:00:15.320]  就看到一個教會不單止要互相有一個好的團契
[00:00:15.320 --> 00:00:16.520]  昨晚說了
[00:00:16.520 --> 00:00:18.520]  第二章前面那十一節
[00:00:18.520 --> 00:00:20.520]  還有原來教會
[00:00:20.520 --> 00:00:22.520]  是幫我們一起站立
[00:00:22.520 --> 00:00:24.920]  一起同心合意
[00:00:24.920 --> 00:00:28.520]  去面對人生和外面的衝擊
[00:00:28.520 --> 00:00:30.520]  昨晚我們說到
[00:00:30.520 --> 00:00:32.520]  我們能夠一起站立的時候
[00:00:32.520 --> 00:00:34.520]  我們有同路人的時候
[00:00:34.520 --> 00:00:37.520]  我們就不會怕敵人的驚嚇
[00:00:37.520 --> 00:00:40.520]  為什麼我們不會怕敵人的驚嚇呢
[00:00:40.520 --> 00:00:41.520]  敵人
[00:00:41.520 --> 00:00:42.520]  我們昨晚說過
[00:00:42.520 --> 00:00:44.520]  敵人不一定是某一個人
[00:00:44.520 --> 00:00:46.520]  或者某一班的人
[00:00:46.520 --> 00:00:47.520]  敵人可能是你人生的際遇
[00:00:47.520 --> 00:00:49.520]  可能是你面對的逆境
[00:00:49.520 --> 00:00:51.520]  逆境來的時候
[00:00:51.520 --> 00:00:52.520]  敵人來的時候
[00:00:52.520 --> 00:00:54.520]  為什麼不怕驚嚇呢
[00:00:54.520 --> 00:00:56.520]  我們昨晚看了一些很重要的信息
[00:00:56.520 --> 00:00:58.520]  因為我們說
[00:00:58.520 --> 00:01:00.520]  第一我們對自己有所要求
[00:01:00.520 --> 00:01:04.520]  我們有一種底線在這裡
[00:01:04.520 --> 00:01:06.520]  好萊塢說我們底線就是
[00:01:06.520 --> 00:01:08.520]  凡是信服基督的
[00:01:08.520 --> 00:01:10.520]  都預了為他受苦
[00:01:10.520 --> 00:01:13.520]  不信耶穌的人都會受苦
[00:01:13.520 --> 00:01:15.520]  信耶穌的人都會受苦
[00:01:15.520 --> 00:01:17.520]  不過信耶穌的人每一次受苦
[00:01:17.520 --> 00:01:20.520]  都是神量度過的
[00:01:20.520 --> 00:01:22.520]  我們絕對不懷疑這件事
[00:01:22.520 --> 00:01:24.520]  絕不偶然
[00:01:24.520 --> 00:01:25.520]  並且一定有預言
[00:01:25.520 --> 00:01:27.520]  縱然兩個人都被解僱
[00:01:27.520 --> 00:01:29.520]  沒有信耶穌的人被解僱
[00:01:29.520 --> 00:01:31.520]  他不一定有意義
[00:01:31.520 --> 00:01:32.520]  但信耶穌的人
[00:01:32.520 --> 00:01:34.520]  神竟然容許他被解僱
[00:01:34.520 --> 00:01:35.520]  一定有意義
[00:01:35.520 --> 00:01:37.520]  昨晚我說你問我什麼意義
[00:01:37.520 --> 00:01:38.520]  我不能夠回答你
[00:01:38.520 --> 00:01:39.520]  因為我不是神
[00:01:39.520 --> 00:01:41.520]  但是我只是從聖經
