
[00:00:00.000 --> 00:00:04.000]  我們今天的正道經文是詩篇23篇
[00:00:04.000 --> 00:00:08.000]  耶和華是我的牧者 我必不至缺乏
[00:00:08.000 --> 00:00:13.000]  祂使我躺臥在青草地上 臨我在可安歇的水邊
[00:00:13.000 --> 00:00:18.000]  祂使我的靈魂甦醒 為自己的名引導我走一路
[00:00:18.000 --> 00:00:22.000]  我雖然行過死因的幽谷 也不怕遭害
[00:00:22.000 --> 00:00:28.000]  因為你與我同在 你的丈 你的甘 都安慰我
[00:00:28.000 --> 00:00:31.000]  在我敵人面前 你為我擺設筵席
[00:00:31.000 --> 00:00:35.000]  你用油告了我的頭 使我的福碑滿溢
[00:00:35.000 --> 00:00:39.000]  我一生一世必有恩惠慈愛隨著我
[00:00:39.000 --> 00:00:44.000]  我且要住在耶和華的殿中 直到永遠
[00:00:44.000 --> 00:00:48.000]  各位弟兄姊妹 各位朋友 總內平安
[00:00:48.000 --> 00:00:57.000]  那今天開始的時候呢 我想跟大家先玩一個快問快答的小遊戲
[00:00:57.000 --> 00:00:59.000]  這個小遊戲是什麼呢?
[00:00:59.000 --> 00:01:04.000]  就是你看聽到那個題目的時候 就要馬上講出那個答案出來
[00:01:04.000 --> 00:01:10.000]  預備好了嗎?可以啊 看見大家都精神飽滿的
[00:01:10.000 --> 00:01:16.000]  這個兔子吃什麼?好快 紅蘿蔔
[00:01:16.000 --> 00:01:21.000]  應該很多人是這個答案對吧?果然是年輕人啊
[00:01:21.000 --> 00:01:23.000]  你看瑩瑩好快啊
[00:01:23.000 --> 00:01:28.000]  對 我們每次聽到這個兔子吃什麼 就會馬上想吃紅蘿蔔
[00:01:28.000 --> 00:01:30.000]  好 很快的這樣講出來
[00:01:30.000 --> 00:01:38.000]  但其實兔子真的吃紅蘿蔔嗎?
[00:01:38.000 --> 00:01:42.000]  原來這個答案也不完全是正確
[00:01:42.000 --> 00:01:44.000]  讓我自己也被誤導了很久
[00:01:44.000 --> 00:01:47.000]  因為可能小時候就開始很喜歡看卡通片了
[00:01:47.000 --> 00:01:51.000]  所以這個印象 兔子吃紅蘿蔔 很快馬上這個答案就出來
[00:01:51.000 --> 00:01:56.000]  因為卡通片裡面就常常出現 兔子吃紅蘿蔔的畫面
[00:01:56.000 --> 00:02:00.000]  但是看了一些資料 養兔的專家說
[00:02:00.000 --> 00:02:04.000]  其實最好不要給兔子吃紅蘿蔔
[00:02:04.000 --> 00:02:07.000]  他說因為紅蘿蔔是比較偏冷的食物
[00:02:07.000 --> 00:02:11.000]  兔子吃太多的話就會拉肚子的
[00:02:11.000 --> 00:02:17.000]  而且他們說兔子不吃紅蘿蔔 對他一點害處也沒有的
[00:02:17.000 --> 00:02:22.000]  但是為什麼我們會覺得兔子要吃紅蘿蔔呢?
[00:02:22.000 --> 00:02:26.000]  我相信大家應該跟我的印象一樣吧
[00:02:26.000 --> 00:02:29.000]  就是看電視 看卡通片這樣
[00:02:29.000 --> 00:02:33.000]  原來這個卡通片裡面 兔子吃紅蘿蔔是有原因的
[00:02:33.000 --> 00:02:37.000]  就是說在大約50到40年代的時候
[00:02:37.000 --> 00:02:42.000]  在美國很多小孩子就只是喜歡吃肉
[00:02:42.000 --> 00:02:45.000]  不喜歡吃青菜水果這樣的
[00:02:45.000 --> 00:02:49.000]  所以他們很多都很過胖 小胖子到處都是
[00:02:49.000 --> 00:02:55.000]  那麼美國的政府就為了改善他們飲食的習慣
[00:02:55.000 --> 00:02:58.000]  就做什麼呢?就是小孩子最喜歡看卡通片
[00:02:58.000 --> 00:03:02.000]  所以在卡通片裡面的人物的設定
[00:03:02.000 --> 00:03:09.000]  就加了很多喜歡吃蔬菜水果的一些設定裡面
[00:03:09.000 --> 00:03:14.000]  所以就大力水手 水手就喜歡吃菠菜 對吧
[00:03:14.000 --> 00:03:18.000]  那麼華大的兔寶寶就喜歡吃紅蘿蔔
[00:03:18.000 --> 00:03:21.000]  原來這個背後的原因就是想鼓勵小孩子
[00:03:21.000 --> 00:03:23.000]  你喜歡卡通人物的時候
