
[00:00:00.000 --> 00:00:04.000]  請大家翻到菲利比書第三章
[00:00:04.000 --> 00:00:10.000]  菲利比書第三章
[00:00:10.000 --> 00:00:17.000]  在這章裡面,保羅提到三件事
[00:00:17.000 --> 00:00:24.000]  這三件事在保羅的心中是分不開的
[00:00:24.000 --> 00:00:28.000]  緊緊的連在一起
[00:00:28.000 --> 00:00:35.000]  我們可以說這三件事對保羅而言就是一件事
[00:00:35.000 --> 00:00:38.000]  哪三件事呢?
[00:00:38.000 --> 00:00:41.000]  我們先看第八節
[00:00:41.000 --> 00:00:43.000]  第八節
[00:00:43.000 --> 00:00:48.000]  不但如此,我也將萬事當作有許的
[00:00:48.000 --> 00:00:53.000]  因我以認識我主基督耶穌為至寶
[00:00:53.000 --> 00:00:56.000]  認識基督
[00:00:56.000 --> 00:00:58.000]  第二件事
[00:00:58.000 --> 00:01:03.000]  第八節末了的一句
[00:01:03.000 --> 00:01:06.000]  為要得著基督
[00:01:06.000 --> 00:01:09.000]  第三件事
[00:01:09.000 --> 00:01:11.000]  第十點
[00:01:11.000 --> 00:01:17.000]  使我認識基督,曉得他復活的大名
[00:01:17.000 --> 00:01:21.000]  並且曉得和他一同受苦
[00:01:21.000 --> 00:01:26.000]  教法他的死,活著我也得以從死裡復活
[00:01:26.000 --> 00:01:32.000]  一同,一同,和基督一同
[00:01:32.000 --> 00:01:39.000]  認識基督,得著基督,與基督一同
[00:01:39.000 --> 00:01:45.000]  同死同活同受苦
[00:01:45.000 --> 00:01:48.000]  為什麼要認識基督?
[00:01:48.000 --> 00:01:51.000]  目的是為要得著基督
[00:01:51.000 --> 00:01:53.000]  什麼叫做得著基督?
[00:01:53.000 --> 00:01:57.000]  與基督合一
[00:01:57.000 --> 00:02:02.000]  我們認識基督,推到最後的那個目的
[00:02:02.000 --> 00:02:04.000]  就是與基督合一
[00:02:04.000 --> 00:02:07.000]  我要認識他,因為我要得著他
[00:02:07.000 --> 00:02:10.000]  我不認識他,我不能得著他
[00:02:10.000 --> 00:02:13.000]  怎麼樣是得著了他?
[00:02:13.000 --> 00:02:15.000]  就是我和他合一的時候
[00:02:15.000 --> 00:02:17.000]  我就是得著了他
[00:02:17.000 --> 00:02:20.000]  他在我的裡面,我在他的裡面
[00:02:20.000 --> 00:02:23.000]  我和基督合而為一了
[00:02:23.000 --> 00:02:25.000]  這是在這一章裡面
[00:02:25.000 --> 00:02:29.000]  保羅擺在我們面前的三件事
[00:02:29.000 --> 00:02:33.000]  而這三件事,事實上是分不開的
[00:02:33.000 --> 00:02:36.000]  是一件事
[00:02:36.000 --> 00:02:38.000]  所以今天早上
[00:02:38.000 --> 00:02:40.000]  我們要集中我們的思想
[00:02:40.000 --> 00:02:44.000]  所注意的、所靈受的一個真理
[00:02:44.000 --> 00:02:48.000]  就是我們先認識基督
[00:02:48.000 --> 00:02:51.000]  然後與他合一
[00:02:51.000 --> 00:02:54.000]  我們要在聖經裡面查看
[00:02:54.000 --> 00:03:00.000]  基督是如何,我們又如何和他合一
[00:03:00.000 --> 00:03:06.000]  請大家先看到希伯來書第一章第三節
[00:03:06.000 --> 00:03:12.000]  希伯來書第一章第三節
[00:03:12.000 --> 00:03:16.000]  他是神榮耀所發的光輝
[00:03:16.000 --> 00:03:20.000]  是神本體的真相
[00:03:20.000 --> 00:03:23.000]  所以說基督是神的相
[00:03:23.000 --> 00:03:25.000]  我們再看一節聖經
[00:03:25.000 --> 00:03:27.000]  是講到我們的
[00:03:27.000 --> 00:03:37.000]  耶穌所說的四章二十四節
[00:03:37.000 --> 00:03:40.000]  並且穿上金人
[00:03:40.000 --> 00:03:45.000]  這個金人是照著神的形象造的
[00:03:45.000 --> 00:03:49.000]  有真理的人意和聖潔
[00:03:49.000 --> 00:03:54.000]  這裡說我們是神的相
[00:03:54.000 --> 00:03:56.000]  基督的聖經說
[00:03:56.000 --> 00:03:58.000]  基督是神的相
[00:03:58.000 --> 00:04:03.000]  好,我們認識了基督這個重要的方面
[00:04:03.000 --> 00:04:06.000]  從來沒有人見過上帝
[00:04:06.000 --> 00:04:09.000]  但是在父懷裡的祖生子
[00:04:09.000 --> 00:04:11.000]  他表明出來
[00:04:11.000 --> 00:04:13.000]  有天早晨一位姊妹說
[00:04:13.000 --> 00:04:16.000]  祖講瑰麗講的話
[00:04:16.000 --> 00:04:20.000]  人看見了我就是看見了神
[00:04:20.000 --> 00:04:23.000]  我們這樣認識了基督是神的相
[00:04:23.000 --> 00:04:27.000]  我們的心覺得基督是何等的寶貴
[00:04:27.000 --> 00:04:30.000]  我看見了基督就是看見了神
[00:04:30.000 --> 00:04:32.000]  神的豐富
[00:04:32.000 --> 00:04:36.000]  祖有情有體的住在基督裡面
[00:04:36.000 --> 00:04:39.000]  當我們這樣認識基督的時候
[00:04:39.000 --> 00:04:41.000]  祖的話就告訴我們說
[00:04:41.000 --> 00:04:45.000]  你,你是神的相
[00:04:45.000 --> 00:04:50.000]  我們一方面覺得受寵若驚
[00:04:50.000 --> 00:04:54.000]  一方面我們就覺得讚美
[00:04:54.000 --> 00:04:58.000]  這是何等崇高的地位
[00:04:58.000 --> 00:05:01.000]  真的能夠在我們身上講這句話嗎
[00:05:01.000 --> 00:05:04.000]  你是神的相
[00:05:04.000 --> 00:05:07.000]  我是神的相
[00:05:07.000 --> 00:05:09.000]  我們感謝神生進裡面
[00:05:09.000 --> 00:05:12.000]  有一個很基本很重要的真理
[00:05:12.000 --> 00:05:17.000]  就是人類是按照神的形象造福
[00:05:17.000 --> 00:05:19.000]  多麼尊貴
[00:05:19.000 --> 00:05:22.000]  但是後來人墮落以後
[00:05:22.000 --> 00:05:27.000]  他裡面神的形象又被破壞了
[00:05:27.000 --> 00:05:30.000]  但是主耶穌到世界上來
[00:05:30.000 --> 00:05:34.000]  再一次給我們看一看神的相是怎麼樣
[00:05:34.000 --> 00:05:39.000]  那個沒有被破壞的神的形象到底如何
[00:05:39.000 --> 00:05:43.000]  主耶穌的名稱之一是人子
