
[00:00:00.000 --> 00:00:05.080]  自從九月初中學生小組
[00:00:05.080 --> 00:00:07.080]  由星期日轉為星期六之後
[00:00:07.080 --> 00:00:12.400]  有很好的發展
[00:00:12.400 --> 00:00:14.280]  有Ken傳導在當中
[00:00:14.280 --> 00:00:15.600]  還有鍾導師的帶領
[00:00:15.600 --> 00:00:18.200]  我們每個星期都有
[00:00:18.200 --> 00:00:20.000]  就算在考試前
[00:00:20.000 --> 00:00:24.280]  都有十多個中學生在當中
[00:00:24.280 --> 00:00:26.280]  我們都很感恩
[00:00:26.280 --> 00:00:29.240]  早前有一個報告
[00:00:29.240 --> 00:00:32.400]  報告訪問一些老師
[00:00:32.400 --> 00:00:34.400]  訪問在疫情當中
[00:00:34.400 --> 00:00:36.760]  究竟中學生受到什麼影響
[00:00:36.760 --> 00:00:38.760]  其中一個很關注的
[00:00:38.760 --> 00:00:41.760]  原來有些學生
[00:00:41.760 --> 00:00:45.960]  因為多數在家中
[00:00:45.960 --> 00:00:48.360]  用Zoom和視像上課
[00:00:48.360 --> 00:00:50.720]  多了時間和空間的時候
[00:00:50.720 --> 00:00:55.440]  有些不法分子會用青少年人販毒
[00:00:55.440 --> 00:01:01.040]  甚至這些青少年人曾經接觸過軟性毒品
[00:01:01.040 --> 00:01:03.760]  仍然關注
[00:01:03.760 --> 00:01:06.960]  希望我們所關心的
[00:01:06.960 --> 00:01:09.320]  甚至給我們中學生
[00:01:09.320 --> 00:01:13.720]  都軟化這些毒品
[00:01:13.720 --> 00:01:15.320]  我都想起
[00:01:15.320 --> 00:01:17.320]  這些毒品讓我想起
[00:01:17.320 --> 00:01:19.320]  想當年很多年前
[00:01:19.320 --> 00:01:23.040]  政府的廣告宣傳
[00:01:23.040 --> 00:01:25.040]  站著不說話
[00:01:25.040 --> 00:01:28.360]  向毒品說不
[00:01:28.360 --> 00:01:31.360]  都頗為游新
[00:01:31.360 --> 00:01:36.800]  這些政府宣傳的片段
[00:01:36.800 --> 00:01:39.800]  就令我想起今天的題目
[00:01:39.800 --> 00:01:42.800]  這段經文都是約翰給我們
[00:01:42.800 --> 00:01:46.800]  告訴我們如何向世界說不
[00:01:46.800 --> 00:01:48.800]  說什麼呢
[00:01:48.800 --> 00:01:50.800]  一開始就說
[00:01:50.800 --> 00:01:54.800]  頭三節就說了
[00:01:54.800 --> 00:01:56.800]  我寫信給你們
[00:01:56.800 --> 00:02:00.800]  是一個很重複性的片語
[00:02:00.800 --> 00:02:03.800]  特別說到初期教會
[00:02:03.800 --> 00:02:05.800]  面對不同考驗的時候
[00:02:05.800 --> 00:02:09.800]  使徒約翰很想每一個群體
[00:02:09.800 --> 00:02:11.800]  信徒去明白
[00:02:11.800 --> 00:02:14.800]  他們在主耶穌基督裡
[00:02:14.800 --> 00:02:16.800]  已經有一個得救的確具
[00:02:16.800 --> 00:02:22.800]  很肯定他們在神的根前的信心
[00:02:22.800 --> 00:02:24.800]  所以他說對小子
[00:02:24.800 --> 00:02:27.800]  你們的罪得以赦免
[00:02:27.800 --> 00:02:29.800]  這個傳音為一章九節
[00:02:29.800 --> 00:02:31.800]  耶穌基督的工作
[00:02:31.800 --> 00:02:33.800]  他們認識父神
[00:02:33.800 --> 00:02:35.800]  然後說到父老
[00:02:35.800 --> 00:02:40.800]  認識從起初那位創造主
[00:02:40.800 --> 00:02:44.800]  少年人也是他們征服了的惡者
[00:02:44.800 --> 00:02:46.800]  並且他們在恩爵
[00:02:46.800 --> 00:02:52.800]  有神的話語是他們當中的剛強
[00:02:52.800 --> 00:02:54.800]  這裡說到他們
[00:02:54.800 --> 00:02:56.800]  這三節經文幫我們重溫
[00:02:56.800 --> 00:02:59.800]  第一第二章的一些重點
[00:02:59.800 --> 00:03:01.800]  包括一章九節
[00:03:01.800 --> 00:03:02.800]  二章三節
[00:03:02.800 --> 00:03:04.800]  五節 六節 十節
[00:03:04.800 --> 00:03:06.800]  好像重覆
[00:03:06.800 --> 00:03:10.800]  弟兄姊妹當他們信靠耶穌的時候
[00:03:10.800 --> 00:03:11.800]  相信耶穌的時候
[00:03:11.800 --> 00:03:13.800]  不單對罪得赦免
[00:03:13.800 --> 00:03:17.800]  並且他們能夠行在光明中
[00:03:17.800 --> 00:03:18.800]  大家記得嗎?
[00:03:18.800 --> 00:03:22.800]  使徒若寒一開始就希望告訴信徒
[00:03:22.800 --> 00:03:24.800]  他們能夠和神相交
[00:03:24.800 --> 00:03:26.800]  和光相交
[00:03:26.800 --> 00:03:30.800]  因為他們去認罪悔改
[00:03:30.800 --> 00:03:35.800]  他們能夠和神有一個復和的關係
[00:03:35.800 --> 00:03:37.800]  免去神的憤怒
[00:03:37.800 --> 00:03:41.800]  並且他們有遵行上主的教導
[00:03:41.800 --> 00:03:42.800]  神的教導
[00:03:42.800 --> 00:03:43.800]  上一節我們說到
[00:03:43.800 --> 00:03:45.800]  他們如何遵從
[00:03:45.800 --> 00:03:47.800]  就是彼此相愛
[00:03:47.800 --> 00:03:50.800]  愛一些不可愛的人
[00:03:50.800 --> 00:03:53.800]  而這一節的經文就說
[00:03:53.800 --> 00:03:56.800]  如何繼續和神相交
[00:03:56.800 --> 00:03:57.800]  和弟兄姊妹相交
[00:03:57.800 --> 00:04:01.800]  就是向世界說不
[00:04:01.800 --> 00:04:05.800]  這三個群體最少有兩個解釋
[00:04:05.800 --> 00:04:06.800]  這裡說到
[00:04:06.800 --> 00:04:09.800]  無論是小子們 父老 少年人
[00:04:09.800 --> 00:04:13.800]  可以解釋為初信或信了很久
[00:04:13.800 --> 00:04:16.800]  用時間上的形容
[00:04:16.800 --> 00:04:19.800]  也可以說是靈情的深度
[00:04:19.800 --> 00:04:22.800]  一些比較幽戀的
[00:04:22.800 --> 00:04:24.800]  一些很成熟的信徒
[00:04:24.800 --> 00:04:25.800]  但無論如何
[00:04:25.800 --> 00:04:30.800]  這幾個弟兄姊妹都經歷過
[00:04:30.800 --> 00:04:32.800]  神帶給他們生命的改變
[00:04:32.800 --> 00:04:38.800]  而他們很清楚他們現在所面對的處境
[00:04:38.800 --> 00:04:40.800]  雖然生命有改變
[00:04:40.800 --> 00:04:45.800]  但他們很想提醒他們
[00:04:45.800 --> 00:04:47.800]  給他們一個警告
[00:04:47.800 --> 00:04:49.800]  其實每一天
[00:04:49.800 --> 00:04:54.800]  他們都面對著很大程度的考驗
[00:04:54.800 --> 00:04:56.800]  考驗就在於
[00:04:56.800 --> 00:05:00.800]  下面的15節的經文
[00:05:00.800 --> 00:05:01.800]  他們的考驗是什麼
[00:05:01.800 --> 00:05:04.800]  這些考驗可以窒礙他們
[00:05:04.800 --> 00:05:06.800]  育成生命的成長
[00:05:06.800 --> 00:05:09.800]  所以我們要留心聽
[00:05:09.800 --> 00:05:13.800]  史陶若行的提醒
[00:05:13.800 --> 00:05:14.800]  在15節說
[00:05:14.800 --> 00:05:20.800]  不要愛世界和世界上的事
[00:05:20.800 --> 00:05:23.800]  我們不知道究竟
[00:05:23.800 --> 00:05:25.800]  史陶若行所寫的對象
[00:05:25.800 --> 00:05:27.800]  即是修信者本身
[00:05:27.800 --> 00:05:29.800]  讀者和信徒
[00:05:29.800 --> 00:05:32.800]  究竟他們已經在追求世界
[00:05:32.800 --> 00:05:35.800]  還是一個預防性的警號
[00:05:35.800 --> 00:05:36.800]  我們不知道
[00:05:36.800 --> 00:05:37.800]  但無論如何
[00:05:37.800 --> 00:05:39.800]  這個世界或世界上的事
[00:05:39.800 --> 00:05:44.800]  是很阻礙弟兄姊妹的成長
[00:05:44.800 --> 00:05:47.800]  所以史陶若行很特別關注
[00:05:47.800 --> 00:05:49.800]  我們知道愛這個字
[00:05:49.800 --> 00:05:51.800]  就是我們很熟悉的
[00:05:51.800 --> 00:05:57.800]  耶穌問彼得三次不認主的愛
[00:05:57.800 --> 00:06:00.800]  愛的程度
[00:06:00.800 --> 00:06:05.800]  是很強烈的深度的學悟和追求
[00:06:05.800 --> 00:06:08.800]  很想得到那樣東西
[00:06:08.800 --> 00:06:12.800]  世界就是Cosmos
[00:06:12.800 --> 00:06:14.800]  即是宇宙
[00:06:14.800 --> 00:06:16.800]  我們又明白到
[00:06:16.800 --> 00:06:18.800]  整本聖經說到什麼
[00:06:18.800 --> 00:06:20.800]  聖經第一句
[00:06:20.800 --> 00:06:23.800]  起初神創造天地
[00:06:23.800 --> 00:06:26.800]  我們又認識最熟悉的經文
[00:06:26.800 --> 00:06:28.800]  若行福音三章十六節
[00:06:28.800 --> 00:06:31.800]  神愛世人或神愛世界
[00:06:31.800 --> 00:06:36.800]  很明顯這裡好像和這裡唱反調
[00:06:36.800 --> 00:06:38.800]  或者反過來說
[00:06:38.800 --> 00:06:41.800]  史陶若行肯定這裡不是說
[00:06:41.800 --> 00:06:45.800]  神所創造的宇宙萬物
[00:06:45.800 --> 00:06:47.800]  或神創造的人類
[00:06:47.800 --> 00:06:51.800]  是我們不應該去愛的
[00:06:51.800 --> 00:06:55.800]  這裡說的世界是什麼呢
[00:06:55.800 --> 00:06:58.800]  這裡說的世界是
[00:06:58.800 --> 00:07:00.800]  由撒旦所控制的
[00:07:00.800 --> 00:07:03.800]  他是天空中掌權者的世界
[00:07:03.800 --> 00:07:08.800]  在他的管治下的事物出現了
[00:07:08.800 --> 00:07:10.800]  而這些事物或系統
[00:07:10.800 --> 00:07:15.800]  是影響著我們日常生活的運作
[00:07:15.800 --> 00:07:20.800]  等下會詳細說說是什麼一回事
[00:07:20.800 --> 00:07:23.800]  若行給了一個原因
[00:07:23.800 --> 00:07:28.800]  我們就不要去愛世界或世界上的事物或系統
