
[00:00:00.000 --> 00:00:04.000]  父神我們為了主耶穌感謝祢
[00:00:04.000 --> 00:00:07.000]  我們要為了聖靈感謝祢
[00:00:07.000 --> 00:00:11.000]  我們在這個時候求保護的是聖靈
[00:00:11.000 --> 00:00:14.000]  感動我們的感情
[00:00:14.000 --> 00:00:17.000]  光照我們的理智
[00:00:17.000 --> 00:00:19.000]  兼顧我們的意志
[00:00:19.000 --> 00:00:24.000]  讓我們整個人都投入在主的裡面
[00:00:24.000 --> 00:00:27.000]  經歷主的恩典
[00:00:27.000 --> 00:00:29.000]  經歷聖靈的作為
[00:00:29.000 --> 00:00:33.000]  求主幫助祢的兩個孩子
[00:00:33.000 --> 00:00:36.000]  把祢的信息傳達的清楚
[00:00:36.000 --> 00:00:39.000]  我們都能夠領受
[00:00:39.000 --> 00:00:42.000]  使我們得到造就、益處
[00:00:42.000 --> 00:00:44.000]  我們這樣的仰望教徒
[00:00:44.000 --> 00:00:46.000]  奉主耶穌基督的名
[00:00:46.000 --> 00:00:48.000]  阿們
[00:00:48.000 --> 00:00:53.000]  請大家看兩處的經文
[00:00:53.000 --> 00:00:58.000]  先看羅馬書第八章
[00:00:58.000 --> 00:01:02.000]  第十四節
[00:01:02.000 --> 00:01:05.000]  羅馬書第八章第十四節
[00:01:05.000 --> 00:01:10.000]  因為凡被聖靈引導的都是神的兒子
[00:01:10.000 --> 00:01:14.000]  這裡提到聖靈的引導的第一方面
[00:01:14.000 --> 00:01:21.000]  就是在個別的基督徒的心裡引導
[00:01:21.000 --> 00:01:26.000]  也在生活裡引導
[00:01:26.000 --> 00:01:29.000]  第二處的經文
[00:01:29.000 --> 00:01:33.000]  給我們看見聖靈引導教會
[00:01:33.000 --> 00:01:35.000]  福音的工作
[00:01:35.000 --> 00:01:38.000]  七十六第五章
[00:01:38.000 --> 00:01:42.000]  第六節
[00:01:42.000 --> 00:01:45.000]  啟示錄第五章第六節
[00:01:45.000 --> 00:01:47.000]  我又看見寶座與四活物
[00:01:47.000 --> 00:01:51.000]  並長老之中有羔羊站立
[00:01:51.000 --> 00:01:54.000]  像是被殺過的
[00:01:54.000 --> 00:01:56.000]  有七角七眼
[00:01:56.000 --> 00:01:58.000]  就是神的七靈
[00:01:58.000 --> 00:02:02.000]  奉差遣往普天下去的
[00:02:02.000 --> 00:02:04.000]  這裡提到聖靈
[00:02:04.000 --> 00:02:06.000]  這裡提到聖靈
[00:02:06.000 --> 00:02:08.000]  在這裡說七靈
[00:02:08.000 --> 00:02:10.000]  這裡提到七靈
[00:02:10.000 --> 00:02:12.000]  不是七個聖靈
[00:02:12.000 --> 00:02:13.000]  不是七個聖靈
[00:02:13.000 --> 00:02:16.000]  乃是聖靈的全被的工作
[00:02:16.000 --> 00:02:20.000]  乃是聖靈全被的工作
[00:02:20.000 --> 00:02:25.000]  這位七靈怎樣引導教會呢
[00:02:25.000 --> 00:02:30.000]  在這裡提到三個要點
[00:02:30.000 --> 00:02:34.000]  第一個要點
[00:02:34.000 --> 00:02:40.000]  聖靈好像七角七眼
[00:02:40.000 --> 00:02:43.000]  角代表能力
[00:02:43.000 --> 00:02:46.000]  七代表完全
[00:02:46.000 --> 00:02:49.000]  完全的能力
