
[00:00:00.000 --> 00:00:02.000]  我請大家遣開聖經
[00:00:02.000 --> 00:00:04.000]  我們剛才讀過一段經文
[00:00:04.000 --> 00:00:06.000]  及經文的上下
[00:00:06.000 --> 00:00:08.000]  我們都會一齊思想
[00:00:08.000 --> 00:00:11.000]  聖經二創下書第三十章的經文
[00:00:11.000 --> 00:00:18.000]  我想回一件事情
[00:00:18.000 --> 00:00:22.000]  就是最近在家中有個小小的經歷
[00:00:22.000 --> 00:00:25.000]  就是在我自己家近窗台的地方
[00:00:25.000 --> 00:00:27.000]  有一盆植物
[00:00:27.000 --> 00:00:30.000]  那盆植物的樹葉是很大片
[00:00:30.000 --> 00:00:32.000]  很濃密的樹葉
[00:00:32.000 --> 00:00:34.000]  而且是長得很好的
[00:00:34.000 --> 00:00:37.000]  有一次我們就將這盆盆栽
[00:00:37.000 --> 00:00:40.000]  放在客廳的一個角落的地方
[00:00:40.000 --> 00:00:43.000]  有些緣故將它放在另一個位置
[00:00:43.000 --> 00:00:45.000]  放了一段時間之後
[00:00:45.000 --> 00:00:48.000]  突然間發覺這棵植物
[00:00:48.000 --> 00:00:51.000]  突然間樹葉就垂下來
[00:00:51.000 --> 00:00:55.000]  還有發現那些樹本來是很翠綠的
[00:00:55.000 --> 00:00:59.000]  但樹尖就開始有很多枯乾的情況
[00:00:59.000 --> 00:01:02.000]  你會發現突然間變得這麼快
[00:01:02.000 --> 00:01:04.000]  為甚麼呢?
[00:01:04.000 --> 00:01:06.000]  有淋水的
[00:01:06.000 --> 00:01:09.000]  突然間發覺因為轉了位置
[00:01:09.000 --> 00:01:11.000]  所以我們就馬上將這棵植物
[00:01:11.000 --> 00:01:14.000]  搬回窗台旁邊
[00:01:14.000 --> 00:01:16.000]  因為那裡比較多陽光
[00:01:16.000 --> 00:01:19.000]  然後就繼續將那棵植物放在那個位置
[00:01:19.000 --> 00:01:21.000]  過了一段時間就發現
[00:01:21.000 --> 00:01:24.000]  那些樹葉開始停直
[00:01:24.000 --> 00:01:27.000]  開始再次翠綠
[00:01:27.000 --> 00:01:30.000]  很開心看到植物可以重新
[00:01:30.000 --> 00:01:34.000]  可以很茁壯地生長
[00:01:34.000 --> 00:01:36.000]  雖然是一件很細微的事情
[00:01:36.000 --> 00:01:38.000]  但也讓我心裏想
[00:01:38.000 --> 00:01:42.000]  有些時候我們跟隨主耶穌的教徒
[00:01:42.000 --> 00:01:44.000]  我們一直跟隨主的時候
[00:01:44.000 --> 00:01:46.000]  可能有些時候都不知不覺
[00:01:46.000 --> 00:01:47.000]  可能生活忙碌
[00:01:47.000 --> 00:01:49.000]  又或者可能某些緣故
[00:01:49.000 --> 00:01:53.000]  我們的心好像轉向了其他事情
[00:01:53.000 --> 00:01:56.000]  好像遠離了陽光
[00:01:56.000 --> 00:01:57.000]  轉向了工作
[00:01:57.000 --> 00:02:01.000]  或者轉向了其他自己心裏的一些慾望
[00:02:01.000 --> 00:02:04.000]  甚至轉向了一些罪
[00:02:04.000 --> 00:02:05.000]  不察覺的情況下
[00:02:05.000 --> 00:02:09.000]  生命開始有些枯乾的狀況
[00:02:09.000 --> 00:02:10.000]  也開始體會到
[00:02:10.000 --> 00:02:14.000]  好像自己失去了一種愛主的動力
[00:02:14.000 --> 00:02:16.000]  在那個時候
[00:02:16.000 --> 00:02:20.000]  我相信主是很深刻地呼喚我們
