
[00:00:00.000 --> 00:00:05.200]  今天所讀的經文記載了耶穌在開始出來侍奉的時候
[00:00:05.200 --> 00:00:07.440]  發生的一件很重要的事
[00:00:07.440 --> 00:00:10.240]  這件事其實都相當重要
[00:00:10.240 --> 00:00:13.440]  是講述了耶穌的身份
[00:00:13.440 --> 00:00:16.040]  他藉著這件結證聖殿的事
[00:00:16.040 --> 00:00:20.720]  顯出他自己來到地上的時候要做些什麼
[00:00:20.720 --> 00:00:24.000]  以及他自己的身份是什麼
[00:00:24.000 --> 00:00:27.200]  所以我們仔細去看這段經文
[00:00:27.200 --> 00:00:29.600]  究竟帶給我們什麼訊息
[00:00:29.600 --> 00:00:31.360]  在這裡一開始的時候
[00:00:31.360 --> 00:00:35.360]  講到耶穌和他的一家人
[00:00:35.360 --> 00:00:37.760]  就在加伯隆這個地方
[00:00:37.760 --> 00:00:40.560]  去到加伯隆之後沒多久
[00:00:40.560 --> 00:00:41.880]  過了幾天
[00:00:41.880 --> 00:00:46.160]  就打算上去耶路撒冷裡面
[00:00:46.160 --> 00:00:48.760]  去過猶大人的如月節
[00:00:48.760 --> 00:00:50.200]  有什麼人和他去呢
[00:00:50.200 --> 00:00:52.440]  在這裡講到有一些門徒
[00:00:52.440 --> 00:00:54.520]  在楊峰一開頭
[00:00:54.520 --> 00:00:55.840]  有幾個門徒跟隨他
[00:00:55.840 --> 00:00:57.880]  可能是指那幾個門徒
[00:00:57.880 --> 00:01:00.840]  還有耶穌的弟兄
[00:01:00.840 --> 00:01:03.680]  可以跟他一起去
[00:01:03.680 --> 00:01:06.000]  耶穌也有弟兄站在肉身上
[00:01:06.000 --> 00:01:09.760]  因為瑪利亞由聖靈錦人
[00:01:09.760 --> 00:01:12.200]  就是在跟約瑟結婚之前
[00:01:12.200 --> 00:01:14.440]  聖靈錦人誕下了耶穌
[00:01:14.440 --> 00:01:18.160]  然後約瑟就娶了瑪利亞
[00:01:18.160 --> 00:01:22.040]  然後他們就誕下了肉身裡有幾個孩子
[00:01:22.040 --> 00:01:23.560]  所以某個程度
[00:01:23.560 --> 00:01:27.560]  耶穌也有他肉身的一些兄弟
[00:01:27.560 --> 00:01:29.360]  從這個角度去理解
[00:01:29.360 --> 00:01:31.040]  在這裡
[00:01:31.040 --> 00:01:35.080]  他們去過猶大人的如月節
[00:01:35.080 --> 00:01:37.000]  這裡有幾個名詞
[00:01:37.000 --> 00:01:39.240]  大家可以留心一下
[00:01:39.240 --> 00:01:40.760]  在聖經上我們經常說
[00:01:40.760 --> 00:01:42.600]  有些以色列人
[00:01:42.600 --> 00:01:44.280]  有些猶太人
[00:01:44.280 --> 00:01:45.840]  有些希伯來人
[00:01:45.840 --> 00:01:48.240]  其實都是指同一樣的民族
[00:01:48.240 --> 00:01:51.440]  就是上帝所揀選的這個民族
[00:01:51.440 --> 00:01:53.400]  上帝藉著這個民族
[00:01:53.400 --> 00:01:57.000]  去彰顯他很多的作為
[00:01:57.000 --> 00:01:59.240]  在這裡說到
[00:01:59.240 --> 00:02:01.840]  他們一起上去耶路撒冷
[00:02:01.840 --> 00:02:05.160]  是要過猶大人的如月節
[00:02:05.160 --> 00:02:08.800]  因為在他們
[00:02:08.800 --> 00:02:09.880]  可以說
[00:02:09.880 --> 00:02:13.040]  因著犯很多的過錯
[00:02:13.040 --> 00:02:15.080]  接著上帝藉著亡國
[00:02:15.080 --> 00:02:18.400]  讓他們整個國家亡了
[00:02:18.400 --> 00:02:20.080]  接著被擄到巴比倫
[00:02:20.080 --> 00:02:23.480]  接著有些人就回到耶路撒冷的地方
[00:02:23.480 --> 00:02:26.480]  所以其實在這個歷史的過程裡
[00:02:26.480 --> 00:02:28.920]  有很多不同的猶太人
[00:02:28.920 --> 00:02:31.160]  可以說散居在不同的地方
[00:02:31.160 --> 00:02:33.080]  不過在一年當中
[00:02:33.080 --> 00:02:36.120]  他們都有幾次的時間
[00:02:36.120 --> 00:02:40.600]  上去耶路撒冷去守一些節日
[00:02:40.600 --> 00:02:43.200]  其中一個就是如月節
[00:02:43.200 --> 00:02:44.800]  他們會在不同的地方
