
[00:00:00.000 --> 00:00:02.000]  各位村內的弟兄姊妹
[00:00:02.000 --> 00:00:05.000]  首先在這個地方要代表建築神學院
[00:00:05.000 --> 00:00:08.000]  是很多謝北角宣道會
[00:00:08.000 --> 00:00:12.000]  預備今天這個建築主日的崇拜的聚會
[00:00:12.000 --> 00:00:16.000]  我們盼望弟兄姊妹在這個崇拜聚會裏面
[00:00:16.000 --> 00:00:23.000]  我們特別是紀念到神為宣道會興起的建築神學院
[00:00:23.000 --> 00:00:26.000]  在這個地方我都是要首先多謝
[00:00:26.000 --> 00:00:29.000]  宣道會北角堂在過去這麼多年來
[00:00:29.000 --> 00:00:33.000]  對建築神學院在各方面的支持
[00:00:33.000 --> 00:00:39.000]  可以說宣道會北角堂是建築神學院最得力的童工
[00:00:39.000 --> 00:00:43.000]  因為我們從宣道會北角堂所得到的支持
[00:00:43.000 --> 00:00:46.000]  是宗教會之中最大的支持
[00:00:46.000 --> 00:00:52.000]  所以在這個地方我們是獻上衷心的感謝
[00:00:52.000 --> 00:00:54.000]  我們為你們來到感謝主
[00:00:54.000 --> 00:00:57.000]  因為你們看重這個神學教育的工作
[00:00:57.000 --> 00:01:00.000]  在講到之前我要用短短的時間
[00:01:00.000 --> 00:01:04.000]  來介紹建築神學院一些近況
[00:01:04.000 --> 00:01:09.000]  其實建築神學院大家在今天的節稅表裏面
[00:01:09.000 --> 00:01:12.000]  的一篇短短的報道介紹裏面
[00:01:12.000 --> 00:01:18.000]  也都已經看到是一間已經89年歷史的神學院
[00:01:18.000 --> 00:01:22.000]  在過去的89年裏面我們看到神
[00:01:22.000 --> 00:01:29.000]  直接建築神學院來到是操守很多的傳道人
[00:01:29.000 --> 00:01:34.000]  現今他們都是全部在世界各地來到傳福音
[00:01:34.000 --> 00:01:37.000]  建築神學院是過去有一個美好的傳統
[00:01:37.000 --> 00:01:43.000]  就是直接著宗報道的事公和猜拳的事公
[00:01:43.000 --> 00:01:46.000]  所以過去幾年裏面我們不斷的看到
[00:01:46.000 --> 00:01:49.000]  有建道的校友他們有神的呼召
[00:01:49.000 --> 00:01:51.000]  他們蒙猜派去到世界各地
[00:01:51.000 --> 00:01:55.000]  來到擔當宗教的工作
[00:01:55.000 --> 00:01:58.000]  我們為這個事實獻上感恩
