
[00:00:00.000 --> 00:00:02.000]  在聖經哥倫多的前書
[00:00:02.000 --> 00:00:04.720]  特別提到當時的教會
[00:00:04.720 --> 00:00:07.600]  他們很重視智慧
[00:00:07.600 --> 00:00:09.920]  特別是人的智慧
[00:00:09.920 --> 00:00:12.400]  當時聖經講述到
[00:00:12.400 --> 00:00:14.440]  有一間教會的弟兄姊妹
[00:00:14.440 --> 00:00:19.200]  他們的知識、智慧都全被第一章第五節提及
[00:00:19.200 --> 00:00:22.400]  他們口才、知識都全被
[00:00:22.400 --> 00:00:25.920]  其實當時哥倫多的城市
[00:00:25.920 --> 00:00:27.600]  亦是外邦的城市
[00:00:27.800 --> 00:00:30.520]  很強調人的智慧和聰明
[00:00:30.520 --> 00:00:34.760]  但保羅在開始時很清楚地跟大家弟兄姊妹說
[00:00:34.760 --> 00:00:38.280]  人的智慧和神的能力
[00:00:38.280 --> 00:00:41.280]  二者之間有天淵之別
[00:00:41.280 --> 00:00:45.160]  要留心不要因為依靠了人的智慧
[00:00:45.160 --> 00:00:47.360]  而失去了神的能力
[00:00:47.360 --> 00:00:50.440]  沒錯,我們要運用人的智慧
[00:00:50.440 --> 00:00:53.480]  但在運用過程當中深刻記憶著
[00:00:53.480 --> 00:00:56.960]  我們所真正需要的是神的能力
[00:00:57.240 --> 00:00:59.240]  這亦是神的智慧
[00:00:59.240 --> 00:01:02.960]  或者我簡單一個比喻跟大家分享
[00:01:02.960 --> 00:01:04.720]  就是有兩個朋友
[00:01:04.720 --> 00:01:06.840]  他們參加了一艘小艇
[00:01:06.840 --> 00:01:07.920]  一艘山板
[00:01:07.920 --> 00:01:10.640]  就爬出海中心
[00:01:10.640 --> 00:01:12.400]  一路爬的時候
[00:01:12.400 --> 00:01:14.640]  兩個人拿著兩支木筏
[00:01:14.640 --> 00:01:16.440]  一路撐
[00:01:16.440 --> 00:01:18.240]  在過程當中很吃力
[00:01:18.240 --> 00:01:19.480]  因為水流很急
[00:01:19.480 --> 00:01:21.120]  去到海中央的時候
[00:01:21.120 --> 00:01:24.120]  差不多發覺船不能向前行
[00:01:24.120 --> 00:01:26.400]  在海中心抖轉
[00:01:26.400 --> 00:01:28.760]  一路打圈
[00:01:28.760 --> 00:01:31.240]  他們很吃力亦很擔心
[00:01:31.240 --> 00:01:34.400]  在離岸邊很遠的地方
[00:01:34.400 --> 00:01:35.920]  有人大聲叫
[00:01:35.920 --> 00:01:39.480]  「你們留心,船是電船
[00:01:39.480 --> 00:01:41.520]  不用撐船」
[00:01:41.520 --> 00:01:45.760]  他們留心看,發覺是電船
[00:01:45.760 --> 00:01:47.200]  一打開摩打
[00:01:47.200 --> 00:01:49.600]  船就很快回到岸邊
[00:01:49.600 --> 00:01:52.560]  大家明白我的意思嗎?
[00:01:52.560 --> 00:01:53.720]  有些時候
[00:01:53.720 --> 00:01:56.840]  我們用人的智慧去處理很多問題
[00:01:56.840 --> 00:02:01.720]  但發覺只是在人生的路上打圈子
[00:02:01.720 --> 00:02:04.880]  但不知道在我們裏面有寶貝
[00:02:04.880 --> 00:02:07.240]  不知道留心去依靠
[00:02:07.240 --> 00:02:08.320]  耶穌基督
[00:02:08.320 --> 00:02:10.640]  我們的能力、資源
[00:02:10.640 --> 00:02:12.560]  來向前
[00:02:12.560 --> 00:02:14.560]  來快跑
[00:02:14.560 --> 00:02:17.240]  因此保羅在聖經裏面
[00:02:17.240 --> 00:02:19.960]  在哥倫多前書特別提醒弟兄姊妹
[00:02:19.960 --> 00:02:21.080]  要留心
