
[00:00:00.000 --> 00:00:06.000]  父神我們感謝祢賜給我們祢的愛子耶穌基督
[00:00:06.000 --> 00:00:08.000]  成為我們的救主
[00:00:08.000 --> 00:00:11.000]  祂的名稱為奇妙測試
[00:00:11.000 --> 00:00:14.000]  主啊祢真是了解我們
[00:00:14.000 --> 00:00:16.000]  祢做我們人生的測試
[00:00:16.000 --> 00:00:21.000]  讓我們行走在這一個世界的路程上
[00:00:21.000 --> 00:00:25.000]  能夠有指引 有目標
[00:00:25.000 --> 00:00:29.000]  有祢的幫助 有祢的看顧 有祢的保守
[00:00:29.000 --> 00:00:34.000]  主耶穌我們感謝祢不但第一次為我們到世上來
[00:00:34.000 --> 00:00:37.000]  祢將來還要再來
[00:00:37.000 --> 00:00:43.000]  主啊我們向前看的時候有盼望 有喜樂
[00:00:43.000 --> 00:00:48.000]  我們知道罪惡最後要獲取
[00:00:48.000 --> 00:00:52.000]  祢的恩典慈愛永遠彰顯
[00:00:52.000 --> 00:00:57.000]  使我們有一個完美的家
[00:00:57.000 --> 00:01:00.000]  謝謝祢給我們永遠的盼望
[00:01:00.000 --> 00:01:06.000]  主我們今天晚上在一次靈獸七十錄裡面給我們的信息
[00:01:06.000 --> 00:01:09.000]  求聖靈引導我們的思想
[00:01:09.000 --> 00:01:11.000]  給我們悟性
[00:01:11.000 --> 00:01:16.000]  讓我們能明白 能靈受 能體會 能得到
[00:01:16.000 --> 00:01:19.000]  我們把這個時間恭敬祢
[00:01:19.000 --> 00:01:20.000]  仰望在祢手中
[00:01:20.000 --> 00:01:23.000]  求聖靈做我們每一個人的老師
[00:01:23.000 --> 00:01:27.000]  我們這樣的禱告 願望 奉祝耶穌基督的名
[00:01:27.000 --> 00:01:29.000]  阿們
[00:01:29.000 --> 00:01:37.000]  今天晚上我們來到第十二頁的講義
[00:01:37.000 --> 00:01:41.000]  我們要一同的看在七十錄裡面
[00:01:41.000 --> 00:01:45.000]  耶穌基督的七對的名字
[00:01:45.000 --> 00:01:58.000]  名字在聖經裡面有特殊的意義
[00:01:58.000 --> 00:02:04.000]  是將一個人的特性表達出來
[00:02:04.000 --> 00:02:09.000]  將一個人與我們的關係表達出來
[00:02:09.000 --> 00:02:16.000]  就能夠藉著他的名字認識他的意義
[00:02:16.000 --> 00:02:19.000]  第一對的名字
[00:02:19.000 --> 00:02:24.000]  我們看七十錄二十二章十三節
[00:02:24.000 --> 00:02:30.000]  在這一節裡面提到主耶穌的兩個名字
[00:02:30.000 --> 00:02:34.000]  阿拉伐和和美加
[00:02:34.000 --> 00:02:40.000]  這是希臘文的第一個和最後一個字母
[00:02:40.000 --> 00:02:47.000]  就表示耶穌基督是創始成終者
[00:02:47.000 --> 00:02:55.000]  這是主耶穌與我們非常重要的寶貴的關係
[00:02:55.000 --> 00:02:58.000]  祂是一切的開始
[00:02:58.000 --> 00:03:02.000]  祂是沒有開始的開始
[00:03:02.000 --> 00:03:05.000]  在聖經裡頭用兩個字來表達
[00:03:05.000 --> 00:03:08.000]  沒有開始的開始
[00:03:08.000 --> 00:03:10.000]  無始之始
[00:03:10.000 --> 00:03:13.000]  就是太初兩個字
[00:03:13.000 --> 00:03:19.000]  起初是in the beginning
[00:03:19.000 --> 00:03:21.000]  但是太初呢
[00:03:21.000 --> 00:03:26.000]  是表示在那個開始之前
[00:03:26.000 --> 00:03:29.000]  所以約翰福音第一章第一節說
[00:03:29.000 --> 00:03:34.000]  太初有道
[00:03:34.000 --> 00:03:39.000]  神是過於我們的理性所能夠了解的
[00:03:39.000 --> 00:03:46.000]  人不能夠了解沒有開始的一樣存在著
[00:03:46.000 --> 00:03:52.000]  也不能夠了解沒有結束的存在著
[00:03:52.000 --> 00:03:54.000]  沒有開始沒有結束
[00:03:54.000 --> 00:03:58.000]  我們永遠不能夠了解
[00:03:58.000 --> 00:04:02.000]  我們說神是一切的開始
[00:04:02.000 --> 00:04:04.000]  一定有人問
[00:04:04.000 --> 00:04:08.000]  那麼在神以前是什麼
[00:04:08.000 --> 00:04:14.000]  如果我們說神就是沒有開始的開始
[00:04:14.000 --> 00:04:17.000]  人一定說他不了解
[00:04:17.000 --> 00:04:22.000]  他一定要問在上帝以前是什麼
[00:04:22.000 --> 00:04:24.000]  如果我們回答說
[00:04:24.000 --> 00:04:27.000]  好上帝以前有存在
[00:04:27.000 --> 00:04:29.000]  我們把它叫x
[00:04:29.000 --> 00:04:33.000]  然後一定要問x以前是什麼
[00:04:33.000 --> 00:04:39.000]  那麼我們再說x以前是x1
[00:04:39.000 --> 00:04:42.000]  一定有人繼續地問下去
