
[00:00:00.000 --> 00:00:03.000]  一首很優美的詩歌
[00:00:03.000 --> 00:00:04.200]  表達一個很基本
[00:00:04.200 --> 00:00:06.000]  亦是一個很重要的訊息
[00:00:06.000 --> 00:00:11.200]  詩歌的內容說到摩西在臨離開世界之前
[00:00:11.200 --> 00:00:12.800]  已經年紀很大了
[00:00:12.800 --> 00:00:16.400]  他知道自己要離開這個世界
[00:00:16.400 --> 00:00:18.400]  再回到天賦那裡
[00:00:18.400 --> 00:00:20.800]  所以他就將最後的遺言
[00:00:20.800 --> 00:00:23.000]  可以說是對著一班以色列人說
[00:00:23.000 --> 00:00:28.000]  他說我已經將生死禍福之道陳明
[00:00:28.000 --> 00:00:29.200]  在你們的面前
[00:00:29.200 --> 00:00:31.200]  將什麼是生命的道路
[00:00:31.200 --> 00:00:32.400]  什麼是死亡的道路
[00:00:32.400 --> 00:00:33.800]  擺在你們的面前
[00:00:33.800 --> 00:00:36.800]  你們要選擇生命的道路
[00:00:36.800 --> 00:00:41.200]  摩西就是一個臨終的長者
[00:00:41.200 --> 00:00:44.200]  可以說是純純的厚戒一班的以色列人
[00:00:44.200 --> 00:00:46.400]  去到耶穌的年代
[00:00:46.400 --> 00:00:48.200]  就是有一個少年人
[00:00:48.200 --> 00:00:50.600]  亦都另一個角度去問
[00:00:50.600 --> 00:00:52.200]  想問耶穌一個問題
[00:00:52.200 --> 00:00:54.400]  耶穌究竟我做些什麼
[00:00:54.400 --> 00:00:58.000]  才可以去得到上世保給我的永生呢
[00:00:58.000 --> 00:01:01.000]  在不同的聖經裏面
[00:01:01.000 --> 00:01:02.200]  荒書說
[00:01:02.200 --> 00:01:04.000]  這是一個年輕人
[00:01:04.000 --> 00:01:06.600]  是一個有錢的年輕人
[00:01:06.600 --> 00:01:08.000]  他做了一個官
[00:01:08.000 --> 00:01:10.200]  他就來到耶穌的面前
[00:01:10.200 --> 00:01:12.400]  去問一個這樣的問題
[00:01:12.400 --> 00:01:14.200]  究竟我可以做些什麼
[00:01:14.200 --> 00:01:17.200]  去承受上帝的永生
[00:01:17.200 --> 00:01:20.200]  接著耶穌馬上就已經
[00:01:20.200 --> 00:01:22.200]  可以說糾正他的問題
[00:01:22.200 --> 00:01:24.000]  他說為什麼你要用善事來問我呢
[00:01:24.000 --> 00:01:26.200]  在這個地上只有一個是善
[00:01:26.200 --> 00:01:27.400]  只有一個
[00:01:27.400 --> 00:01:29.400]  只有上帝是善
[00:01:29.400 --> 00:01:31.200]  地上沒有一個人是善
[00:01:31.200 --> 00:01:33.400]  沒有一件事是善
[00:01:33.400 --> 00:01:35.000]  所以這個少年人
[00:01:35.000 --> 00:01:37.000]  其實他在問
[00:01:37.000 --> 00:01:38.200]  我可以做些什麼
[00:01:38.200 --> 00:01:42.400]  我的行為可以去值得上帝
[00:01:42.400 --> 00:01:45.400]  換取上帝給我這個永恆的生命
[00:01:45.400 --> 00:01:48.400]  耶穌其實一開始
[00:01:48.400 --> 00:01:52.800]  就已經很清楚的一個方向
[00:01:52.800 --> 00:01:54.600]  他不是在回答這個年輕人
[00:01:54.600 --> 00:01:57.000]  你要做些什麼行為
[00:01:57.000 --> 00:01:59.600]  才可以賺取上帝的永生
[00:01:59.600 --> 00:02:04.000]  其實耶穌是要幫助這個少年的官
[00:02:04.000 --> 00:02:06.800]  或者少年有錢的少年人
[00:02:06.800 --> 00:02:07.800]  讓他明白
[00:02:07.800 --> 00:02:10.400]  你是不可以做任何事
[00:02:10.400 --> 00:02:11.800]  任何的行為
[00:02:11.800 --> 00:02:15.200]  去賺取上帝給我們的永生
[00:02:15.200 --> 00:02:18.800]  耶穌就在這個方向裏面
[00:02:18.800 --> 00:02:22.000]  一步一步的引導這個少年人
[00:02:22.000 --> 00:02:24.000]  明白這個真理
[00:02:24.000 --> 00:02:26.400]  他一開始就問這個少年人
[00:02:26.400 --> 00:02:28.400]  上帝的誡命
[00:02:28.400 --> 00:02:31.400]  你有沒有去遵守呢
[00:02:31.400 --> 00:02:36.000]  然後耶穌就列舉了一些誡命的內容
[00:02:36.000 --> 00:02:37.600]  十誡的基本內容
[00:02:37.600 --> 00:02:39.200]  幫我殺人、孝敬父母
[00:02:39.200 --> 00:02:40.400]  要我人如己
[00:02:40.400 --> 00:02:42.800]  這些都是十誡和一些
[00:02:42.800 --> 00:02:47.200]  上帝最叫人去遵守的基本的一些誡命
[00:02:47.200 --> 00:02:49.000]  這個少年人回答得很快
[00:02:49.000 --> 00:02:52.600]  他說這些我做完了
[00:02:52.600 --> 00:02:54.200]  我已經做了
[00:02:54.200 --> 00:02:57.600]  他覺得他自己已經很真誠地在上帝面前說
[00:02:57.600 --> 00:02:59.400]  這些我已經做了
[00:02:59.400 --> 00:03:02.200]  還有些什麼我是沒有做的呢
[00:03:02.200 --> 00:03:06.000]  他問這個問題正正是反映到
[00:03:06.000 --> 00:03:08.800]  一些想用自己的行為
[00:03:08.800 --> 00:03:12.000]  去賺取永生的人的一種心態
[00:03:12.000 --> 00:03:15.800]  如果我覺得我要用我的行為
[00:03:15.800 --> 00:03:18.200]  去賺取上帝的永生
[00:03:18.200 --> 00:03:19.800]  就是永遠的生命
[00:03:19.800 --> 00:03:21.000]  我做了很多之後
[00:03:21.000 --> 00:03:22.200]  我仍然問一個問題
[00:03:22.200 --> 00:03:24.000]  我做夠了沒有呢
[00:03:24.000 --> 00:03:26.800]  還有沒有什麼我是沒有做的呢
[00:03:26.800 --> 00:03:31.800]  這個少年的觀正正是反映這個心態
[00:03:31.800 --> 00:03:35.200]  接著耶穌再問多一個問題
[00:03:35.200 --> 00:03:36.600]  再給多一個方向
[00:03:36.600 --> 00:03:39.400]  就說你將你所有的變賣
[00:03:39.400 --> 00:03:42.000]  接著你來跟從我
[00:03:42.000 --> 00:03:47.000]  耶穌給了兩個很重要的內容的指示
[00:03:47.000 --> 00:03:48.800]  其實嚴格來說
[00:03:48.800 --> 00:03:50.600]  最重要的方向就是說
[00:03:50.600 --> 00:03:53.000]  要一個少年人你來跟從我
[00:03:53.000 --> 00:03:54.600]  你來跟從我
[00:03:54.600 --> 00:03:58.200]  這個少年人他聽完之後
[00:03:58.200 --> 00:04:01.400]  他就悠悠愁愁地走了
[00:04:01.400 --> 00:04:06.200]  因為他的財富有很多
[00:04:06.200 --> 00:04:08.800]  正正他的行動
[00:04:08.800 --> 00:04:11.000]  他講出了耶穌跟他說
[00:04:11.000 --> 00:04:14.600]  一開始的時候他以為他已經有足夠的能力
[00:04:14.600 --> 00:04:17.400]  去做些事情去賺取上帝的永生
[00:04:17.400 --> 00:04:21.000]  但是耶穌在這裡一步一步告訴他
[00:04:21.000 --> 00:04:24.000]  你根本沒有這個能力去付出這個代價
[00:04:24.000 --> 00:04:27.400]  去換取上帝給我們永恆的生命
[00:04:27.400 --> 00:04:29.200]  接著耶穌在這裡說
[00:04:29.200 --> 00:04:33.600]  有錢人進神的閣是難的
[00:04:33.600 --> 00:04:37.400]  就比一個駱駝穿針的眼
[00:04:37.400 --> 00:04:39.400]  駱駝穿過針的眼
[00:04:39.400 --> 00:04:40.800]  大家都可以想像
[00:04:40.800 --> 00:04:44.200]  基本上是人間來說是不可能的事情
[00:04:44.200 --> 00:04:46.400]  耶穌用了一個諺語去表達
[00:04:46.400 --> 00:04:51.400]  就好像一個有錢人進上帝的閣是很艱難的一樣
[00:04:51.400 --> 00:04:55.200]  一班門徒就馬上去說
[00:04:55.200 --> 00:04:57.600]  這樣誰可以進入上帝的閣呢?
[00:04:57.600 --> 00:05:00.400]  這句話背後是有一個意思
[00:05:00.400 --> 00:05:02.200]  是有一個背景在裡面
[00:05:02.200 --> 00:05:04.000]  因為當時有錢人
[00:05:04.000 --> 00:05:08.000]  在當時一些猶太人心的看法裡面
[00:05:08.000 --> 00:05:10.000]  為什麼他會有錢呢?
[00:05:10.000 --> 00:05:13.000]  為什麼他會生活這麼順利呢?
[00:05:13.000 --> 00:05:15.200]  因為有上帝賜福給他
[00:05:15.200 --> 00:05:18.000]  所以在一些猶太人裡面
[00:05:18.000 --> 00:05:21.000]  他覺得這些有錢人就是上帝賜福給他的人
[00:05:21.000 --> 00:05:23.800]  如果這班連上帝賜福給的人
[00:05:23.800 --> 00:05:25.200]  都進入不到天國
[00:05:25.200 --> 00:05:26.800]  或得不到上帝給他的永生
