
[00:00:00.000 --> 00:00:02.920]  今天我們要領受主的話
[00:00:02.920 --> 00:00:06.840]  成為我們心裏的力量
[00:00:06.840 --> 00:00:12.400]  使我們繼續奔跑前程
[00:00:12.400 --> 00:00:16.440]  剛才我們讀的今句
[00:00:16.440 --> 00:00:19.040]  是我們的需要
[00:00:19.040 --> 00:00:25.680]  使我們心裏的力量剛強起來
[00:00:25.680 --> 00:00:28.920]  這是我們要求的
[00:00:28.920 --> 00:00:31.040]  心裏有力量
[00:00:31.040 --> 00:00:36.720]  無論為主做什麼都有喜樂
[00:00:36.720 --> 00:00:40.720]  心裏的力量的表現
[00:00:40.720 --> 00:00:45.640]  是真正屬靈的果子
[00:00:45.640 --> 00:00:48.520]  我們每一個弟兄姊妹
[00:00:48.520 --> 00:00:50.720]  今天早上
[00:00:50.720 --> 00:00:53.280]  在崇拜之中
[00:00:53.280 --> 00:00:57.560]  向主默默地禱告
[00:00:57.560 --> 00:01:00.320]  很切地祈求
[00:01:00.320 --> 00:01:08.320]  求主使你心裏的力量剛強起來
[00:01:08.320 --> 00:01:12.640]  我覺得這是我自己的需要
[00:01:12.640 --> 00:01:19.120]  我需要裏面有更剛強的屬靈的力量
[00:01:19.120 --> 00:01:23.800]  弟兄姊妹們侍奉越多
[00:01:23.800 --> 00:01:28.280]  你就越需要力量
[00:01:28.280 --> 00:01:29.880]  力上加力
[00:01:29.880 --> 00:01:37.680]  我們要領受主的話先低頭祈禱
[00:01:37.680 --> 00:01:40.680]  教會的元首耶穌基督
[00:01:40.680 --> 00:01:46.760]  我們在這週年紀念的時候向你舉目
[00:01:46.760 --> 00:01:49.480]  教會是你的
[00:01:49.480 --> 00:01:51.800]  你愛教會 我教會捨棄
[00:01:51.800 --> 00:01:55.080]  用你的生命的寶血埋屬教會
[00:01:55.080 --> 00:02:01.080]  我們在其中能夠成為你身體上的支弟
[00:02:01.080 --> 00:02:03.840]  所求你是我們這一班人
[00:02:03.840 --> 00:02:07.720]  在你的恩典中不白占地圖
[00:02:07.720 --> 00:02:10.200]  能夠為你多結果子
[00:02:10.200 --> 00:02:12.840]  滿足你的心
[00:02:12.840 --> 00:02:15.400]  我們為了過去感恩之餘
[00:02:15.400 --> 00:02:18.200]  我們向前面展望
[00:02:18.200 --> 00:02:19.720]  我們要仰望你
[00:02:19.720 --> 00:02:21.160]  我們要依靠你
[00:02:21.160 --> 00:02:23.400]  我們要懇求你
[00:02:23.400 --> 00:02:26.600]  我們的能源是你
[00:02:26.600 --> 00:02:29.080]  求主使我們每一個人能夠說
[00:02:29.080 --> 00:02:30.920]  靠著那加給我力量的
[00:02:30.920 --> 00:02:33.240]  我凡事都能做
[00:02:33.240 --> 00:02:37.400]  求神加多我們的信心
[00:02:37.400 --> 00:02:41.160]  就是使我們屬靈的容量被你擴大
[00:02:41.160 --> 00:02:45.160]  讓我們繼續更多的更豐富的領受
[00:02:45.160 --> 00:02:50.160]  好讓我們更多的更豐富的施出
[00:02:50.160 --> 00:02:54.640]  主啊 你使我們成為祢的賜福的寄明
[00:02:54.640 --> 00:02:56.720]  使我們整個的教會是如此
[00:02:56.720 --> 00:02:59.600]  使我們每一個人也是如此
[00:02:59.600 --> 00:03:01.360]  主啊 我們謙卑的
[00:03:01.360 --> 00:03:03.880]  也在你面前認罪
[00:03:03.880 --> 00:03:06.920]  我們有很多的虧欠
[00:03:06.920 --> 00:03:11.000]  我們離開你的標準還是他的恆遠
[00:03:11.000 --> 00:03:14.560]  我們還需要奔走前程
[00:03:14.560 --> 00:03:17.560]  主啊 你給我們真正謙卑的信
[00:03:17.560 --> 00:03:19.600]  看見自己的缺陷
[00:03:19.600 --> 00:03:21.240]  看見自己的不足
[00:03:21.240 --> 00:03:23.080]  看見你訂的目標
[00:03:23.080 --> 00:03:25.400]  在我們的前面
[00:03:25.400 --> 00:03:28.160]  求主你做我們的動力
[00:03:28.160 --> 00:03:30.040]  你在我們後面推動我們
[00:03:30.040 --> 00:03:32.120]  在我們前面吸引我們
[00:03:32.120 --> 00:03:35.480]  你也在我們的左右扶持我們
[00:03:35.480 --> 00:03:37.880]  讓我們這一班猛恩的人
[00:03:37.880 --> 00:03:40.560]  能夠更多滿足你的心
[00:03:40.560 --> 00:03:43.680]  帶領更多的人會向你
[00:03:43.680 --> 00:03:46.360]  主啊 我們在這個時候要領受你的話語
[00:03:46.360 --> 00:03:48.560]  作為我們的指南針
[00:03:48.560 --> 00:03:50.560]  作為我們的標竿
[00:03:50.560 --> 00:03:53.200]  求主向我們說話
[00:03:53.200 --> 00:03:55.280]  我們這樣的祈求感謝
[00:03:55.280 --> 00:04:00.320]  奉主耶穌基督的聖靈
[00:04:00.320 --> 00:04:10.880]  請大家翻到新約《已不所書》
[00:04:10.880 --> 00:04:13.880]  在這本書裏面
[00:04:13.880 --> 00:04:18.000]  保羅被聖靈感動
[00:04:18.000 --> 00:04:23.600]  提到教會的八個比喻
[00:04:23.600 --> 00:04:26.680]  在這些比喻裏面
[00:04:26.680 --> 00:04:33.760]  給我們看見父神對教會的心意
[00:04:33.760 --> 00:04:37.640]  作為我們追求的目標
