
[00:00:00.000 --> 00:00:01.640]  在二弗所書的第一章
[00:00:01.640 --> 00:00:03.760]  保羅用了很多的篇幅
[00:00:03.760 --> 00:00:10.560]  去讚歎上帝在耶穌裏面所成就的救贖的恩典
[00:00:10.560 --> 00:00:11.960]  在第二章裏面
[00:00:11.960 --> 00:00:18.080]  保羅繼續地去講出了一個很重要的真理
[00:00:18.080 --> 00:00:21.000]  就是上帝如何在人的絕望當中
[00:00:21.000 --> 00:00:23.600]  在離開上帝的生命
[00:00:23.600 --> 00:00:25.840]  這個絕望的過程裏面
[00:00:25.840 --> 00:00:30.400]  如何能夠藉著上帝的恩典或藉著上帝的救贖
[00:00:30.400 --> 00:00:34.800]  能夠成為有莫大盼望的一個人
[00:00:34.800 --> 00:00:39.840]  在第一章裏面講到上帝如何呼召人去跟從他
[00:00:39.840 --> 00:00:42.400]  在第二章第一至第十節裏面
[00:00:42.400 --> 00:00:44.920]  上帝也講到上帝的呼召
[00:00:44.920 --> 00:00:46.680]  可以說是一個恩召
[00:00:46.680 --> 00:00:52.000]  他如何藉著耶穌使人和上帝之間的關係
[00:00:52.000 --> 00:00:54.440]  回復一個和好的關係
[00:00:54.440 --> 00:00:57.000]  人本來是上帝的敵人
[00:00:57.000 --> 00:00:59.040]  上帝憑著恩典
[00:00:59.040 --> 00:01:00.560]  藉著人的信
[00:01:00.560 --> 00:01:04.640]  去將救恩賜給每一個人
[00:01:04.640 --> 00:01:08.320]  也希望被拯救的人
[00:01:08.320 --> 00:01:12.880]  能夠在生命當中彰顯上帝自己的美善
[00:01:12.880 --> 00:01:14.680]  在這段經文裏面
[00:01:14.680 --> 00:01:16.960]  第二章第一節開始這樣說
[00:01:21.960 --> 00:01:24.440]  這裏用了死字
[00:01:24.440 --> 00:01:29.240]  即是我們死在罪惡過犯當中
[00:01:29.240 --> 00:01:31.800]  這個死是代表著我們的生命
[00:01:31.800 --> 00:01:35.760]  好像沒有任何地上的意義一樣
[00:01:35.760 --> 00:01:37.800]  這個生命這個死的意思是指
[00:01:37.800 --> 00:01:42.560]  人和上帝之間隔離的一種生命的狀態
[00:01:42.560 --> 00:01:45.640]  在過犯和罪惡裏面的死
[00:01:45.640 --> 00:01:47.800]  是講到一個
[00:01:47.800 --> 00:01:49.960]  當然我們仍然有一個活的生命
[00:01:49.960 --> 00:01:53.960]  但是是講到人和上帝之間的關係的死亡
[00:01:53.960 --> 00:01:56.800]  一個狀態
[00:01:56.800 --> 00:01:59.160]  人離開上帝之後的狀態
[00:01:59.160 --> 00:02:00.360]  在聖經上說
[00:02:00.360 --> 00:02:04.080]  我們衰生猶死的一個這樣的狀態
[00:02:04.080 --> 00:02:06.240]  接著在第二節保羅去列舉
[00:02:06.240 --> 00:02:07.840]  當我們死在
[00:02:07.840 --> 00:02:10.840]  或者在一個過犯罪惡當中
[00:02:10.840 --> 00:02:13.280]  去活著的時候
[00:02:13.280 --> 00:02:15.520]  我們是一個什麼樣的狀態呢
[00:02:15.520 --> 00:02:17.160]  保羅在這裏說
[00:02:17.160 --> 00:02:18.560]  是一個墮落的世代
[00:02:18.560 --> 00:02:21.720]  有魔鬼的運行
[00:02:21.720 --> 00:02:24.480]  在第三節裏面保羅說
[00:02:24.480 --> 00:02:28.160]  我們在罪惡過犯當中的行事為人
[00:02:28.160 --> 00:02:28.960]  是怎樣的呢
[00:02:28.960 --> 00:02:32.000]  沒有了上帝根源的生命
[00:02:32.000 --> 00:02:35.840]  隔絕之後的生命的狀態
[00:02:35.840 --> 00:02:37.440]  可以說保羅在說
[00:02:37.440 --> 00:02:39.000]  我們未信耶穌之前
[00:02:39.000 --> 00:02:41.120]  我們未認識耶穌之前
[00:02:41.120 --> 00:02:42.960]  我們就是一個這樣的狀態
[00:02:42.960 --> 00:02:44.000]  我們的生命
[00:02:44.000 --> 00:02:46.560]  我們在現實的人生中生活
[00:02:46.560 --> 00:02:48.560]  但是好像活著
[00:02:48.560 --> 00:02:50.760]  其實我們是死的
[00:02:50.760 --> 00:02:52.960]  保羅在這裏說
[00:02:52.960 --> 00:02:54.360]  雖然我們是死了
[00:02:54.360 --> 00:02:56.120]  但在人間來說好像活著
