
[00:00:00.000 --> 00:00:05.440]  我想在人生裡我們都會面對很多不同的困難、不同的挑戰
[00:00:05.440 --> 00:00:12.240]  在困難和挑戰裡,通常我們第一個反應,或者我們通常的反應都不是很正面
[00:00:12.240 --> 00:00:18.400]  可能就算信耶穌一段時間很長的時候,我們都會說上帝為什麼會有這些困難呢?
[00:00:18.400 --> 00:00:20.720]  為什麼會有這些事情淋到我呢?
[00:00:20.720 --> 00:00:24.960]  通常都是比較消極一點的心情
[00:00:25.440 --> 00:00:31.200]  但是今天我想和大家藉著初期教會這一段的經歷,他們的心態
[00:00:31.200 --> 00:00:36.480]  去怎樣在困難裡面對自己的困難,面對他們的挑戰
[00:00:36.480 --> 00:00:42.320]  但願他們的生命的表現和他們面對困難的態度成為我們今天的激勵
[00:00:42.320 --> 00:00:43.520]  我們一起祈禱
[00:00:43.520 --> 00:00:47.360]  天父我們求祢保守我們每一個弟兄姊妹
[00:00:47.360 --> 00:00:52.640]  讓我們知道怎樣去面對我們的困難,怎樣去面對我們的逆境,怎樣去面對我們的挑戰
[00:00:52.960 --> 00:00:57.920]  讓我們存在一個積極的心去作你自己的見證
[00:00:57.920 --> 00:00:59.920]  祈禱奉耶穌的名,阿們
[00:00:59.920 --> 00:01:08.400]  今天《道歉經文》可以說是《士頓傳》第三章到第四章一件事的結尾
[00:01:08.400 --> 00:01:15.520]  第三章第四章就是講到有一個四十多歲的人,與生俱來,走不了路
[00:01:15.520 --> 00:01:18.640]  但是能夠起來行走,一個神蹟
[00:01:18.880 --> 00:01:28.480]  因為這個神蹟,彼得之後有一個講道去講論這個人為什麼能夠與生俱來,行不了路
[00:01:28.480 --> 00:01:31.920]  但現在可以行走是因為耶穌基督的命
[00:01:31.920 --> 00:01:34.240]  因為耶穌已經從死裡復活了
[00:01:34.240 --> 00:01:41.280]  所以藉著這個神蹟去傳講一個福音,去鼓勵人去相信耶穌
[00:01:41.280 --> 00:01:45.120]  當時有三千人,有五千人去相信了耶穌
[00:01:45.120 --> 00:01:51.360]  接著有一班人出來,無論是宗教領袖,無論是政治的官員
[00:01:51.360 --> 00:01:58.160]  去禁止這班人,就是這班門徒,你們不要再去傳講這個福音了
