
[00:00:00.000 --> 00:00:03.200]  回到第二節的神學四重奏
[00:00:03.200 --> 00:00:06.200]  繼續和大家探討信仰和神話的關係
[00:00:06.200 --> 00:00:10.000]  提到聖經的史實性
[00:00:10.000 --> 00:00:13.200]  想起我們小時候也有看過一本書
[00:00:13.200 --> 00:00:14.800]  叫做《鐵證代判》
[00:00:14.800 --> 00:00:16.800]  我看過
[00:00:16.800 --> 00:00:20.200]  你們是同年代的
[00:00:20.200 --> 00:00:22.600]  話說中學時期
[00:00:22.600 --> 00:00:24.800]  我基督徒家庭長大
[00:00:24.800 --> 00:00:27.600]  所以一直以來從小到大
[00:00:27.600 --> 00:00:31.800]  在主教學中聽了很多聖經故事
[00:00:31.800 --> 00:00:37.000]  當時我也不斷被教導
[00:00:37.000 --> 00:00:38.800]  說是真的
[00:00:38.800 --> 00:00:40.800]  但到了中學時期
[00:00:40.800 --> 00:00:43.200]  開始有很多人懷疑
[00:00:43.200 --> 00:00:45.000]  聖經的事是否真的
[00:00:45.000 --> 00:00:47.400]  老師說的是進化論
[00:00:47.400 --> 00:00:48.200]  聖經是否真的
[00:00:48.200 --> 00:00:50.800]  那時有一本書拯救了我
[00:00:50.800 --> 00:00:52.200]  就是《鐵證代判》
[00:00:52.200 --> 00:00:55.400]  我看得非常開心和安慰
[00:00:55.400 --> 00:00:57.800]  每次有疑問我便會翻開
[00:00:57.800 --> 00:01:00.200]  發現是真的
[00:01:00.200 --> 00:01:01.400]  我可以了
[00:01:01.400 --> 00:01:02.800]  真的可以救了
[00:01:02.800 --> 00:01:04.800]  安全了
[00:01:04.800 --> 00:01:06.800]  (拯救是否豁免了)
[00:01:06.800 --> 00:01:07.600]  拯救了
[00:01:07.600 --> 00:01:09.600]  總之是安全
[00:01:09.600 --> 00:01:12.000]  我那種焦慮不安
[00:01:12.000 --> 00:01:15.200]  看完那本書後立即得到舒緩
[00:01:15.200 --> 00:01:17.000]  所以我很感謝這本書
[00:01:17.000 --> 00:01:18.400]  渡過了我的中學時期
[00:01:18.400 --> 00:01:20.200]  焦慮期
[00:01:20.200 --> 00:01:23.800]  這本書在華人基督教界很知名
[00:01:23.800 --> 00:01:27.600]  但有一樣東西普遍華人不知道
[00:01:27.600 --> 00:01:29.400]  就是這本書的英文版
[00:01:29.400 --> 00:01:32.400]  在2017年推出了更新版
[00:01:32.400 --> 00:01:36.200]  更新版是作者的兒子
[00:01:36.200 --> 00:01:37.600]  作者叫George Medel
[00:01:37.600 --> 00:01:39.400]  兒子叫Saul Medel
[00:01:39.400 --> 00:01:43.600]  原作者不是學術人
[00:01:43.600 --> 00:01:45.600]  他透過自己搜集的資料
[00:01:45.600 --> 00:01:47.200]  寫成這本《鐵證代判》的書
[00:01:47.200 --> 00:01:50.200]  但兒子之後真的讀護教學
[00:01:50.200 --> 00:01:51.600]  讀PhD
[00:01:51.600 --> 00:01:55.800]  發現原來在整個學術界
[00:01:55.800 --> 00:01:58.400]  對於《鐵證代判》的討論
[00:01:58.400 --> 00:02:01.400]  已經被批評到體無完膚
[00:02:01.400 --> 00:02:03.400]  (他仍然是一個)
[00:02:03.400 --> 00:02:05.400]  (安樂穩健)
[00:02:05.400 --> 00:02:07.400]  (拆毀了我的中學)
[00:02:07.400 --> 00:02:10.800]  他仍然是一個信仰的捍衛者
[00:02:10.800 --> 00:02:14.200]  或者是護教學
[00:02:14.200 --> 00:02:16.400]  他很想重新幫他爸爸
[00:02:16.400 --> 00:02:17.800]  寫這本書
[00:02:17.800 --> 00:02:21.000]  2017年推出了更新版
[00:02:21.000 --> 00:02:23.000]  在英文的原文
[00:02:23.000 --> 00:02:25.400]  但更新版的方法
[00:02:25.400 --> 00:02:28.600]  與他爸爸寫的方法很不同
[00:02:28.600 --> 00:02:31.400]  爸爸一直嘗試說
[00:02:31.400 --> 00:02:33.400]  聖經無論是洪水故事
[00:02:33.400 --> 00:02:35.000]  無論是大衛王朝
[00:02:35.000 --> 00:02:36.600]  無論是耶利哥城等等
[00:02:36.600 --> 00:02:38.200]  全部都是歷史事實
[00:02:38.200 --> 00:02:40.200]  還寫上不同的證據
[00:02:40.200 --> 00:02:42.000]  去證實真實發生過
[00:02:42.000 --> 00:02:45.000]  但兒子經過學界討論時發現
[00:02:45.000 --> 00:02:47.000]  似乎並沒有證實
[00:02:47.000 --> 00:02:50.800]  他整個方法不是嘗試證實他們是存在
[00:02:50.800 --> 00:02:55.600]  而是說如果我們相信大衛王朝存在
[00:02:55.600 --> 00:02:58.800]  的可能性仍然是有的
[00:02:58.800 --> 00:03:00.800]  所以他是在說
[00:03:00.800 --> 00:03:04.200]  聖經歷史事實性是可能的
[00:03:04.200 --> 00:03:06.800]  這樣的角度去抵擋他的信仰
[00:03:06.800 --> 00:03:08.000]  這本書是這樣的
[00:03:08.000 --> 00:03:09.200]  如果是這樣的話
[00:03:09.200 --> 00:03:10.400]  其實我也想起
[00:03:10.400 --> 00:03:13.600]  現在在很多的聖經研究裏面
[00:03:13.600 --> 00:03:17.000]  也發現了很多的聖經故事
[00:03:17.000 --> 00:03:18.600]  其實也不是他獨有的
[00:03:18.600 --> 00:03:21.600]  其他的宗教或其他地區
[00:03:21.600 --> 00:03:24.200]  其實也有一個非常古老的神話
[00:03:24.200 --> 00:03:26.000]  而這些神話的情節
[00:03:26.000 --> 00:03:28.800]  其實與聖經的故事很相似
