
[00:00:00.000 --> 00:00:07.000]  我們繼續地來思想領受彼得所學的功課
[00:00:07.000 --> 00:00:10.000]  他學到了
[00:00:10.000 --> 00:00:14.000]  他原來是缺點上最大的師徒
[00:00:14.000 --> 00:00:19.000]  他那個大師徒的大原來是缺點大
[00:00:19.000 --> 00:00:25.000]  但是後來他真是成了靈性上的大師徒
[00:00:25.000 --> 00:00:28.000]  工作上的大師徒
[00:00:28.000 --> 00:00:32.000]  他真是經過了學習的功課
[00:00:32.000 --> 00:00:37.000]  有的人生來比別人好一點
[00:00:37.000 --> 00:00:39.000]  這樣的人好呢
[00:00:39.000 --> 00:00:43.000]  容易給別人感覺到他原來就好
[00:00:43.000 --> 00:00:47.000]  所以對別人的吉利不是太大
[00:00:47.000 --> 00:00:50.000]  因為別人想他生來好我生來不好
[00:00:50.000 --> 00:00:52.000]  所以他現在好我現在不好
[00:00:52.000 --> 00:00:54.000]  有原因的
[00:00:54.000 --> 00:00:59.000]  但是如果一個人原來很差很軟弱
[00:00:59.000 --> 00:01:01.000]  後來呢
[00:01:01.000 --> 00:01:03.000]  得到所謂的改變
[00:01:03.000 --> 00:01:06.000]  一個很明顯的轉變
[00:01:06.000 --> 00:01:09.000]  這樣的人更加榮耀神
[00:01:09.000 --> 00:01:11.000]  更加感動人
[00:01:11.000 --> 00:01:15.000]  也更加吸引人來學習
[00:01:15.000 --> 00:01:18.000]  彼得就是這樣
[00:01:18.000 --> 00:01:23.000]  他過去和後來真是差別很大很大
[00:01:23.000 --> 00:01:26.000]  是個強烈的對比
[00:01:26.000 --> 00:01:30.000]  他原來的缺點越大
[00:01:30.000 --> 00:01:37.000]  他學到以後在他的心靈中留下的那個痕跡就越深
[00:01:37.000 --> 00:01:41.000]  好像我們舉經講過的一個例子
[00:01:41.000 --> 00:01:43.000]  他跌倒了
[00:01:43.000 --> 00:01:46.000]  他原來認為別人都會跌倒
[00:01:46.000 --> 00:01:48.000]  他不會跌倒
[00:01:48.000 --> 00:01:49.000]  後來呢
[00:01:49.000 --> 00:01:51.000]  跌倒最慘的就是他
[00:01:51.000 --> 00:01:54.000]  這個事情這個經驗呢
[00:01:54.000 --> 00:01:58.000]  在他的心靈裡頭真是深深的一個裸痕
[00:01:58.000 --> 00:02:02.000]  裸鐵裸在他心上
[00:02:02.000 --> 00:02:05.000]  留下一個很深的痕跡
[00:02:05.000 --> 00:02:08.000]  所以他後來寫書信的時候
[00:02:08.000 --> 00:02:12.000]  他無次提到堅固堅固堅固
[00:02:12.000 --> 00:02:19.000]  他怕許多的弟兄姊妹和他一樣
[00:02:19.000 --> 00:02:23.000]  要他們在這個上面要學習
[00:02:23.000 --> 00:02:30.000]  那我們就順便看看這五處他重復的講堅固
[00:02:30.000 --> 00:02:34.000]  大家可以把經文記下來
[00:02:34.000 --> 00:02:39.000]  彼得前書第五章第九節
[00:02:39.000 --> 00:02:44.000]  你們要用堅固的信心抵擋它
[00:02:44.000 --> 00:02:46.000]  堅固
[00:02:46.000 --> 00:02:48.000]  再看第十二節
[00:02:48.000 --> 00:02:51.000]  我略略地寫了這信
[00:02:51.000 --> 00:02:56.000]  托我所看為忠心的兄弟希臘專教你們
[00:02:56.000 --> 00:02:57.000]  勸勉你們
[00:02:57.000 --> 00:03:00.000]  要證明這恩是神的真恩
[00:03:00.000 --> 00:03:05.000]  你們務要在這恩上站立得住
[00:03:05.000 --> 00:03:07.000]  每一次這樣寫的時候
[00:03:07.000 --> 00:03:13.000]  都是把他的記憶提一下提一下提一下
[00:03:13.000 --> 00:03:16.000]  再看後書
[00:03:16.000 --> 00:03:19.000]  第一章第十節
[00:03:19.000 --> 00:03:21.000]  後書一章十節
[00:03:21.000 --> 00:03:26.000]  所以弟兄們應當更加殷勤
[00:03:26.000 --> 00:03:34.000]  使你們說我們的恩昭和全全堅定不移
[00:03:34.000 --> 00:03:37.000]  你們若行者這樣就永不失腳
[00:03:37.000 --> 00:03:41.000]  不失腳也是站得穩的意思
[00:03:41.000 --> 00:03:45.000]  再看第十二節
[00:03:45.000 --> 00:03:47.000]  一章十二節
[00:03:47.000 --> 00:03:50.000]  你們雖然曉得這些事
[00:03:50.000 --> 00:03:53.000]  並且在你們已有的真道上堅固
[00:03:53.000 --> 00:03:56.000]  我卻要講這些事
[00:03:56.000 --> 00:03:59.000]  常常提醒你們
[00:03:59.000 --> 00:04:02.000]  這個話的意思是什麼
[00:04:02.000 --> 00:04:04.000]  既然他們已經堅固
[00:04:04.000 --> 00:04:07.000]  那麼何必再提醒呢
[00:04:07.000 --> 00:04:11.000]  對堅固的人提醒堅固那不是多餘的嗎
[00:04:11.000 --> 00:04:17.000]  但是彼得他學的這個堅固的功課用太深了
[00:04:17.000 --> 00:04:22.000]  他原來自己一味堅固
[00:04:22.000 --> 00:04:25.000]  所以他想到許多弟兄姊妹
[00:04:25.000 --> 00:04:26.000]  他們一味堅固
[00:04:26.000 --> 00:04:29.000]  也許當時那個時候真是堅固
[00:04:29.000 --> 00:04:31.000]  他也感覺自己堅固
[00:04:31.000 --> 00:04:34.000]  但是後來彼得跌倒了
[00:04:34.000 --> 00:04:38.000]  所以他想這些現在感覺堅固的人
[00:04:38.000 --> 00:04:41.000]  可能如果不小心
[00:04:41.000 --> 00:04:43.000]  如果不警醒
[00:04:43.000 --> 00:04:45.000]  他們還會跌倒
[00:04:45.000 --> 00:04:48.000]  還會死角
[00:04:48.000 --> 00:04:52.000]  所以對堅固的人他也要提醒他們
[00:04:52.000 --> 00:04:55.000]  這是他的功課之深度
[00:04:55.000 --> 00:04:58.000]  讓他這樣不放心的
[00:04:58.000 --> 00:05:01.000]  三章十七節
