
[00:00:00.000 --> 00:00:06.400]  我們要一連十次來查考聖經新約裡面
[00:00:06.400 --> 00:00:10.200]  希伯來書的寶貴的信息
[00:00:10.200 --> 00:00:13.900]  希伯來書裡面告訴基督徒
[00:00:13.900 --> 00:00:18.700]  各樣與我們的信仰有關的基本的真理
[00:00:18.700 --> 00:00:25.000]  讓我們可以清楚明白、靈會、尊情
[00:00:25.000 --> 00:00:32.500]  希伯來書最主要的主題就是:耶穌基督永不改變
[00:00:32.500 --> 00:00:35.800]  耶穌基督永不改變
[00:00:35.800 --> 00:00:40.500]  在希伯來書13章第8節這樣說
[00:00:40.500 --> 00:00:47.300]  耶穌基督昨日、今日、一直到永遠是一樣的
[00:00:47.300 --> 00:00:51.500]  我們在看耶穌基督不改變之前
[00:00:51.500 --> 00:00:55.500]  先看一看,在希伯來書裡面告訴我們
[00:00:55.500 --> 00:01:01.000]  世上的事是如何的會改變、逐步改變
[00:01:01.000 --> 00:01:06.300]  但是世上的事常常在改變之中
[00:01:06.300 --> 00:01:16.200]  我們首先注意到第一章11節12節
[00:01:16.200 --> 00:01:18.300]  我讀給大家聽
[00:01:18.300 --> 00:01:23.300]  天地都要滅謀,泥卻要長存
[00:01:23.300 --> 00:01:27.300]  天地都要像衣服漸漸舊了
[00:01:27.300 --> 00:01:31.300]  你要將天地捲起來像一件外衣
[00:01:31.300 --> 00:01:33.600]  天地就都改變了
[00:01:33.600 --> 00:01:39.300]  唯有你永不改變,你的年數沒有窮盡
[00:01:39.300 --> 00:01:44.300]  我們平常說天地是最不會改變的了
[00:01:44.300 --> 00:01:47.000]  但是這兩節告訴我們
[00:01:47.000 --> 00:01:53.300]  這個世界和其中的一切事物都會改變
[00:01:53.300 --> 00:01:57.600]  我們記得在聖經另外一卷書裡面
[00:01:57.600 --> 00:02:00.300]  就是約翰一書裡面
[00:02:00.300 --> 00:02:04.500]  司徒約翰被聖靈感動說了這樣的話
[00:02:04.500 --> 00:02:09.000]  記載在約翰一書二章17節
[00:02:09.000 --> 00:02:11.900]  約翰一書二章17節
[00:02:11.900 --> 00:02:14.300]  我讀給大家聽
[00:02:14.300 --> 00:02:19.100]  這世界和其上的情欲都要過去
[00:02:19.100 --> 00:02:24.300]  唯獨遵行神旨意的是永遠長存
[00:02:24.300 --> 00:02:25.800]  我再讀
[00:02:25.800 --> 00:02:30.100]  這世界和其中的情欲都要過去
[00:02:30.100 --> 00:02:34.800]  唯獨遵行神旨意的是永遠長存
[00:02:34.800 --> 00:02:40.100]  我記得自己在中學上地理課的時候
[00:02:40.100 --> 00:02:42.100]  曾經讀到
[00:02:42.100 --> 00:02:46.700]  中國的黃河曾經改道
[00:02:46.700 --> 00:02:49.700]  原來是在江蘇出海
[00:02:49.700 --> 00:02:53.300]  後來改道在山東北部出海
[00:02:53.300 --> 00:02:57.600]  新舊河口相隔一千多里
[00:02:57.600 --> 00:03:01.700]  這是一條大河的改變
[00:03:01.700 --> 00:03:07.900]  另外在歐洲和亞洲交界的地方的離海
[00:03:07.900 --> 00:03:09.800]  在這個海的附近
[00:03:09.800 --> 00:03:14.100]  有很多相當高的山丘
[00:03:14.100 --> 00:03:16.700]  其中最高的
[00:03:16.700 --> 00:03:20.700]  跋海五十多米那麼高
[00:03:20.700 --> 00:03:25.500]  在山丘的頂上有海沙
