
[00:00:00.000 --> 00:00:05.200]  今天我們來到再講亞各書中間的部分
[00:00:05.200 --> 00:00:08.680]  可以說是第三章的第一至十八節
[00:00:08.680 --> 00:00:12.240]  其實在亞各書整卷的
[00:00:12.240 --> 00:00:14.640]  可以說是五章的聖經
[00:00:14.640 --> 00:00:16.800]  一個很強調的信息就是
[00:00:16.800 --> 00:00:18.400]  甚麼是信仰
[00:00:18.400 --> 00:00:21.240]  甚麼是跟從上帝的信心
[00:00:21.240 --> 00:00:23.120]  亞各很強調的就是
[00:00:23.120 --> 00:00:26.720]  信心不單止是在言語上
[00:00:26.720 --> 00:00:31.720]  信心是反映了我們日常生活的行為當中
[00:00:31.720 --> 00:00:34.280]  所以亞各一路鋪陳
[00:00:34.280 --> 00:00:36.080]  一路去講解
[00:00:36.080 --> 00:00:38.000]  從不同的角度可以說
[00:00:38.000 --> 00:00:41.400]  很深入地去將這個問題講得很深入
[00:00:41.400 --> 00:00:42.960]  亦都講得很仔細
[00:00:42.960 --> 00:00:45.320]  在第三章的第二節那裏
[00:00:45.320 --> 00:00:46.400]  亞各一路講
[00:00:46.400 --> 00:00:49.000]  我的弟兄們不要多人作師父
[00:00:49.000 --> 00:00:52.440]  因為曉得我們要受更重的判斷
[00:00:52.440 --> 00:00:55.240]  原來我們在許多事上都有過失
[00:00:55.240 --> 00:00:57.240]  若有人在話語上沒有過失
[00:00:57.240 --> 00:00:58.880]  他就是完全人
[00:00:58.880 --> 00:01:03.040]  也能勒住自己的全心
[00:01:03.040 --> 00:01:05.680]  在這裏亞各在這裏講
[00:01:05.680 --> 00:01:08.520]  不要多人作師父
[00:01:08.520 --> 00:01:09.640]  在這裏其實
[00:01:09.640 --> 00:01:13.240]  也許亞各在這裏是針對當時一個情況
[00:01:13.240 --> 00:01:17.200]  就是當時有一班人以教師自居
[00:01:17.200 --> 00:01:18.560]  我認識
[00:01:18.560 --> 00:01:22.040]  我在信仰上的知識是相當的多
[00:01:22.040 --> 00:01:23.840]  或者他們還宣稱
[00:01:23.840 --> 00:01:26.440]  我是一個很有智慧的人
[00:01:26.440 --> 00:01:28.240]  甚至在我們當中
[00:01:28.240 --> 00:01:30.440]  我是一個最有智慧的人
[00:01:30.440 --> 00:01:32.600]  所以我在你們當中
[00:01:32.600 --> 00:01:35.600]  應該成為一個老師 一個教師
[00:01:35.600 --> 00:01:37.880]  我是這一班人或者這一類人
[00:01:37.880 --> 00:01:39.960]  以教師自居
[00:01:39.960 --> 00:01:41.840]  但是亞各在這裏講
[00:01:41.840 --> 00:01:43.800]  去提醒這一班
[00:01:43.800 --> 00:01:48.440]  自以為擁有很多知識的一班人
[00:01:48.440 --> 00:01:50.120]  告訴他們
[00:01:50.120 --> 00:01:52.240]  不要多人作師父
[00:01:52.240 --> 00:01:57.960]  因為我們作為老師要受更重的判斷
[00:01:57.960 --> 00:01:59.960]  在這裏可以說
[00:01:59.960 --> 00:02:01.080]  一般人
[00:02:01.080 --> 00:02:03.680]  就是以教師自居的人
[00:02:03.680 --> 00:02:05.400]  是很想提高自己的地位
[00:02:05.400 --> 00:02:07.680]  很想炫耀自己的知識
[00:02:07.680 --> 00:02:10.120]  但是亞各提醒
[00:02:10.120 --> 00:02:11.440]  就是告訴他們知道
[00:02:11.440 --> 00:02:18.360]  你們要受更嚴格的審判的一個結果
[00:02:18.360 --> 00:02:19.800]  亞各其實在這裏
[00:02:19.800 --> 00:02:22.520]  他不是說反對人做老師
[00:02:22.520 --> 00:02:26.360]  或者反對在群體當中有作教導的人
[00:02:26.360 --> 00:02:30.600]  而是針對這一班自以為有智慧
[00:02:30.600 --> 00:02:35.720]  自以為自己可以作眾人的老師的這一班人
[00:02:35.720 --> 00:02:41.080]  在這裏亞各繼續帶出一個問題
[00:02:41.080 --> 00:02:42.800]  作老師的
[00:02:42.800 --> 00:02:47.480]  多數是用言語去作一個教導的工作
[00:02:47.480 --> 00:02:48.680]  亞各在這裏講
[00:02:48.680 --> 00:02:53.960]  言語本身的作用是怎樣呢
[00:02:53.960 --> 00:02:56.640]  亞各從正反裏面去講
[00:02:56.640 --> 00:02:59.160]  首先亞各從積極的角度去講
[00:02:59.160 --> 00:03:00.880]  言語是怎樣呢
[00:03:00.880 --> 00:03:02.880]  是很有影響力的
[00:03:02.880 --> 00:03:06.560]  我們的說話是相當有影響力的
[00:03:06.560 --> 00:03:07.600]  他第一個講就是說
[00:03:07.600 --> 00:03:10.200]  言語這個舌頭
[00:03:10.200 --> 00:03:12.760]  直著舌頭可以說出一些言語
[00:03:12.760 --> 00:03:16.040]  這些言語是影響我們整個生命
[00:03:16.040 --> 00:03:20.400]  亦都可以影響我們整個人
[00:03:20.400 --> 00:03:23.840]  在這裏亞各用了三個例子
[00:03:23.840 --> 00:03:27.080]  去解釋了在第三第四節那裏
[00:03:27.080 --> 00:03:27.600]  他就說
[00:03:27.600 --> 00:03:29.800]  「我若把雀環放在馬嘴裏
[00:03:29.800 --> 00:03:32.200]  叫它馴服就能調動它的全身
[00:03:32.200 --> 00:03:34.960]  看啊 船隻雖然甚大
[00:03:34.960 --> 00:03:36.920]  又被大風吹逼
[00:03:36.920 --> 00:03:38.280]  只用少少的舵
[00:03:38.280 --> 00:03:41.560]  就隨著掌舵的意思轉動」
[00:03:41.560 --> 00:03:43.480]  在這裏亞各用了兩個例子
[00:03:43.480 --> 00:03:44.480]  一個例子就是
[00:03:44.480 --> 00:03:46.840]  如果你想控制一隻馬
[00:03:46.840 --> 00:03:49.280]  你只要把雀環放在嘴裏
[00:03:49.280 --> 00:03:50.760]  用繩子綁住
[00:03:50.760 --> 00:03:52.320]  你就可以控制那隻馬
[00:03:52.320 --> 00:03:54.200]  船 很大的船
[00:03:54.200 --> 00:03:56.160]  你只要用少少的舵
[00:03:56.160 --> 00:03:59.480]  就可以控制這隻船的方向
[00:03:59.480 --> 00:04:01.520]  接著亞各用這兩個例子
[00:04:01.520 --> 00:04:02.840]  正正去講明
[00:04:02.840 --> 00:04:05.960]  只要我們能夠控制我們的言語
[00:04:05.960 --> 00:04:07.080]  控制我們的舌頭
[00:04:07.080 --> 00:04:08.360]  我們就影響
[00:04:08.360 --> 00:04:13.520]  可以控制我們全身的生命的一個行為
[00:04:13.520 --> 00:04:18.840]  整個生命都能夠受到你的管理
[00:04:18.840 --> 00:04:20.560]  在這裏亞各去講
[00:04:20.560 --> 00:04:23.320]  言語去講出來的時候
[00:04:23.320 --> 00:04:24.760]  是有正面的功能
[00:04:24.760 --> 00:04:26.960]  但接著他再另一面去講
[00:04:26.960 --> 00:04:28.600]  一個反面的功能是怎樣呢
[00:04:28.600 --> 00:04:30.000]  反面的作用
[00:04:30.000 --> 00:04:32.200]  在第五第六節裏說
[00:04:32.200 --> 00:04:35.400]  「這樣舌頭在百體裏面都是最小的
[00:04:35.400 --> 00:04:37.200]  卻能說大話」
[00:04:37.200 --> 00:04:41.200]  看啊 最小的火能點著最大的樹林
[00:04:41.200 --> 00:04:43.600]  舌頭就是火在我們百體中
[00:04:43.600 --> 00:04:45.600]  舌頭是一個罪惡的世界
[00:04:45.600 --> 00:04:47.120]  能夠污穢全身
[00:04:47.120 --> 00:04:49.920]  亦都能夠將生命的輪子點起來
[00:04:49.920 --> 00:04:53.240]  並且是從地獄裏點著的
[00:04:53.240 --> 00:04:55.760]  接著亞各在這裏再去講
[00:04:55.760 --> 00:05:00.480]  言語的反面的作用是甚麼呢
[00:05:00.480 --> 00:05:05.240]  就是用了一些例子去講
[00:05:05.240 --> 00:05:09.040]  少少的火可以點著整個的森林
[00:05:09.040 --> 00:05:11.760]  這個大家不需要再去解釋
[00:05:11.760 --> 00:05:14.000]  就是整個森林被毀滅
[00:05:14.000 --> 00:05:16.400]  可以用少少一點的火
[00:05:16.400 --> 00:05:18.480]  就可以摧毀整個的森林
[00:05:18.480 --> 00:05:20.440]  接著亞各在這裏講
[00:05:20.440 --> 00:05:22.040]  舌頭雖然是很小
[00:05:22.040 --> 00:05:23.760]  言語好像很小
[00:05:23.760 --> 00:05:27.440]  但其實是可以摧毀你整個的生命
[00:05:27.440 --> 00:05:30.080]  亞各在這裏用生命的輪子
[00:05:30.080 --> 00:05:32.320]  是代表著整個的生命
[00:05:32.320 --> 00:05:35.160]  言語不單止可以摧毀一個人的生命
[00:05:35.160 --> 00:05:38.160]  亦都可以摧毀其他人的生命
[00:05:38.160 --> 00:05:41.960]  所以亞各在這裏說
[00:05:41.960 --> 00:05:46.600]  如果一個人不約束自己的舌頭
[00:05:46.600 --> 00:05:48.720]  不約束自己的言語
[00:05:48.720 --> 00:05:51.760]  他不單止這個人會摧毀自己的生命
[00:05:51.760 --> 00:05:57.080]  亦都這些言語就好像引發了地獄的火一樣
[00:05:57.080 --> 00:06:01.160]  即是一個火焰去摧毀其他人的生命
[00:06:01.160 --> 00:06:04.320]  不受約束的舌頭
[00:06:04.320 --> 00:06:07.560]  或者不受約束的說話
[00:06:07.560 --> 00:06:09.480]  在亞各來說
[00:06:09.480 --> 00:06:13.840]  整個表達是一個不義的世界
[00:06:13.840 --> 00:06:17.440]  說出這些說話都是不義的
[00:06:17.440 --> 00:06:21.360]  不正義不正確的一些思想
[00:06:21.360 --> 00:06:27.200]  舌頭如果滿載這些不正當不公義的說話的時候
[00:06:27.200 --> 00:06:32.160]  這些說話可以污穢整個人的全身
[00:06:32.160 --> 00:06:34.560]  亞各在這裏說
[00:06:34.560 --> 00:06:40.120]  舌頭在信徒當中或者言語在信徒當中的關係
[00:06:40.120 --> 00:06:42.120]  造成一個很大的損傷
[00:06:42.120 --> 00:06:46.320]  其實亞各在這裏主要是針對教會這個群體
[00:06:46.320 --> 00:06:51.120]  一個言語說話如果不好的話
[00:06:51.120 --> 00:06:53.840]  可以損傷一個信徒的生命
[00:06:53.840 --> 00:07:00.680]  亦都可以損毀整個信徒群體和諧的關係
[00:07:00.680 --> 00:07:04.840]  在第七第八節亞各繼續說
[00:07:04.840 --> 00:07:11.120]  其實我們的言語是否絕對受我們的控制呢
[00:07:11.120 --> 00:07:12.840]  亞各說是很難
[00:07:12.840 --> 00:07:19.760]  舌頭是一個難以被人控制的一個地方
[00:07:19.760 --> 00:07:23.480]  亞各在第七第八節說
[00:07:23.480 --> 00:07:26.560]  各類的走獸、飛禽、昆蟲、水族
[00:07:26.560 --> 00:07:28.560]  本來都可以制服
