
[00:00:00.000 --> 00:00:05.000]  我們用禱告的心來講來聽
[00:00:05.000 --> 00:00:11.500]  求聖靈光照我們每一個人
[00:00:11.500 --> 00:00:21.000]  使主的話語進到我們心裡面的深處
[00:00:21.000 --> 00:00:27.000]  請大家翻到七十六第十二章十二節
[00:00:27.000 --> 00:00:31.000]  請大家翻到啟示錄十二章十二節
[00:00:31.000 --> 00:00:37.000]  所以諸天和住在其中的,你們都快樂吧!
[00:00:37.000 --> 00:00:42.000]  只是地與海有和了,因為魔鬼知道自己的時候不多,
[00:00:42.000 --> 00:00:47.000]  就氣憤憤地嚇到你們那裡去了。
[00:00:47.000 --> 00:00:53.000]  七十六是關於末世的預言
[00:00:53.000 --> 00:00:59.000]  在末世的時候,撒旦氣憤憤地嚇到人間
[00:00:59.000 --> 00:01:07.000]  因為他知道自己的時候不多了
[00:01:07.000 --> 00:01:18.000]  他要抓住最後的機會來無所不用其極地做工
[00:01:18.000 --> 00:01:27.000]  變本加厲,比過去更加的猖狂
[00:01:27.000 --> 00:01:33.000]  他在末世的時候造成一種潮流
[00:01:33.000 --> 00:01:39.000]  一種風氣,是與神為敵的
[00:01:39.000 --> 00:01:43.000]  是與善為敵的
[00:01:43.000 --> 00:01:49.000]  魔鬼叫做眾善的仇敵
[00:01:49.000 --> 00:01:55.000]  他掌權的地方是黑暗的權勢
[00:01:55.000 --> 00:01:59.000]  今天晚上我們要看一看
[00:01:59.000 --> 00:02:05.000]  在末世的時候有什麼潮流呢?
[00:02:05.000 --> 00:02:11.000]  這種潮流的特色是什麼呢?
[00:02:11.000 --> 00:02:18.000]  這些特色和國度的特色有什麼比較呢?
[00:02:18.000 --> 00:02:21.000]  這些特色與國度的特色有什麼比較呢?
[00:02:21.000 --> 00:02:28.000]  這是今天晚上我們領受的重點
[00:02:28.000 --> 00:02:36.000]  請大家翻到提摩太后書第三章
[00:02:36.000 --> 00:02:41.000]  第一節到第五節
[00:02:41.000 --> 00:02:49.000]  提摩太后書三章一到五節
[00:02:49.000 --> 00:02:53.000]  你該知道末世必有危險的日子來到
[00:02:53.000 --> 00:02:56.000]  因為那時人要尊顧自己
[00:02:56.000 --> 00:03:00.000]  貪愛錢財,自誇狂傲,妄讀
[00:03:00.000 --> 00:03:03.000]  違背父母,忘恩負義
[00:03:03.000 --> 00:03:07.000]  心不聖潔,無親情,不解怨
[00:03:07.000 --> 00:03:09.000]  好說才賢,不能自虐
[00:03:09.000 --> 00:03:12.000]  性情凶暴,不愛良善
[00:03:12.000 --> 00:03:16.000]  賣主賣友,任意妄為,自高自大
[00:03:16.000 --> 00:03:18.000]  愛燕落,不愛神
[00:03:18.000 --> 00:03:22.000]  有敬虔的外貌,卻背了敬虔的實意
[00:03:22.000 --> 00:03:25.000]  這等人你要躲開
[00:03:25.000 --> 00:03:29.000]  這是司徒保羅被聖靈感動所講的寓言
[00:03:29.000 --> 00:03:38.000]  他說在末世的時候必有危險的日子來到
[00:03:38.000 --> 00:03:46.000]  這個危險是靈性的危險,道德的危險
[00:03:46.000 --> 00:03:54.000]  下面他就一一地提出來現象的情況
[00:03:54.000 --> 00:04:01.000]  這些情況歷史歷代都有的
[00:04:01.000 --> 00:04:08.000]  但是末世的時候變本加厲
[00:04:08.000 --> 00:04:20.000]  讓我們用今天的字句來想一想這裡的現象
[00:04:20.000 --> 00:04:25.000]  這裡提到末世的九種潮流的現象
[00:04:25.000 --> 00:04:29.000]  這裡會提到末世九種潮流的現象
[00:04:29.000 --> 00:04:31.000]  第一種的現象
[00:04:31.000 --> 00:04:35.000]  我們可以把它叫做自我主義
[00:04:35.000 --> 00:04:44.000]  也可以叫它自我中心的人生
[00:04:44.000 --> 00:04:46.000]  第二節
[00:04:46.000 --> 00:04:53.000]  因為那時人要專顧自己
[00:04:53.000 --> 00:04:57.000]  這就是自我中心
[00:04:57.000 --> 00:05:06.000]  自我中心在末世有三個層面的表現
[00:05:06.000 --> 00:05:11.000]  第一個層面就是個人生活的層面
[00:05:11.000 --> 00:05:17.000]  在這個層面上就是自私自利
[00:05:17.000 --> 00:05:21.000]  一般的人是如此
[00:05:21.000 --> 00:05:27.000]  這是我們常常注意到的情況
[00:05:27.000 --> 00:05:32.000]  第二個層面是哲學的層面
[00:05:32.000 --> 00:05:37.000]  那就是存在主義
[00:05:37.000 --> 00:05:46.000]  為什麼說存在主義是人自我中心呢?
[00:05:46.000 --> 00:05:52.000]  因為存在主義的一個重要的觀念
[00:05:52.000 --> 00:06:00.000]  就是人自己是一切的標準
[00:06:00.000 --> 00:06:07.000]  過去是講實體的哲學
[00:06:07.000 --> 00:06:15.000]  要尋求宇宙裡面最後的實體是什麼
[00:06:15.000 --> 00:06:20.000]  現在已經放棄了這個研究
[00:06:20.000 --> 00:06:29.000]  因為兩千多年的哲學的歷史告訴我們
[00:06:29.000 --> 00:06:33.000]  哲學沒有結論
[00:06:33.000 --> 00:06:36.000]  沒有出路
[00:06:36.000 --> 00:06:39.000]  已經到了一個死胡同
[00:06:39.000 --> 00:06:45.000]  那就是人的智慧最後沒有答案
[00:06:45.000 --> 00:06:51.000]  所以這個時代的哲學轉一個方向
[00:06:51.000 --> 00:06:56.000]  不再追求實體了
[00:06:56.000 --> 00:07:07.000]  那是以人自己所一切的理論思考的根據標準
[00:07:07.000 --> 00:07:10.000]  這是今天的實存主義
[00:07:10.000 --> 00:07:18.000]  Existentialism的中心的一點
[00:07:18.000 --> 00:07:22.000]  第三個層面呢
[00:07:22.000 --> 00:07:27.000]  那就是人本主義
[00:07:27.000 --> 00:07:33.000]  人本主義的影響更廣
