
[00:00:00.000 --> 00:00:04.000]  遲早都要來到關鍵的地方
[00:00:04.000 --> 00:00:09.000]  每一個關鍵有兩個因素在裡面
[00:00:09.000 --> 00:00:12.000]  第一個因素是危機
[00:00:12.000 --> 00:00:15.000]  第二個因素是轉機
[00:00:15.000 --> 00:00:18.000]  當我們面對關鍵的時候
[00:00:18.000 --> 00:00:20.000]  求主恩待我們
[00:00:20.000 --> 00:00:24.000]  使我們的危機變成轉機
[00:00:24.000 --> 00:00:27.000]  使我們的靈性有進步
[00:00:27.000 --> 00:00:31.000]  使我們更認識父神的心意
[00:00:31.000 --> 00:00:32.000]  更有追求
[00:00:32.000 --> 00:00:33.000]  更蒙福
[00:00:33.000 --> 00:00:37.000]  也能夠更做賜福的器民
[00:00:37.000 --> 00:00:41.000]  剛才我們唱的那首詩
[00:00:41.000 --> 00:00:45.000]  我在呼出我的愁苦
[00:00:45.000 --> 00:00:48.000]  呼出我的罪惡
[00:00:48.000 --> 00:00:51.000]  我在吸入
[00:00:51.000 --> 00:00:55.000]  一直吸入你所有豐富
[00:00:55.000 --> 00:00:58.000]  求神是我們這幾天
[00:00:58.000 --> 00:01:00.000]  每一次的聚會裡面
[00:01:00.000 --> 00:01:04.000]  都是在呼出再吸入
[00:01:04.000 --> 00:01:07.000]  但是我要請問大家
[00:01:07.000 --> 00:01:12.000]  是呼出在先還是吸入在先呢
[00:01:12.000 --> 00:01:15.000]  你的呼吸是如何的
[00:01:15.000 --> 00:01:17.000]  你有沒有見過一個人
[00:01:17.000 --> 00:01:20.000]  只有吸入沒有呼出
[00:01:20.000 --> 00:01:23.000]  你永遠沒有見過任何一個這樣的人
[00:01:23.000 --> 00:01:25.000]  你有沒有見過一個只有呼出
[00:01:25.000 --> 00:01:27.000]  沒有吸入的人
[00:01:27.000 --> 00:01:29.000]  吸入然後呼出
[00:01:29.000 --> 00:01:32.000]  再吸入再呼出
[00:01:32.000 --> 00:01:34.000]  這就維持生命
[00:01:34.000 --> 00:01:38.000]  我們的生命的維持很簡單
[00:01:38.000 --> 00:01:42.000]  吸入呼出吸入呼出
[00:01:42.000 --> 00:01:44.000]  我們回答問題
[00:01:44.000 --> 00:01:48.000]  先呼出還是先吸入
[00:01:48.000 --> 00:01:51.000]  我相信這個回答也很簡單
[00:01:51.000 --> 00:01:53.000]  一定是先吸入
[00:01:53.000 --> 00:01:57.000]  沒有吸入你呼出什麼
[00:01:57.000 --> 00:02:00.000]  我們先從神靈受
[00:02:00.000 --> 00:02:02.000]  祂所有的豐富
[00:02:02.000 --> 00:02:04.000]  然後很自然的
[00:02:04.000 --> 00:02:05.000]  我們的愁苦
[00:02:05.000 --> 00:02:08.000]  我們的罪惡都呼出來了
[00:02:08.000 --> 00:02:10.000]  有的人把他顛倒過來
[00:02:10.000 --> 00:02:12.000]  我要先把自己弄好
[00:02:12.000 --> 00:02:14.000]  我才追求
[00:02:14.000 --> 00:02:16.000]  我要先如何如何
[00:02:16.000 --> 00:02:19.000]  我才如何如何
[00:02:19.000 --> 00:02:22.000]  神的作為不是那樣
[00:02:22.000 --> 00:02:28.000]  神是要我們按照原本的樣式
[00:02:28.000 --> 00:02:30.000]  Just as I am
[00:02:30.000 --> 00:02:32.000]  來到神的面前
[00:02:32.000 --> 00:02:36.000]  吸入吸入靈受靈受
[00:02:36.000 --> 00:02:38.000]  靈受的時候很自然
[00:02:38.000 --> 00:02:43.000]  我們所有的愁苦罪惡都呼出去了
[00:02:43.000 --> 00:02:47.000]  神的作為樣樣都是恩典
[00:02:47.000 --> 00:02:49.000]  我們自己做成什麼以後
[00:02:49.000 --> 00:02:51.000]  才到神的面前來領受
[00:02:51.000 --> 00:02:53.000]  但是先領受
[00:02:53.000 --> 00:02:57.000]  然後自然神的恩典就排斥
[00:02:57.000 --> 00:03:01.000]  出去一切不合乎他之意的事
[00:03:01.000 --> 00:03:03.000]  求神幫助我們今天早上
[00:03:03.000 --> 00:03:06.000]  再一次來吸入
[00:03:06.000 --> 00:03:09.000]  也按照神靈的光照
[00:03:09.000 --> 00:03:13.000]  有所呼出
[00:03:13.000 --> 00:03:14.000]  今天早上我們要看
[00:03:14.000 --> 00:03:19.000]  聖經歷史裡面第七第八個關鍵
[00:03:19.000 --> 00:03:23.000]  第七個關鍵是權利與義務
[00:03:23.000 --> 00:03:27.000]  或者說責任的關鍵
[00:03:27.000 --> 00:03:29.000]  我們在伊斯帖身上
[00:03:29.000 --> 00:03:31.000]  看見這個關鍵裡面
[00:03:31.000 --> 00:03:34.000]  一個美好的表現
[00:03:34.000 --> 00:03:37.000]  當時伊斯列人面對
[00:03:37.000 --> 00:03:42.000]  全族被屠殺的危險
[00:03:42.000 --> 00:03:45.000]  哈曼有陰謀
[00:03:45.000 --> 00:03:49.000]  他計畫要把整個波斯帝國裡面
[00:03:49.000 --> 00:03:54.000]  所有的猶太人都剷除
[00:03:54.000 --> 00:03:57.000]  如果這個計畫成功
[00:03:57.000 --> 00:04:00.000]  伊斯列人就毫無前途了
[00:04:00.000 --> 00:04:04.000]  就從歷史裡面失蹤了
[00:04:04.000 --> 00:04:06.000]  但是感謝天父
[00:04:06.000 --> 00:04:09.000]  在這樣一個驚耀的關頭裡面
[00:04:09.000 --> 00:04:13.000]  神自己顯出他恩典的作為
[00:04:13.000 --> 00:04:15.000]  同時他也找到了
[00:04:15.000 --> 00:04:18.000]  合乎他用的器皿
[00:04:18.000 --> 00:04:22.000]  神的恩典加上合用的器皿
[00:04:22.000 --> 00:04:27.000]  合在一起就完成神的計畫
[00:04:27.000 --> 00:04:30.000]  神自己能做任何的事
[00:04:30.000 --> 00:04:33.000]  他不需要任何人的幫助
[00:04:33.000 --> 00:04:37.000]  但是在神的心意裡面
[00:04:37.000 --> 00:04:40.000]  他實現了很奇妙的恩典
[00:04:40.000 --> 00:04:41.000]  在他的計畫裡面
[00:04:41.000 --> 00:04:45.000]  他要用他所救贖的人
[00:04:45.000 --> 00:04:46.000]  他的兒女們
[00:04:46.000 --> 00:04:48.000]  做他的器皿
[00:04:48.000 --> 00:04:49.000]  與他同工
[00:04:49.000 --> 00:04:52.000]  來完成他最好的計畫
[00:04:52.000 --> 00:04:53.000]  這是恩典
[00:04:53.000 --> 00:04:56.000]  我們不配接受這個恩典
[00:04:56.000 --> 00:04:58.000]  我們不配與神同工
[00:04:58.000 --> 00:04:59.000]  我們算什麼
[00:04:59.000 --> 00:05:02.000]  怎麼能夠談得上與神同工呢
[00:05:02.000 --> 00:05:04.000]  但是神就是這樣的
[00:05:04.000 --> 00:05:07.000]  憐憫我們 愛我們 高抬我們
[00:05:07.000 --> 00:05:10.000]  是我們做他的同工
[00:05:10.000 --> 00:05:12.000]  他和我們一起來完成
[00:05:12.000 --> 00:05:17.000]  他的奇妙的計畫
[00:05:17.000 --> 00:05:22.000]  伊斯帖原來有仇畜
[00:05:22.000 --> 00:05:25.000]  他沒有絕痣
[00:05:25.000 --> 00:05:26.000]  在那樣的一個
[00:05:26.000 --> 00:05:29.000]  搖擺不定的情況之下
[00:05:29.000 --> 00:05:33.000]  有一個人幫助了他摸地蓋
[00:05:33.000 --> 00:05:36.000]  這是一個很寶貴的幫助
[00:05:36.000 --> 00:05:39.000]  每一個人都需要幫助
[00:05:39.000 --> 00:05:42.000]  求神讓我們會聽
