
[00:00:00.000 --> 00:00:02.000]  今天跟大家思想和睦同心
[00:00:02.000 --> 00:00:03.600]  持守良善
[00:00:03.600 --> 00:00:06.680]  大家會否記得在這個季度裏面
[00:00:06.680 --> 00:00:09.600]  你聽過有多少個崇拜的講題
[00:00:09.600 --> 00:00:11.640]  如果我給大家一個筆記
[00:00:11.640 --> 00:00:13.800]  大家會寫出多少個題目呢
[00:00:13.800 --> 00:00:17.400]  十個?
[00:00:17.400 --> 00:00:18.640]  兩個?
[00:00:18.640 --> 00:00:19.280]  一個?
[00:00:19.280 --> 00:00:23.360]  這個季度我們講了很多方面的題目
[00:00:23.360 --> 00:00:24.640]  我們曾經講過
[00:00:24.640 --> 00:00:27.480]  不要隨便的論斷別人
[00:00:28.120 --> 00:00:30.400]  又講過要留心自己的舌頭
[00:00:30.400 --> 00:00:32.520]  免得我們舌頭犯罪
[00:00:32.520 --> 00:00:35.000]  又提過要很小心
[00:00:35.000 --> 00:00:37.560]  我們要學習謙讓之道
[00:00:37.560 --> 00:00:39.760]  我們又講過
[00:00:39.760 --> 00:00:42.920]  如何能夠在生活上學習去饒恕別人
[00:00:42.920 --> 00:00:47.320]  去留心化解自己的怨憤
[00:00:47.320 --> 00:00:49.960]  亦在上星期我們有提及
[00:00:49.960 --> 00:00:53.440]  要留心不要讓自己陷入窒道裏面
[00:00:53.440 --> 00:00:56.680]  這些訊息當我們講完之後
[00:00:57.080 --> 00:00:59.240]  可能你會聽了
[00:00:59.240 --> 00:01:00.560]  但你會忘記
[00:01:00.560 --> 00:01:03.360]  或者你會歡喜在網上重複聽
[00:01:03.360 --> 00:01:05.000]  但最重要的是
[00:01:05.000 --> 00:01:07.200]  你會留心為這些事情祈禱
[00:01:07.200 --> 00:01:09.160]  你知道要饒恕
[00:01:09.160 --> 00:01:11.160]  不等於你一定可以饒恕到
[00:01:11.160 --> 00:01:13.200]  除非你真的小心
[00:01:13.200 --> 00:01:15.080]  在這方面為自己祈禱
[00:01:15.080 --> 00:01:16.640]  求神給你力量
[00:01:16.640 --> 00:01:19.800]  可以按真理的教導走出來
[00:01:19.800 --> 00:01:23.240]  所以我很願意在最後一堂講道裏面
[00:01:23.240 --> 00:01:24.800]  呼籲弟兄姊妹
[00:01:24.800 --> 00:01:26.880]  留心你所聽的
[00:01:27.280 --> 00:01:29.000]  按聖靈給你的感動
[00:01:29.000 --> 00:01:31.880]  去為自己這方面的實踐祈禱
[00:01:31.880 --> 00:01:34.400]  讓你所聽的真理
[00:01:34.400 --> 00:01:37.200]  活現在你的生活當中
[00:01:37.200 --> 00:01:39.200]  你就真正的蒙福
[00:01:39.200 --> 00:01:42.640]  所以盼望大家不會滿足於聽道
[00:01:42.640 --> 00:01:44.320]  然後大家彼此的勉勵
[00:01:44.320 --> 00:01:45.680]  一起去行道
[00:01:45.680 --> 00:01:49.200]  今天當我們講到彼此的和睦的時候
[00:01:49.200 --> 00:01:50.720]  我就想回想起一件事情
[00:01:50.720 --> 00:01:52.920]  就是很多年之前我聽梁燕城博士
[00:01:52.920 --> 00:01:53.880]  大家認識他
