
[00:00:00.000 --> 00:00:04.220]  宣讀《馬可福音》第一章9到13節
[00:00:04.220 --> 00:00:08.120]  那時 耶穌從加利利的拿撒勒來
[00:00:08.120 --> 00:00:11.200]  在約旦河受了約翰的洗
[00:00:11.200 --> 00:00:13.880]  祂從水裡一上來
[00:00:13.880 --> 00:00:16.520]  就看見天裂開了
[00:00:16.520 --> 00:00:21.600]  聖靈彷彿個子站在祂身上
[00:00:21.600 --> 00:00:24.800]  又有聲音從天上來說
[00:00:24.800 --> 00:00:28.040]  「你是我的愛子 我喜愛你」
[00:00:28.720 --> 00:00:33.640]  聖靈立刻把耶穌推出到曠野裡去
[00:00:33.640 --> 00:00:37.960]  祂在曠野四十天受撒旦的試探
[00:00:37.960 --> 00:00:40.840]  並與野獸同在一起
[00:00:40.840 --> 00:00:44.080]  且有天使來伺候祂
[00:00:44.080 --> 00:00:47.440]  這是上主的話 感謝主
[00:00:47.440 --> 00:00:49.600]  弟兄姊妹們 平安
[00:00:49.600 --> 00:00:51.200]  (閩)平安
[00:00:51.200 --> 00:00:55.680]  弟兄來到我每年講好多普通話的日子
[00:00:55.960 --> 00:00:59.440]  我跟賀傳道說 我整個星期來講道
[00:00:59.440 --> 00:01:01.360]  可不可以跟我訓練一下
[00:01:01.360 --> 00:01:03.480]  他說好 然後我沒有找他
[00:01:03.480 --> 00:01:06.000]  所以你們也好危險 你知道嗎
[00:01:06.000 --> 00:01:09.480]  求神的恩典我可以講得清楚
[00:01:09.480 --> 00:01:11.480]  大家也可以聽得明白上帝的道
[00:01:11.480 --> 00:01:14.240]  我們的普通話肯定是比較爛的
[00:01:14.240 --> 00:01:18.040]  但上帝的道不爛 上帝的話不爛 對嗎
[00:01:18.040 --> 00:01:23.000]  幾年前我跟一個青少年去談話
[00:01:23.000 --> 00:01:24.800]  他上了教會好多年
[00:01:25.200 --> 00:01:26.640]  我問他一個問題
[00:01:26.640 --> 00:01:33.200]  我問他 你認為神是否無微不至地看顧你
[00:01:33.200 --> 00:01:34.360]  我這樣問他
[00:01:34.360 --> 00:01:35.640]  他這樣說
[00:01:35.640 --> 00:01:41.440]  我覺得神是關心那些比較重大 比較偉大的事情
[00:01:41.440 --> 00:01:44.800]  那些比較個人的事情 祂就不怎麼理會我
[00:01:44.800 --> 00:01:47.360]  為什麼他這樣說呢 因為他剛剛失戀
[00:01:47.360 --> 00:01:49.480]  失戀 是不是失戀
[00:01:49.480 --> 00:01:51.440]  他就覺得神不理他 你懂嗎
[00:01:51.440 --> 00:01:54.600]  失戀 不是失聯
[00:01:55.200 --> 00:01:57.200]  好危險
[00:01:57.200 --> 00:02:01.480]  我聽見 我是一個青少年的傳道
[00:02:01.480 --> 00:02:04.280]  我心中其實感覺好矛盾 你知道嗎
[00:02:04.280 --> 00:02:09.640]  好多青少年人他從小到大來教會
[00:02:09.640 --> 00:02:12.160]  他聽過許多的聖經
[00:02:12.160 --> 00:02:17.400]  但他心裡面還是覺得神關心大事情
[00:02:17.400 --> 00:02:18.720]  不關心他
[00:02:18.720 --> 00:02:22.160]  這個可能也是我們的狀態 對嗎
[00:02:22.480 --> 00:02:26.800]  就是我這裡知道神關心我 我這裡不知道
[00:02:26.800 --> 00:02:32.240]  我有時候也聽見一些信耶穌很久的人這樣說
[00:02:32.240 --> 00:02:34.160]  他說 我信耶穌很久了
[00:02:34.160 --> 00:02:36.000]  但我沒什麼經歷耶穌
[00:02:36.000 --> 00:02:40.880]  我沒什麼可以跟人分享的那種經歷
[00:02:40.880 --> 00:02:45.880]  先說我不認為我們基督徒一定要有什麼很厲害的經歷
[00:02:45.880 --> 00:02:50.480]  你不一定要有什麼癌症才可以就是一個好的基督徒
[00:02:51.720 --> 00:02:57.240]  但是如果我們基督徒沒怎樣經歷過耶穌
[00:02:57.240 --> 00:03:00.240]  沒有在日常生活經歷過祂
[00:03:00.240 --> 00:03:02.480]  是有點奇怪的
[00:03:02.480 --> 00:03:04.840]  你認同吧 我想你也認同
[00:03:04.840 --> 00:03:08.960]  因為一方面 聖經好像不是這樣說的
[00:03:08.960 --> 00:03:13.000]  祂跟你的日常生活是有關係的
[00:03:13.000 --> 00:03:16.040]  另外就是 如果有一個基督徒
[00:03:16.040 --> 00:03:19.840]  他從來也感覺上帝跟他很遠
[00:03:21.160 --> 00:03:22.160]  沒有什麼關係
[00:03:22.160 --> 00:03:26.840]  我自己覺得他很難堅持一生的相信
[00:03:26.840 --> 00:03:30.400]  或者他不離開教會
[00:03:30.400 --> 00:03:33.400]  但他就是一直的促息
[00:03:33.400 --> 00:03:37.680]  一直的促息 就是在參與聚會這樣子
[00:03:37.680 --> 00:03:39.600]  沒有那個熱忱
[00:03:39.600 --> 00:03:43.280]  今天跟大家分享這個馬可福音
[00:03:43.280 --> 00:03:45.280]  也是想思考這方面的問題
[00:03:45.280 --> 00:03:49.360]  上帝是超越萬有的 對嗎
[00:03:50.520 --> 00:03:52.520]  祂有多體會我們的掙紮
[00:03:52.520 --> 00:03:56.760]  祂離我們是好遠還是好近
[00:03:56.760 --> 00:03:58.760]  我們先一同禱告 好嗎
[00:03:58.760 --> 00:04:01.720]  主耶穌感謝祢
[00:04:01.720 --> 00:04:06.560]  祢有聖經可以讓我們去認識祢的道
[00:04:06.560 --> 00:04:11.960]  求耶穌 祢對我們每個人說話 對孩子也說話
