
[00:00:00.000 --> 00:00:02.880]  我好像很尋味地說完又說
[00:00:02.880 --> 00:00:05.520]  我希望任何人
[00:00:05.520 --> 00:00:06.960]  我們基督徒明白
[00:00:06.960 --> 00:00:09.880]  有其他宗教的朋友
[00:00:09.880 --> 00:00:11.320]  我希望你明白
[00:00:11.320 --> 00:00:13.200]  基督徒更加知道
[00:00:13.200 --> 00:00:15.560]  我對自己的信仰
[00:00:15.560 --> 00:00:16.680]  對教會
[00:00:16.680 --> 00:00:17.520]  對基督教的信仰
[00:00:17.520 --> 00:00:19.880]  都是很批判性的
[00:00:19.880 --> 00:00:22.360]  所以我免不了
[00:00:22.360 --> 00:00:23.760]  當我說的時候
[00:00:23.760 --> 00:00:25.360]  我要提出很多疑問
[00:00:25.360 --> 00:00:26.240]  很多質問
[00:00:26.240 --> 00:00:27.920]  我只是告訴大家
[00:00:27.920 --> 00:00:30.440]  我想大家聽的時候
[00:00:30.440 --> 00:00:34.800]  心與心
[00:00:34.800 --> 00:00:38.280]  當我說的信仰與你不同
[00:00:38.280 --> 00:00:40.000]  或者是挑戰你的信仰
[00:00:40.000 --> 00:00:41.280]  某一件事的時候
[00:00:41.280 --> 00:00:42.800]  當然是不開心的
[00:00:42.800 --> 00:00:45.720]  當然會有即時的反應
[00:00:45.720 --> 00:00:46.800]  但我希望大家
[00:00:46.800 --> 00:00:47.840]  我不一定要說服你
[00:00:47.840 --> 00:00:49.760]  但我希望大家用心來聽
[00:00:49.760 --> 00:00:51.200]  我也很想去聽
[00:00:51.200 --> 00:00:53.000]  我相信我自己
[00:00:53.000 --> 00:00:54.680]  我也曾經用過
[00:00:54.680 --> 00:00:55.800]  好像靈修的方式
[00:00:55.800 --> 00:00:57.280]  一直看《摩門經》
[00:00:57.280 --> 00:00:58.120]  靈修的方式
[00:00:58.120 --> 00:01:00.920]  一直逐句逐句看《古蘭經》
[00:01:00.920 --> 00:01:02.480]  我也相信我有這個能力
[00:01:02.480 --> 00:01:04.480]  和胸襟去欣賞別人
[00:01:04.480 --> 00:01:05.360]  我記得好幾年前
[00:01:05.360 --> 00:01:06.960]  我自己看佛經的時候
[00:01:06.960 --> 00:01:09.960]  看到《孫無疚稱經》
[00:01:09.960 --> 00:01:12.880]  大家可能比較多聽的就是
[00:01:12.880 --> 00:01:14.200]  《唯摩經》
[00:01:14.200 --> 00:01:16.840]  裡面講到文殊問疾
[00:01:16.840 --> 00:01:19.360]  唯摩居士說病了
[00:01:19.360 --> 00:01:22.560]  佛祖派文殊菩薩去探他
[00:01:22.560 --> 00:01:24.360]  問他為什麼會病
[00:01:24.360 --> 00:01:27.280]  唯摩就說
[00:01:27.280 --> 00:01:30.320]  有情既病我即隨病
[00:01:30.320 --> 00:01:32.840]  有情既愈我亦隨愈
[00:01:32.840 --> 00:01:34.320]  就是說世間的人
[00:01:34.320 --> 00:01:36.280]  他們浮沉他們痛苦
[00:01:36.280 --> 00:01:39.360]  他們病我就會病
[00:01:39.360 --> 00:01:41.120]  當世間人的病好了
[00:01:41.120 --> 00:01:42.360]  我就會好回
[00:01:42.360 --> 00:01:43.560]  所以我病
[00:01:43.560 --> 00:01:44.280]  我看到這裡的時候
[00:01:44.280 --> 00:01:45.360]  我記得流出我的眼淚
[00:01:45.360 --> 00:01:46.760]  我也很感動
[00:01:46.760 --> 00:01:49.160]  這個和我信仰完全不同
[00:01:49.160 --> 00:01:50.160]  很坦白說
