
[00:00:00.000 --> 00:00:01.880]  今天和大家分享一個訊息
[00:00:01.880 --> 00:00:04.280]  就是以神為中心的敬拜
[00:00:04.280 --> 00:00:08.360]  是神所喜悅的祭品
[00:00:08.360 --> 00:00:10.480]  我記得有一次看到一位宣教士
[00:00:10.480 --> 00:00:12.160]  講述他的經歷
[00:00:12.160 --> 00:00:15.360]  他說在一個封閉的國家裏面
[00:00:15.360 --> 00:00:17.680]  在當中和一群信徒
[00:00:17.680 --> 00:00:19.840]  在一個比較隱蔽的地方
[00:00:19.840 --> 00:00:23.200]  一起有晚間的崇拜
[00:00:23.200 --> 00:00:24.080]  在崇拜的時候
[00:00:24.080 --> 00:00:27.680]  大家都很集中地唱詩歌讚美神
[00:00:27.680 --> 00:00:30.600]  突然間停電了
[00:00:30.600 --> 00:00:33.560]  這個地區久不久就會有這樣的情況
[00:00:33.560 --> 00:00:35.240]  因為宣教士當時馬上想
[00:00:35.240 --> 00:00:36.960]  一停電就糟糕了
[00:00:36.960 --> 00:00:38.680]  因為當地天氣炎熱
[00:00:38.680 --> 00:00:42.120]  沒有了風扇 沒有了燈 黑漆
[00:00:42.120 --> 00:00:45.280]  雖然不是很黑 但也很暗淡
[00:00:45.280 --> 00:00:48.400]  他就想在西方教會的觀念
[00:00:48.400 --> 00:00:49.680]  一停電的時候
[00:00:49.680 --> 00:00:53.080]  教會就宣佈現在散會
[00:00:53.080 --> 00:00:54.440]  大家就會離開了
[00:00:54.440 --> 00:00:56.720]  很多人忍受不了就會走了
[00:00:56.720 --> 00:01:01.720]  他就想 咦 誰知道會不會就走了呢
[00:01:01.720 --> 00:01:03.840]  但是他發覺沒有一個人
[00:01:03.840 --> 00:01:06.040]  離開他們的座位
[00:01:06.040 --> 00:01:08.080]  大家好像若無其事一樣
[00:01:08.080 --> 00:01:10.480]  繼續很專心 很安靜地
[00:01:10.480 --> 00:01:13.240]  一邊唱詩 一邊讚美神
[00:01:13.240 --> 00:01:15.160]  接著聽講道
[00:01:15.160 --> 00:01:17.200]  仍然沒有人會走開
[00:01:17.200 --> 00:01:20.880]  繼續這樣專心地敬拜神
[00:01:20.880 --> 00:01:22.240]  他突然間感覺
[00:01:22.240 --> 00:01:25.360]  原來敬拜不在乎外在環境
[00:01:25.360 --> 00:01:28.120]  而是人的內心很願意來敬拜神
[00:01:28.120 --> 00:01:29.520]  就算沒有那麼舒服
[00:01:29.520 --> 00:01:31.560]  他們仍然可以很開心
[00:01:31.560 --> 00:01:35.160]  很專注地來敬拜神
[00:01:35.160 --> 00:01:35.920]  各位弟兄姊妹
[00:01:35.920 --> 00:01:39.280]  我們每一個主日在神面前來敬拜
[00:01:39.280 --> 00:01:40.960]  究竟我們的敬拜
[00:01:40.960 --> 00:01:45.440]  是否從心底獻情對神的感恩
[00:01:45.440 --> 00:01:48.320]  是否一種從心靈深處
[00:01:48.320 --> 00:01:52.320]  發出對神的專注的敬拜
[00:01:52.320 --> 00:01:54.320]  這些弟兄姊妹的榜樣
[00:01:54.320 --> 00:01:56.920]  帶給我們很多提醒
[00:01:56.920 --> 00:01:59.440]  崇拜是一種獻祭
[00:01:59.440 --> 00:02:00.640]  在崇拜的時候
[00:02:00.640 --> 00:02:04.120]  我們將感謝 將讚美獻情給神
[00:02:04.120 --> 00:02:08.600]  更加我們將我們的身心獻情給神
[00:02:08.600 --> 00:02:10.440]  承認祂是我們的主
[00:02:10.440 --> 00:02:11.360]  祂是天地的主
[00:02:11.360 --> 00:02:12.600]  亦都是我們生命的主
[00:02:12.600 --> 00:02:16.320]  你當將我們的生命獻情給祂
[00:02:16.320 --> 00:02:19.640]  在《舊約聖經》有很多獻祭的教導
[00:02:19.640 --> 00:02:21.800]  當人獻祭的時候
[00:02:21.800 --> 00:02:24.040]  是需要留心幾方面
[00:02:24.040 --> 00:02:25.680]  就是究竟這個祭品
[00:02:25.680 --> 00:02:28.880]  如何能夠討神歡喜呢?
[00:02:28.880 --> 00:02:30.880]  第一 這個祭品
[00:02:30.880 --> 00:02:34.680]  是需要按照神的吩咐來獻祭
[00:02:34.680 --> 00:02:37.600]  不是隨便拿些東西回來獻給神
[00:02:37.600 --> 00:02:39.800]  是要按祂的意思
[00:02:39.800 --> 00:02:44.560]  第二 這些祭品必須是沒有殘疾的
[00:02:44.560 --> 00:02:47.400]  是完整的 是美好的祭
[00:02:47.400 --> 00:02:49.320]  獻給神
[00:02:49.320 --> 00:02:51.400]  第三 當你獻祭的時候
[00:02:51.400 --> 00:02:55.720]  你的生命本身是行善的生命
[00:02:55.720 --> 00:02:59.280]  大家記得 亞伯和戈隱獻祭
[00:02:59.280 --> 00:03:02.000]  神預納誰的祭品呢?
[00:03:02.000 --> 00:03:05.560]  預納亞伯的獻祭
[00:03:05.560 --> 00:03:08.480]  但是不預納戈隱的獻祭
[00:03:08.480 --> 00:03:09.880]  為什麼呢?
[00:03:09.880 --> 00:03:12.400]  因為戈隱的行為是惡的
[00:03:12.400 --> 00:03:14.080]  如同《一書》所說
[00:03:14.080 --> 00:03:15.800]  因為他的行為是惡的
[00:03:15.800 --> 00:03:19.800]  所獻的祭品 神亦都不願意接受
[00:03:19.800 --> 00:03:21.520]  因此行為是善的
[00:03:21.520 --> 00:03:25.640]  亞伯所獻上的 神就接納
[00:03:25.640 --> 00:03:26.840]  因此這個祭品
[00:03:26.840 --> 00:03:29.080]  不單單是表面上的一些物品
[00:03:29.080 --> 00:03:32.280]  而是你的生命是否一個美善的祭
[00:03:32.280 --> 00:03:35.640]  在當時有很多以色列人所獻的祭品
[00:03:35.640 --> 00:03:40.120]  神不願納 甚至《冊書》第一章這樣說
[00:03:40.120 --> 00:03:42.440]  「你們不要再獻祭了
[00:03:42.440 --> 00:03:45.560]  你們的祭品令我厭煩
[00:03:45.560 --> 00:03:46.880]  你們不要再獻祭了
[00:03:46.880 --> 00:03:49.000]  你們的獻祭是虛浮的供物
[00:03:49.000 --> 00:03:51.520]  我不喜悅」
[00:03:51.520 --> 00:03:53.240]  有時候我們都需要想想
[00:03:53.240 --> 00:03:55.320]  在我們的崇拜裏面
[00:03:55.320 --> 00:03:57.480]  究竟我們的崇拜
[00:03:57.480 --> 00:03:59.960]  是否神喜悅的呢?
[00:03:59.960 --> 00:04:02.680]  怎樣的崇拜才叫神悅納
[00:04:02.680 --> 00:04:05.080]  才是真正的得神的喜歡
[00:04:05.080 --> 00:04:08.600]  這是我們常常需要思想的事情
[00:04:08.600 --> 00:04:10.560]  因此今次我們看一段經文
[00:04:10.560 --> 00:04:12.440]  這段經文裏面提及
[00:04:12.440 --> 00:04:15.480]  怎樣的敬拜是神所喜悅的
[00:04:15.480 --> 00:04:19.280]  怎樣的敬拜是真正以神為中心
[00:04:19.280 --> 00:04:30.160]  大家翻閱聖經希伯來書第十三章
[00:04:30.160 --> 00:04:32.560]  首先我們思想的就是
[00:04:32.560 --> 00:04:34.800]  以神為中心的敬拜
[00:04:34.800 --> 00:04:39.000]  是必定按照神所喜歡的
[00:04:39.000 --> 00:04:42.480]  不是按照我們所喜歡的
[00:04:42.480 --> 00:04:44.040]  不是按我們所喜歡的
[00:04:44.040 --> 00:04:46.080]  是按照神所喜歡的
[00:04:46.080 --> 00:04:48.320]  這才是真正以神
[00:04:48.320 --> 00:04:51.080]  不是以自己為中心
[00:04:51.080 --> 00:04:53.800]  在經文之前我想和大家分享一個經歷
[00:04:53.800 --> 00:04:55.280]  有一次我在北美
[00:04:55.280 --> 00:04:58.880]  我去一間很大的教會參加他們的崇拜
[00:04:58.880 --> 00:05:02.120]  發現他們的教會是一個很漂亮的聖壇
[00:05:02.120 --> 00:05:03.760]  一個聖殿
[00:05:03.760 --> 00:05:08.040]  但是在教堂的外面有些空地
[00:05:08.040 --> 00:05:13.040]  其中有一個地方好像裝修成一個咖啡室
[00:05:13.040 --> 00:05:15.320]  這個咖啡室也很舒服的
[00:05:15.320 --> 00:05:17.640]  有些很漂亮的咖啡桌
[00:05:17.640 --> 00:05:19.280]  有些太陽傘
[00:05:19.280 --> 00:05:21.040]  好像一些郊野地方
[00:05:21.040 --> 00:05:23.600]  旁邊有一些植物
[00:05:23.600 --> 00:05:27.920]  然後我就發覺這間教會是提供另一種選擇
[00:05:27.920 --> 00:05:31.600]  如果你不喜歡在禮拜堂裏面敬拜
[00:05:31.600 --> 00:05:33.440]  你可以走到外面
[00:05:33.440 --> 00:05:37.000]  在這個咖啡室買一杯咖啡
[00:05:37.000 --> 00:05:39.720]  然後隨便穿著你的衣服
[00:05:39.720 --> 00:05:44.400]  然後在當中看著電視崇拜
[00:05:44.400 --> 00:05:47.240]  有不少人覺得這樣好一點
[00:05:47.240 --> 00:05:48.840]  比較自由
[00:05:48.840 --> 00:05:50.920]  自由一點 不用那麼拘束
[00:05:50.920 --> 00:05:52.200]  待會去一下廁所也可以
[00:05:52.200 --> 00:05:53.960]  待會隨便走一走也可以
[00:05:53.960 --> 00:05:55.520]  偶爾聽一聽又覺得不喜歡
[00:05:55.520 --> 00:05:57.720]  就可以多喝一杯東西 吃一件餅
[00:05:57.720 --> 00:05:59.640]  回來再聽
[00:05:59.640 --> 00:06:04.120]  因此不少人就在那個咖啡室崇拜
[00:06:04.120 --> 00:06:06.120]  看著電視 翹起腳
[00:06:06.120 --> 00:06:09.880]  就喝一杯咖啡崇拜
[00:06:09.880 --> 00:06:11.480]  當我看到這個情況的時候
[00:06:11.480 --> 00:06:13.840]  沒錯 吸引了一些人留下來
