
[00:00:00.000 --> 00:00:03.840]  各位弟兄姊妹 各位朋友 早晨 主內平安
[00:00:03.840 --> 00:00:10.000]  今月份大同崇拜的主題是「在斯仇虎」
[00:00:10.000 --> 00:00:12.000]  在我們教會群體裏面
[00:00:12.000 --> 00:00:14.000]  一提到仇虎的代表
[00:00:14.000 --> 00:00:18.000]  相信我們都可以很快很肯定地說
[00:00:18.000 --> 00:00:22.000]  就是被釘在十字架上的耶穌基督
[00:00:22.000 --> 00:00:26.000]  不過當我去預備講章
[00:00:26.000 --> 00:00:29.000]  很認真去想關於仇虎題目的時候
[00:00:29.000 --> 00:00:32.000]  我就在想如果時光倒流
[00:00:32.000 --> 00:00:34.000]  訪問在讀中學之前
[00:00:34.000 --> 00:00:39.000]  那個從來都沒有接觸過基督教信仰的我
[00:00:39.000 --> 00:00:42.000]  不知道我又會給一個怎樣的答案
[00:00:42.000 --> 00:00:45.000]  所以弟兄姊妹都鼓勵你們
[00:00:45.000 --> 00:00:47.000]  有機會可以去訪問一下
[00:00:47.000 --> 00:00:50.000]  你們身邊一些未信主的家人 朋友 同事
[00:00:50.000 --> 00:00:53.000]  他們的答案又會是怎樣的呢
[00:00:53.000 --> 00:00:58.000]  或者這個可以成為一個很好的對話的空間
[00:00:58.000 --> 00:01:02.000]  甚至可以成為一個探討信仰的契機
[00:01:02.000 --> 00:01:04.000]  話說回來
[00:01:04.000 --> 00:01:09.000]  我在想當時的我會給甚麼答案呢
[00:01:09.000 --> 00:01:14.000]  我想很大機會我會給這個答案
[00:01:14.000 --> 00:01:18.000]  關於仇虎的代表
[00:01:18.000 --> 00:01:20.000]  就是薛西弗斯
[00:01:20.000 --> 00:01:23.000]  不知道大家有沒有聽過他的故事呢
[00:01:23.000 --> 00:01:27.000]  小時候我就很喜歡看希臘神話的故事
[00:01:27.000 --> 00:01:30.000]  因為覺得很精彩 很吸引到我
[00:01:30.000 --> 00:01:33.000]  薛西弗斯就是希臘神話的故事裏面
[00:01:33.000 --> 00:01:36.000]  其中一個故事的主角
[00:01:36.000 --> 00:01:39.000]  他是一位受到眾神懲罰的人
[00:01:39.000 --> 00:01:42.000]  關於為甚麼他會受到懲罰呢
[00:01:42.000 --> 00:01:45.000]  其實原因有很多個版本
[00:01:45.000 --> 00:01:50.000]  不過不同的版本的結局是一樣的
[00:01:50.000 --> 00:01:56.000]  就是薛西弗斯每一天都必須用盡全力
[00:01:56.000 --> 00:01:59.000]  像身水身汗那樣
[00:01:59.000 --> 00:02:02.000]  把一塊很大很大的石頭
[00:02:02.000 --> 00:02:07.000]  由山腳一直推上去山頂
[00:02:07.000 --> 00:02:12.000]  推到山頂他才有休息的機會
[00:02:12.000 --> 00:02:16.000]  不過每一次他快要到達山頂的時候
[00:02:16.000 --> 00:02:21.000]  那塊大石就會從他手上滑下來
[00:02:21.000 --> 00:02:23.000]  再滾回到山腳
[00:02:23.000 --> 00:02:26.000]  而薛西弗斯要做的就是
[00:02:26.000 --> 00:02:29.000]  他要再一次滾回到山腳那裡
[00:02:29.000 --> 00:02:37.000]  然後再一步一步推著石頭上山
[00:02:37.000 --> 00:02:42.000]  就是這樣一次又一次 一天又一天
[00:02:42.000 --> 00:02:46.000]  整個情況就是永無止境地重複下去
[00:02:46.000 --> 00:02:49.000]  所以英文裏面有個形容詞
[00:02:49.000 --> 00:02:53.000]  叫做Sisyphean 薛西弗斯式
[00:02:53.000 --> 00:02:54.000]  是一個形容詞
[00:02:54.000 --> 00:02:58.000]  我們形容的就是一些永無盡頭
[00:02:58.000 --> 00:03:01.000]  又徒勞無功的任務
[00:03:01.000 --> 00:03:04.000]  是不斷地重複的事
[00:03:04.000 --> 00:03:07.000]  弟兄姊妹當我們身處在苦難裡的時候
[00:03:07.000 --> 00:03:10.000]  不知道你會不會覺得自己也像薛西弗斯一樣
[00:03:10.000 --> 00:03:13.000]  就好像推著一塊大石頭
[00:03:13.000 --> 00:03:16.000]  或者背著一塊大石頭去上山頂
[00:03:16.000 --> 00:03:21.000]  那塊大石頭可能是我們的原生家庭
[00:03:21.000 --> 00:03:23.000]  可能是婚姻
[00:03:23.000 --> 00:03:25.000]  可能是工作
[00:03:25.000 --> 00:03:27.000]  可能是人際關係
[00:03:27.000 --> 00:03:29.000]  甚至是疾病
[00:03:29.000 --> 00:03:33.000]  或者要照顧長期患病的家人
[00:03:33.000 --> 00:03:36.000]  這些都是我們的巨石
[00:03:36.000 --> 00:03:41.000]  這些巨石會令我們筋疲力盡
[00:03:41.000 --> 00:03:46.000]  甚至好像已經再也不能走動了
[00:03:46.000 --> 00:03:48.000]  不知道還要多久才會完
