
[00:00:00.000 --> 00:00:02.000]  當我預備這段訊息的時候
[00:00:02.000 --> 00:00:03.400]  就想起一件事情
[00:00:03.400 --> 00:00:04.640]  是很多年之前
[00:00:04.640 --> 00:00:06.640]  我曾經聽到一個消息
[00:00:06.640 --> 00:00:09.440]  一件都叫人相痛的消息
[00:00:09.440 --> 00:00:12.640]  就是很多年前在美國一間教會
[00:00:12.640 --> 00:00:13.640]  發生一件事情
[00:00:13.640 --> 00:00:16.880]  他們教會有一位很年輕的傳道人
[00:00:16.880 --> 00:00:20.040]  在教會裡面很受弟兄姊妹的愛戴
[00:00:20.040 --> 00:00:22.400]  但後來發生一件事情
[00:00:22.400 --> 00:00:25.320]  就發現他和一位已婚的姊妹
[00:00:25.320 --> 00:00:27.320]  有一些很不正常的關係
[00:00:28.160 --> 00:00:31.400]  但後來知道的是他和這位姊妹
[00:00:31.400 --> 00:00:33.400]  一起私奔了
[00:00:33.400 --> 00:00:34.800]  離開了教會
[00:00:34.800 --> 00:00:36.120]  離開了他們的家庭
[00:00:36.120 --> 00:00:38.120]  在離開之後
[00:00:38.120 --> 00:00:40.120]  一件更加令人難受的事情
[00:00:40.120 --> 00:00:42.120]  就是這位傳道人
[00:00:42.120 --> 00:00:46.160]  把教會其中一筆幾萬元的款項
[00:00:46.160 --> 00:00:48.880]  自己拿走了
[00:00:48.880 --> 00:00:51.760]  但他離開的時候
[00:00:51.760 --> 00:00:55.080]  更加把一張字條放在教會裡
[00:00:55.080 --> 00:00:57.160]  這張字條很簡單
[00:00:57.840 --> 00:00:58.840]  寫了一句話
[00:00:58.840 --> 00:01:01.320]  他說「神明白」
[00:01:01.320 --> 00:01:06.840]  這句話是令人很震驚的
[00:01:06.840 --> 00:01:09.480]  因為他會覺得他所做的事情
[00:01:09.480 --> 00:01:10.840]  神明白的
[00:01:10.840 --> 00:01:13.080]  神知道我們有難處
[00:01:13.080 --> 00:01:14.520]  神知道我們的困難
[00:01:14.520 --> 00:01:16.960]  他明白他容許我們這樣做
[00:01:16.960 --> 00:01:18.960]  所以你們不要隨便責怪我們
[00:01:18.960 --> 00:01:21.560]  言下之意是有這樣的意思
[00:01:21.560 --> 00:01:24.080]  我很記得這件事情
[00:01:24.080 --> 00:01:26.080]  因為當時心裡很震撼
[00:01:26.080 --> 00:01:28.080]  因為人在罪裡面
[00:01:28.080 --> 00:01:30.720]  不察覺自己的罪
[00:01:30.720 --> 00:01:33.600]  竟然覺得這件事情是可以接納的
[00:01:33.600 --> 00:01:37.000]  我立即想在聖經裡講及
