
[00:00:00.000 --> 00:00:04.900]  在我們說祈禱為一個弟兄姊妹的需要
[00:00:04.900 --> 00:00:06.900]  去禱告的時候
[00:00:06.900 --> 00:00:08.900]  上次我們已經說了
[00:00:08.900 --> 00:00:13.520]  祈禱的時候我們應該存著一個什麼心態
[00:00:13.520 --> 00:00:14.680]  一個什麼態度
[00:00:14.680 --> 00:00:19.120]  為這個有病的肢體或者親友一起去禱告
[00:00:19.120 --> 00:00:20.120]  在過程當中
[00:00:20.120 --> 00:00:23.460]  我今天都想和大家思考第二個問題
[00:00:23.460 --> 00:00:25.460]  就是很多時候我們都去問
[00:00:25.460 --> 00:00:30.940]  究竟我們應該去想上帝究竟期望我們
[00:00:30.940 --> 00:00:34.740]  用什麼態度的內容去祈禱
[00:00:34.740 --> 00:00:36.740]  究竟上帝的旨意是怎樣的
[00:00:36.740 --> 00:00:38.740]  上帝在這一刻裡面
[00:00:38.740 --> 00:00:41.540]  究竟祂的心意或者祂的旨意
[00:00:41.540 --> 00:00:43.540]  要我怎樣去祈禱呢?
[00:00:43.540 --> 00:00:45.540]  很多時候我們都
[00:00:45.540 --> 00:00:48.740]  無論是祈禱治病的過程當中
[00:00:48.740 --> 00:00:52.040]  或者是我們在日常生活當中
[00:00:52.040 --> 00:00:54.040]  很多時候我們都問一個問題
[00:00:54.040 --> 00:00:58.040]  就是究竟什麼是神的旨意
[00:00:58.040 --> 00:01:01.540]  以及我們怎樣去遵行神的旨意
[00:01:01.540 --> 00:01:04.040]  今天就希望透過
[00:01:04.040 --> 00:01:07.040]  在40天生命根深之旅的第二課裡面
[00:01:07.040 --> 00:01:10.540]  和大家更廣闊地去思考一個問題
[00:01:10.540 --> 00:01:12.040]  以及在具體裡面
[00:01:12.040 --> 00:01:16.040]  我們怎樣去實踐這個信仰上面
[00:01:16.040 --> 00:01:18.540]  一個很重要的信仰內容
[00:01:18.540 --> 00:01:20.540]  在今天那段經文記載
[00:01:20.540 --> 00:01:22.540]  在《士大人傳》的十六章
[00:01:22.540 --> 00:01:24.540]  第一至第十節
[00:01:24.540 --> 00:01:28.040]  十六章第一至第五節
[00:01:28.040 --> 00:01:32.040]  其實是記載了保羅重訪第一次宣教的旅程裡面
[00:01:32.040 --> 00:01:34.540]  去走過的三個城市
[00:01:34.540 --> 00:01:38.540]  當中路加選擇了在路斯德裡面
[00:01:38.540 --> 00:01:41.540]  記載了一個更詳細的情況的記錄
[00:01:41.540 --> 00:01:44.040]  主要介紹的就是提摩泰
[00:01:44.040 --> 00:01:46.540]  這個保羅的一個同工
[00:01:46.540 --> 00:01:50.540]  在第十六章第一第二節那裡記載
[00:01:50.540 --> 00:01:52.040]  那裡這樣說
[00:01:52.040 --> 00:01:55.540]  保羅來到特比又到路斯德
[00:01:55.540 --> 00:01:59.040]  在那裡有一個門徒名叫提摩泰
[00:01:59.040 --> 00:02:01.540]  是信主的猶太婦人的兒子
[00:02:01.540 --> 00:02:04.040]  他的父親卻是希利利人
[00:02:04.040 --> 00:02:07.540]  路斯德和以哥廉的弟兄都稱讚他
[00:02:07.540 --> 00:02:09.540]  保羅要帶他同去
[00:02:09.540 --> 00:02:13.540]  因那地方的猶太人都知道他的父親是希利利人
[00:02:13.540 --> 00:02:16.040]  就給他行了國禮
[00:02:16.040 --> 00:02:19.540]  在這裡可以說提到一個人
[00:02:19.540 --> 00:02:21.540]  這個人叫提摩泰
[00:02:21.540 --> 00:02:24.540]  提摩泰的媽媽是一個猶太人
[00:02:24.540 --> 00:02:27.540]  他的爸爸是希利利人就是希臘人
[00:02:27.540 --> 00:02:33.540]  當時提摩泰
[00:02:33.540 --> 00:02:35.540]  保羅用了很精簡的內容
[00:02:35.540 --> 00:02:38.540]  跟他描述了他一個這樣的情況
[00:02:38.540 --> 00:02:43.040]  提摩泰的名字可以說是第一次出現在這段經文裡面
[00:02:43.040 --> 00:02:46.040]  他的名字就是尊敬上帝
[00:02:46.040 --> 00:02:49.540]  保羅曾經說過提摩泰因信耶穌
[00:02:49.540 --> 00:02:52.540]  作了我真兒子的提摩泰
[00:02:52.540 --> 00:02:57.040]  在主裡面是我所親愛又忠心的一個兒子
[00:02:57.040 --> 00:03:02.040]  自從猶太人散居在不同的地方之後
[00:03:02.040 --> 00:03:07.540]  猶太人和異族的通婚都成為了一個很大的問題
[00:03:07.540 --> 00:03:13.540]  也構成了作為一個猶太人身份的威脅
[00:03:13.540 --> 00:03:19.040]  與異族人的通婚究竟他是否一個純種的猶太人呢?
[00:03:19.040 --> 00:03:25.040]  最後提摩泰的媽媽與一個外族人結婚了
[00:03:25.040 --> 00:03:27.540]  他的媽媽之後信了耶穌
