
[00:00:00.000 --> 00:00:04.680]  我們在崇拜裡說司徒仁傳也已經有兩年的時間
[00:00:04.680 --> 00:00:08.360]  到了一個階段差不多是司徒仁傳的尾聲
[00:00:08.360 --> 00:00:15.880]  在這張聖經裡說了保羅如何從耶路撒冷到羅馬的旅程當中
[00:00:15.880 --> 00:00:20.160]  一個船上的海難的描述
[00:00:20.160 --> 00:00:27.320]  在之前幾章可以說到保羅因為當時猶太人的緣故攻擊他
[00:00:27.320 --> 00:00:29.840]  他受到當時的羅馬官員受審
[00:00:30.080 --> 00:00:32.680]  接著保羅說他要上訴於該殺
[00:00:32.680 --> 00:00:34.920]  他要去到羅馬這個地方裡面
[00:00:34.920 --> 00:00:39.920]  在羅馬帝國最高的統治人當中陳述他自己的冤情
[00:00:39.920 --> 00:00:45.440]  在整個基災裡面保羅的角色是相當的重要
[00:00:45.440 --> 00:00:48.040]  在整個行程當中
[00:00:48.040 --> 00:00:54.800]  在船上他對水手和船上的人說語言有一個船上的風險
[00:00:54.800 --> 00:00:58.480]  在危難當中對船上的人有一個安慰
[00:00:59.160 --> 00:01:04.880]  甚至他在預險當中告訴乘客或船上的人
[00:01:04.880 --> 00:01:07.720]  我們必然會安全著陸
[00:01:07.720 --> 00:01:17.320]  在這整章經文裡面強調了上帝如何保守著保羅整個的生命
[00:01:17.320 --> 00:01:21.840]  上帝掌管著整個過程
[00:01:21.840 --> 00:01:26.200]  在這章聖經裡是一個相當重要的信息
[00:01:26.520 --> 00:01:31.760]  其實這個信息和整個士徒行傳是一個很互相呼應的情況
[00:01:31.760 --> 00:01:36.080]  整個士徒行傳是說教會從很小的人群當中
[00:01:36.080 --> 00:01:37.920]  很少一群人
[00:01:37.920 --> 00:01:42.400]  慢慢一步一步的擴展成為在不同地方裡面
[00:01:42.400 --> 00:01:44.920]  都有教會存在的一個教會發展
[00:01:44.920 --> 00:01:47.320]  為什麼教會一步一步的發展呢
[00:01:47.320 --> 00:01:52.840]  是因為上帝在背後保守著信徒
[00:01:52.840 --> 00:01:56.040]  推動著教會一步一步的前進
[00:01:56.560 --> 00:01:58.400]  我們再看回這章聖經裡面
[00:01:58.400 --> 00:02:05.200]  我們看到秦府接納保羅的上訴要求
[00:02:05.200 --> 00:02:10.280]  所以安排了一個白夫長和一些兵丁
[00:02:10.280 --> 00:02:15.080]  押送保羅和其他的囚犯到羅馬的地方
[00:02:15.080 --> 00:02:17.440]  讓保羅有上訴的機會
[00:02:17.440 --> 00:02:21.240]  在圖中可以說是對保羅相當寬鬆
[00:02:21.240 --> 00:02:24.480]  他可以在圖中去探望朋友
[00:02:24.480 --> 00:02:27.440]  他的朋友也可以送一些物資給保羅
[00:02:27.440 --> 00:02:30.240]  讓他在旅程當中使用
[00:02:30.240 --> 00:02:35.200]  其實這個旅程或行程是相當不容易
[00:02:35.200 --> 00:02:39.160]  經過了一勉強的行行之後
[00:02:39.160 --> 00:02:41.880]  就去了一個港口叫佳澳
[00:02:41.880 --> 00:02:47.080]  在佳澳的海港裡
[00:02:47.080 --> 00:02:51.680]  保羅就說出了第一次一個很重要的話
[00:02:51.680 --> 00:02:54.120]  因為在佳澳的天氣很惡劣
[00:02:54.760 --> 00:03:00.400]  其實已經過了行航安全的季節
[00:03:00.400 --> 00:03:04.360]  保羅就在那裡很簡單的警告當時船上的人
[00:03:04.360 --> 00:03:07.800]  如果我們勉強地出海繼續航行
[00:03:07.800 --> 00:03:11.400]  船上的貨物勢必會受損
[00:03:11.400 --> 00:03:12.840]  乘客和水手
[00:03:12.840 --> 00:03:17.400]  即是我們船上所有人的生命都會受到危險
[00:03:17.400 --> 00:03:23.400]  但是當時的白夫長沒有聽從保羅的勸告
[00:03:23.400 --> 00:03:27.440]  他就聽從了船夫水手的說話
[00:03:27.440 --> 00:03:32.400]  即是船上的船夫和水手說可以繼續去起行
[00:03:32.400 --> 00:03:40.720]  所以船就開始在佳澳的港口上繼續前進
[00:03:40.720 --> 00:03:45.960]  接著我們就看到海上遇難的一些險劇發生
[00:03:45.960 --> 00:03:49.160]  開始的時候這艘船都是相當的順利
[00:03:49.160 --> 00:03:53.200]  但是走到差不多就遇到一個很大的風
[00:03:53.200 --> 00:03:57.800]  路加是一個歷史學家
[00:03:57.800 --> 00:04:01.680]  他很詳細地將一些事件的細節表達出來
[00:04:01.680 --> 00:04:05.200]  說出這是一個歷史的事件
[00:04:05.200 --> 00:04:08.880]  他在說大風的名字叫做「有拉夾羅」
[00:04:08.880 --> 00:04:11.960]  接著這個大風吹了很久
[00:04:11.960 --> 00:04:13.640]  船都控制不了
[00:04:13.640 --> 00:04:17.680]  船只能夠隨風在大海上漂流
[00:04:17.680 --> 00:04:21.680]  開始他們將船上的貨物放到海上
[00:04:21.680 --> 00:04:25.080]  接著將船上的器具也放到海上
[00:04:25.080 --> 00:04:29.400]  讓船的安全性穩定一些
[00:04:29.400 --> 00:04:33.440]  到最後可以說是扔無可扔
[00:04:33.440 --> 00:04:35.760]  船上的人的情況是怎樣呢?
[00:04:35.760 --> 00:04:37.240]  都絕望了
[00:04:37.240 --> 00:04:40.440]  路加的形容就是船上的人都絕望
[00:04:40.440 --> 00:04:43.000]  這當然是一個很容易理解的情況
[00:04:43.000 --> 00:04:45.440]  如果我們身處其中
