
[00:00:00.000 --> 00:00:04.260]  我們再思想詩篇裏面的「祈禱詩」
[00:00:04.260 --> 00:00:06.460]  今日的詩篇63篇
[00:00:06.460 --> 00:00:10.260]  是大衛的另一篇的「祈禱詩」
[00:00:10.260 --> 00:00:13.380]  我想當我讀這篇聖經之前
[00:00:13.380 --> 00:00:17.260]  我就想起一首詩歌
[00:00:17.260 --> 00:00:19.420]  這首詩歌大家會熟悉的
[00:00:19.420 --> 00:00:20.620]  就是我們常常唱
[00:00:20.620 --> 00:00:23.180]  《生命聖詩》裏面的一首歌
[00:00:23.180 --> 00:00:25.820]  宣導會的創辦人孫迅所寫
[00:00:25.820 --> 00:00:28.740]  就是「今要主自己」
[00:00:28.740 --> 00:00:33.780]  英文一個字的題目就是Himself
[00:00:33.780 --> 00:00:34.940]  「今要主自己」
[00:00:34.940 --> 00:00:36.460]  這首詩歌很簡單
[00:00:36.460 --> 00:00:39.220]  但卻是很清楚講一件事情
[00:00:39.220 --> 00:00:40.380]  詩歌大家會記得
[00:00:40.380 --> 00:00:45.020]  就說「前所要的是祝福
[00:00:45.020 --> 00:00:48.740]  今所要的是主
[00:00:48.740 --> 00:00:52.180]  前所要的是恩賜
[00:00:52.180 --> 00:00:56.460]  今所要的是賜恩的主
[00:00:56.460 --> 00:00:59.380]  前我尋求醫治
[00:00:59.380 --> 00:01:03.420]  今我要的是主」
[00:01:03.420 --> 00:01:05.020]  很有趣的一直在說
[00:01:05.020 --> 00:01:07.700]  之前是什麼 現在是什麼
[00:01:07.700 --> 00:01:10.060]  以前是想尋求得到的
[00:01:10.060 --> 00:01:13.660]  是祝福 是恩賜 是醫治等等
[00:01:13.660 --> 00:01:15.420]  但一直在成長的時候
[00:01:15.420 --> 00:01:19.180]  體會到更值得去尋求的
[00:01:19.180 --> 00:01:22.260]  是尋求主自己
[00:01:22.260 --> 00:01:25.780]  很多基督徒在他們成長的過程裏面
[00:01:25.780 --> 00:01:27.260]  都一步一步體會到
[00:01:27.260 --> 00:01:30.060]  生命裏面最大的祝福
[00:01:30.060 --> 00:01:32.940]  仍然都是主自己
[00:01:32.940 --> 00:01:34.460]  甚至有些時候
[00:01:34.460 --> 00:01:37.260]  向神祈禱 神沒有賜下祝福
[00:01:37.260 --> 00:01:41.020]  沒有賜下恩賜 沒有賜下醫治
[00:01:41.020 --> 00:01:45.260]  但主會賜下祂自己
[00:01:45.260 --> 00:01:48.380]  因此在祈禱過程裏面所尋求的
[00:01:48.380 --> 00:01:51.180]  不一定要堅持要得到今生的
[00:01:51.180 --> 00:01:53.580]  一些祝福 滿足
[00:01:53.580 --> 00:01:55.380]  反而體會到
[00:01:55.380 --> 00:01:59.340]  如果主是要透過一些缺乏
[00:01:59.340 --> 00:02:00.860]  一些困難
[00:02:00.860 --> 00:02:03.580]  而讓我更多得著祂自己
[00:02:03.580 --> 00:02:06.820]  這個就是真正的祝福
[00:02:06.820 --> 00:02:08.140]  當我們唱首詩歌的時候
[00:02:08.140 --> 00:02:10.820]  會體會到歷世很多的基督徒
[00:02:10.820 --> 00:02:13.380]  他們人生的體會裏面就知道
[00:02:13.380 --> 00:02:18.700]  生命真正的寶貴是神自己
[00:02:18.700 --> 00:02:20.940]  而當你讀到詩篇63篇的時候
[00:02:20.940 --> 00:02:23.020]  你會察覺大衛都同樣向神
[00:02:23.020 --> 00:02:25.140]  這樣禱告尋求
[00:02:25.140 --> 00:02:26.420]  你看的時候你會察覺
[00:02:26.420 --> 00:02:30.660]  一開始一句很小的短句
[00:02:30.660 --> 00:02:36.140]  他說「大衛的詩是他在猶大曠野時作的」
[00:02:36.140 --> 00:02:38.500]  相信這首詩歌是在大衛
[00:02:38.500 --> 00:02:41.620]  當時他被他自己的兒子阿沙隆
[00:02:41.620 --> 00:02:43.740]  來去搏逆他
[00:02:43.740 --> 00:02:45.820]  去散了他的遺
[00:02:45.820 --> 00:02:48.780]  因此他被迫要離開自己的國家
[00:02:48.780 --> 00:02:50.580]  自己的家園
[00:02:50.580 --> 00:02:53.140]  然後去到曠野的地方
[00:02:53.140 --> 00:02:55.620]  跟著一群跟著他的神民
[00:02:55.620 --> 00:02:59.140]  在曠野裏面漂泊
[00:02:59.140 --> 00:03:00.660]  在那個時候
[00:03:00.660 --> 00:03:03.700]  他的心情是非常沉重
[00:03:03.700 --> 00:03:07.060]  自己的兒子竟然會趕逐自己
[00:03:07.060 --> 00:03:09.620]  他不再在一個很安恕的環境
[00:03:09.620 --> 00:03:11.860]  在曠野裏面生活
[00:03:11.860 --> 00:03:14.260]  不再在宮廷裏面生活
[00:03:14.260 --> 00:03:16.900]  他很疲乏、悲哀
[00:03:16.900 --> 00:03:20.060]  在那個時候他就向神祈禱
[00:03:20.060 --> 00:03:24.180]  這正是當時所寫下的祈禱詩
[00:03:24.180 --> 00:03:25.020]  一開始的時候
[00:03:25.020 --> 00:03:26.900]  63篇第一節就說
[00:03:26.900 --> 00:03:29.060]  「神啊,你是我的神
[00:03:29.060 --> 00:03:31.580]  我要切切尋求你
[00:03:31.580 --> 00:03:34.580]  在乾旱疲乏無水之地
[00:03:34.580 --> 00:03:37.500]  我的心我的身都渴想你
[00:03:37.500 --> 00:03:40.140]  切勿離」
[00:03:40.140 --> 00:03:42.060]  開始的時候他沒有來向神求
[00:03:42.060 --> 00:03:44.980]  「神啊,你讓我能夠打醒我的兒子
[00:03:44.980 --> 00:03:47.980]  可以回到我的宮殿」
[00:03:47.980 --> 00:03:48.900]  不是
[00:03:48.900 --> 00:03:51.100]  在那個時候他很深刻體會到的
[00:03:51.100 --> 00:03:54.100]  就是他需要神
[00:03:54.100 --> 00:03:57.860]  他切切地尋求神自己
[00:03:57.860 --> 00:04:00.500]  特別是在一個乾旱的
[00:04:00.500 --> 00:04:02.980]  曠野的地方
[00:04:02.980 --> 00:04:04.780]  一方面體會到自己的身體
[00:04:04.780 --> 00:04:06.620]  的確很需要水
[00:04:06.620 --> 00:04:07.780]  大家都會很明白
[00:04:07.780 --> 00:04:09.220]  在乾旱的地方
[00:04:09.220 --> 00:04:12.380]  那種如果內心裏面
[00:04:12.380 --> 00:04:14.140]  很想得到的
[00:04:14.140 --> 00:04:16.340]  其實就是即時能夠有水的
[00:04:16.340 --> 00:04:18.380]  可以的滋潤
[00:04:18.380 --> 00:04:19.900]  但是同樣他黨述到
[00:04:19.900 --> 00:04:21.860]  他自己內心裏面
[00:04:21.860 --> 00:04:25.060]  更加好像是一種乾渴的情況
[00:04:25.060 --> 00:04:26.900]  在困難、在艱難
[00:04:26.900 --> 00:04:28.820]  在悲哀的情況之下
[00:04:28.820 --> 00:04:31.380]  他深深體會到他需要著
[00:04:31.380 --> 00:04:33.980]  他渴望著
[00:04:33.980 --> 00:04:37.060]  有些時候我們在平順的日子
[00:04:37.060 --> 00:04:39.660]  生活都穩定的時刻
[00:04:39.660 --> 00:04:41.940]  我們也未必有很大的動力
[00:04:41.940 --> 00:04:43.700]  向神祈禱
[00:04:43.700 --> 00:04:45.340]  向神尋求
[00:04:45.340 --> 00:04:46.860]  或者某些生活上的事情
[00:04:46.860 --> 00:04:48.140]  已經滿足了自己
[00:04:48.140 --> 00:04:50.140]  覺得生活無憂
[00:04:50.140 --> 00:04:51.820]  都沒有什麼問題
[00:04:51.820 --> 00:04:52.460]  都會祈禱
[00:04:52.460 --> 00:04:53.260]  不過有些時候
[00:04:53.260 --> 00:04:54.540]  祈禱之後
[00:04:54.540 --> 00:04:56.220]  神答不答應
[00:04:56.220 --> 00:04:59.260]  似乎都不關重要
[00:04:59.260 --> 00:05:00.860]  甚至都不是很記得
[00:05:00.860 --> 00:05:03.380]  也都沒有什麼期望
[00:05:03.380 --> 00:05:04.180]  在那些時刻
[00:05:04.180 --> 00:05:05.500]  很多時候
[00:05:05.500 --> 00:05:07.460]  神要我們明白
[00:05:07.460 --> 00:05:10.100]  我們所得到的那些
[00:05:10.100 --> 00:05:12.940]  短暫的一些物質
[00:05:12.940 --> 00:05:13.740]  或者生活
[00:05:13.740 --> 00:05:15.340]  或者其他的滿足
[00:05:15.340 --> 00:05:17.540]  不是你真正的滿足
[00:05:17.540 --> 00:05:18.220]  有些時候
[00:05:18.220 --> 00:05:20.620]  祂會容許一些困難難度
[00:05:20.620 --> 00:05:24.820]  去催促我們尋求真正的滿足
[00:05:24.820 --> 00:05:29.780]  免得我們失去了主自己
[00:05:29.780 --> 00:05:31.380]  我想講一個很簡單的比喻
[00:05:31.380 --> 00:05:32.980]  大家會明白我的意思
[00:05:32.980 --> 00:05:33.700]  就是
[00:05:33.700 --> 00:05:34.420]  我記得有一次
[00:05:34.420 --> 00:05:37.060]  我看報紙的時候看到
[00:05:37.060 --> 00:05:40.060]  報導一個香港的
[00:05:40.060 --> 00:05:42.660]  一位名人的故事
[00:05:42.660 --> 00:05:46.380]  這位名人在香港被稱為呂強人
[00:05:46.380 --> 00:05:48.220]  事業非常之成功
[00:05:48.220 --> 00:05:51.180]  有很重要的生意的發展
[00:05:51.180 --> 00:05:52.420]  在過程裡面
[00:05:52.420 --> 00:05:53.780]  這個記者訪問他
[00:05:53.780 --> 00:05:56.460]  訪問他不是訪問他的事業
[00:05:56.460 --> 00:05:58.940]  訪問他一件事情就是說
[00:05:58.940 --> 00:05:59.820]  他說
[00:05:59.820 --> 00:06:05.020]  你怎麼看你的女兒自殺
[00:06:05.020 --> 00:06:07.220]  這個名人
[00:06:07.220 --> 00:06:13.180]  在當時突然間很語重心長
[00:06:13.180 --> 00:06:17.180]  肯說出他自己的一些感受
[00:06:17.180 --> 00:06:18.580]  他說
[00:06:18.580 --> 00:06:19.500]  我多年來
[00:06:19.500 --> 00:06:22.380]  我的女兒和我的關係很惡劣
[00:06:22.380 --> 00:06:23.980]  但是我告訴你
[00:06:23.980 --> 00:06:25.540]  其實我想
