
[00:00:00.000 --> 00:00:06.120]  今天我們來說傳道書第九章十三節至十章十五節
[00:00:06.120 --> 00:00:09.520]  這段經文是說什麼是智慧人
[00:00:09.520 --> 00:00:11.280]  什麼是愚昧人
[00:00:11.280 --> 00:00:13.400]  而且傳道者在這裡也鼓勵我們
[00:00:13.400 --> 00:00:15.480]  要做一個有智慧的人
[00:00:15.480 --> 00:00:18.320]  活在地上過一個神所
[00:00:18.320 --> 00:00:20.880]  要我們過一個快樂的人生
[00:00:20.880 --> 00:00:24.400]  這段經文一開始和結束
[00:00:24.400 --> 00:00:26.760]  都有一個「成」這個字
[00:00:26.760 --> 00:00:30.600]  九章十四節和十章十五節都有這個「成」字
[00:00:30.600 --> 00:00:33.200]  前後首尾的呼應
[00:00:33.200 --> 00:00:39.440]  我們再仔細看看傳道者怎樣帶出智慧和愚昧的分別
[00:00:39.440 --> 00:00:43.440]  在第九章十三節至十章第四節
[00:00:43.440 --> 00:00:47.440]  傳道者是從不同的角度告訴我們
[00:00:47.440 --> 00:00:49.720]  智慧的限制
[00:00:49.720 --> 00:00:52.720]  在第九章十三節至十六節
[00:00:52.720 --> 00:00:58.800]  其實是說出智慧人的行為所帶出來
[00:00:58.800 --> 00:01:01.120]  是有暫時的一個好處
[00:01:01.120 --> 00:01:05.840]  但是智慧人最終卻是沒有人去紀念
[00:01:05.840 --> 00:01:08.200]  在第十三至十六節
[00:01:08.200 --> 00:01:09.320]  傳道者這麼說
[00:01:09.320 --> 00:01:11.920]  我見日光之下有一樣智慧
[00:01:11.920 --> 00:01:14.040]  據我看乃是廣大
[00:01:14.040 --> 00:01:18.320]  就是有一小成其中人數稀少
[00:01:18.320 --> 00:01:20.280]  有大君往來攻擊
[00:01:20.280 --> 00:01:21.760]  收足迎來
[00:01:21.760 --> 00:01:23.240]  將成為困
[00:01:23.240 --> 00:01:26.760]  城中有一個貧窮的智慧人
[00:01:26.760 --> 00:01:28.680]  他用智慧救了那成
[00:01:28.680 --> 00:01:31.320]  卻沒有人紀念那成
[00:01:31.320 --> 00:01:32.400]  我就說
[00:01:32.400 --> 00:01:34.160]  智慧勝過勇力
[00:01:34.160 --> 00:01:37.440]  然而那貧窮人的智慧被人藐視
[00:01:37.440 --> 00:01:39.960]  他的話也無人聽從
[00:01:39.960 --> 00:01:42.640]  在第十三節說
[00:01:42.640 --> 00:01:44.720]  其實傳道者一開始說
[00:01:44.720 --> 00:01:46.120]  在日光之下
[00:01:46.120 --> 00:01:49.840]  我看見有一個關於智慧的例子
[00:01:49.840 --> 00:01:53.120]  說到有一個大君王
[00:01:53.120 --> 00:01:56.600]  和一個小成是成一個對比的
[00:01:56.600 --> 00:01:58.280]  第十四節就說
[00:01:58.280 --> 00:02:02.400]  有一個大君王來到一個人數稀少的小成
[00:02:02.400 --> 00:02:04.080]  將這個成圍困
[00:02:04.080 --> 00:02:08.800]  並且這個君王建造了龐大的攻城設施
[00:02:08.800 --> 00:02:10.920]  去攻打這個成
[00:02:10.920 --> 00:02:15.560]  接著在第十五、第十六、第十七、第十八節裡面
[00:02:15.560 --> 00:02:18.160]  這幾節經文裡面出現智慧的字
[00:02:18.160 --> 00:02:20.320]  出現智慧的字是很多的
[00:02:20.320 --> 00:02:21.840]  第十五、十六
[00:02:21.840 --> 00:02:22.600]  這兩節
[00:02:22.600 --> 00:02:24.320]  每一節都出現了兩次
[00:02:24.320 --> 00:02:25.880]  十七、十八節
[00:02:25.880 --> 00:02:27.920]  都各出現了一次
