
[00:00:00.000 --> 00:00:09.000]  今天要讀的經文是馬太福音28章第16到20節
[00:00:09.000 --> 00:00:17.000]  十一個門徒往加利利去,到了耶穌約定的山上。
[00:00:17.000 --> 00:00:25.000]  他們見了耶穌,就拜他。然而還有人疑惑。
[00:00:26.000 --> 00:00:36.000]  耶穌進前來對他們說:「天上、地下所有的權柄都賜給我了,
[00:00:36.000 --> 00:00:46.000]  所以你們要去使萬名做我的門徒,奉父、子、聖靈的名給他們施洗。
[00:00:47.000 --> 00:00:58.000]  凡我所吩咐你們的,都照訓他們遵守,我就長與你們同在,直到世界的末了。」
[00:00:58.000 --> 00:01:02.000]  以上是神的話語,感謝主。
[00:01:02.000 --> 00:01:11.000]  弟兄姊妹平安,我是阿君,是見到神學院十二節的神學生。
[00:01:11.000 --> 00:01:18.000]  平常我住在成州神學院的,如果你們有機會來成州玩,可以來找我呀。
[00:01:18.000 --> 00:01:27.000]  我的專業是跨越文化,去年我去了非洲馬達加斯加呆了九個月,
[00:01:27.000 --> 00:01:40.000]  這是我第一次去了那麼遠的地方,那時候語言不通,生活上也不方便,常常停電,我會感到孤單。
[00:01:40.000 --> 00:01:54.000]  但是那時候我認識了很多熱情的華人朋友們,他們像家人一樣照顧我,請我吃叉燒包、月餅,讓我感受到溫暖。
[00:01:54.000 --> 00:02:01.000]  所以我希望可以將這份愛回來香港之後回報他們。
[00:02:01.000 --> 00:02:11.000]  所以回來之後我就來了恩喬堂,在這裡認識新朋友,希望也可以分享溫暖還有支持。
[00:02:11.000 --> 00:02:22.000]  我想要服侍神,去為因神的愛,是因為從小到大,神多次請救我的生命,特別是在我十八歲那年,
[00:02:22.000 --> 00:02:33.000]  因為我有小腸病不舒服,透不過氣要住醫院,不過好奇怪,那時候我是一個少女,
[00:02:33.000 --> 00:02:41.000]  但是我住在婆婆的房間裡面,有很多婆婆在我附近,我遇到了一個在哭泣的婆婆,
[00:02:41.000 --> 00:02:48.000]  於是我走過去問她,你還好吧?原來她害怕要動手術,
[00:02:48.000 --> 00:02:58.000]  她說她在基督教的學校裡面工作,有聽過耶穌,我就看她唱福音,為她禱告。
[00:02:58.000 --> 00:03:03.000]  所以那時候我也在生病,但是神也使用我去關心她。
[00:03:03.000 --> 00:03:14.000]  每個人都試過生病,當然也是很辛苦的,但是原來有時候生病的經歷也可以給神使用,參與到生命。
[00:03:14.000 --> 00:03:24.000]  直到今天,我跟婆婆還在聯絡,我發現有生命,可以夫妻,可以獲得師神的恩典,
[00:03:24.000 --> 00:03:33.000]  美好的福音還有祝福不可以只有我一個享受,就好像我們吃了好的東西,看過美麗的風景,
[00:03:33.000 --> 00:03:43.000]  要拍照打卡放在小紅書上,全福音應該也是這樣子,要一直傳遞下去。
[00:03:43.000 --> 00:03:53.000]  我們身為基督徒就要願意將這個美好的福音還有祝福傳遞下去,讓他們經歷到神的愛。
