
[00:00:00.000 --> 00:00:02.960]  今天我們一起思想剛才所讀的聖經
[00:00:02.960 --> 00:00:03.920]  我們崇拜裡面
[00:00:03.920 --> 00:00:06.080]  來看哥倫多前書第九章
[00:00:06.080 --> 00:00:09.880]  我請大家打開聖經哥倫多前書第九章
[00:00:09.880 --> 00:00:11.880]  如果是唐用聖經的話
[00:00:11.880 --> 00:00:15.520]  是聖經裡面的1717頁
[00:00:15.520 --> 00:00:18.520]  1717頁
[00:00:18.520 --> 00:00:21.560]  我們剛才讀的第十二節開始讀到最後
[00:00:21.560 --> 00:00:26.840]  但是今天我想和大家一起看整個哥倫多前書第九章
[00:00:26.840 --> 00:00:28.560]  哥倫多前書第九章
[00:00:28.560 --> 00:00:30.200]  我們可以這樣形容他
[00:00:30.200 --> 00:00:33.360]  保羅寫哥倫多前書第九章的時候是很激的
[00:00:33.360 --> 00:00:37.880]  有人數過他用了18個問號
[00:00:37.880 --> 00:00:42.480]  來表達他自己那種心情的激盪和澎湃
[00:00:42.480 --> 00:00:48.120]  因為他要去分辨一個很重要的立場和做法
[00:00:48.120 --> 00:00:50.000]  待會我再說是什麼做法
[00:00:50.000 --> 00:00:53.520]  不過另外一件事我想留意和大家一起思想的
[00:00:53.520 --> 00:00:56.720]  哥倫多前書是保羅在2000年前寫的
[00:00:56.720 --> 00:00:57.440]  是不是?
[00:00:58.320 --> 00:01:01.680]  但是其實他很激進
[00:01:01.680 --> 00:01:03.680]  很現代
[00:01:03.680 --> 00:01:05.680]  那怎麼現代呢?
[00:01:05.680 --> 00:01:07.920]  如果你看21世紀
[00:01:07.920 --> 00:01:09.920]  我們現在這個世界
[00:01:09.920 --> 00:01:16.640]  如果我們要選一些經常常用的關鍵字的時候
[00:01:16.640 --> 00:01:18.600]  你看報紙、聽說
[00:01:18.600 --> 00:01:20.800]  你可以在很多的場合裡面
[00:01:20.800 --> 00:01:22.480]  甚至在報告新聞
[00:01:22.480 --> 00:01:25.680]  時常聽到的有兩個字眼
[00:01:27.120 --> 00:01:29.120]  一個就是自由
[00:01:29.120 --> 00:01:29.760]  是不是?
[00:01:29.760 --> 00:01:31.760]  大家現在說自由
[00:01:31.760 --> 00:01:34.000]  第二個是說權利
[00:01:34.000 --> 00:01:35.000]  是不是?
[00:01:35.000 --> 00:01:36.800]  有沒有留意呢?
[00:01:36.800 --> 00:01:39.480]  這張聖經裡面就是在說這兩件事
[00:01:39.480 --> 00:01:41.480]  是不是很現代?
[00:01:41.480 --> 00:01:42.560]  自由、權利
[00:01:42.560 --> 00:01:43.760]  18至19節
[00:01:43.760 --> 00:01:46.240]  可以說是整個第九章裡面的核心
[00:01:46.240 --> 00:01:47.240]  第18節說
[00:01:47.240 --> 00:01:49.440]  我的賞賜是什麼呢?
[00:01:49.440 --> 00:01:50.800]  我傳福音的時候
[00:01:50.800 --> 00:01:52.160]  叫人免費得著福音
[00:01:52.160 --> 00:01:57.680]  或者我沒有用過傳福音可以享有的權利
[00:01:57.680 --> 00:01:58.480]  是不是?
[00:01:58.480 --> 00:01:59.800]  很現代的說話
[00:01:59.800 --> 00:02:02.680]  其實權利這個字在第九章裡面不斷出現
[00:02:02.680 --> 00:02:05.360]  從第一節開始一直說下去
[00:02:05.360 --> 00:02:07.480]  到最後還是說權利
[00:02:07.480 --> 00:02:08.120]  還有
[00:02:08.120 --> 00:02:08.960]  接著19節
[00:02:08.960 --> 00:02:11.640]  我雖然自由
[00:02:11.640 --> 00:02:12.400]  是不是?
[00:02:12.400 --> 00:02:15.080]  兩節裡面就說了我們21世紀
[00:02:15.080 --> 00:02:17.920]  現在我們最流行的兩個字眼
[00:02:17.920 --> 00:02:19.920]  自由和權利
[00:02:19.920 --> 00:02:20.880]  OK
[00:02:20.880 --> 00:02:23.880]  我們說第三個當然是
[00:02:23.880 --> 00:02:28.120]  21世紀常用的關鍵字就是利潤
[00:02:28.120 --> 00:02:29.120]  是不是?
[00:02:29.120 --> 00:02:30.680]  拿到盡的利潤
[00:02:30.680 --> 00:02:31.560]  這個其實呢
