
[00:00:00.000 --> 00:00:03.080]  在今天講到之前和大家分享一點
[00:00:03.080 --> 00:00:04.680]  在過去的過多星期
[00:00:04.680 --> 00:00:07.280]  我有機會去到幾個回教的國家
[00:00:07.280 --> 00:00:09.680]  在當中認識當地的情況
[00:00:09.680 --> 00:00:11.880]  也有機會探望當地的教會
[00:00:11.880 --> 00:00:14.760]  和在當中服侍的弟兄姊妹
[00:00:14.760 --> 00:00:17.600]  也有我們中間的弟兄姊妹在當中
[00:00:17.600 --> 00:00:18.600]  在整個過程裏面
[00:00:18.600 --> 00:00:21.080]  我很感受到神的工作很奇妙
[00:00:21.080 --> 00:00:23.560]  很多人都會覺得回教徒信耶穌
[00:00:23.560 --> 00:00:25.320]  是一件不可能的事情
[00:00:25.320 --> 00:00:29.960]  但我聽見很多很多回教徒歸主的見證
[00:00:29.960 --> 00:00:31.160]  他們信主很多時候
[00:00:31.160 --> 00:00:34.120]  我們深刻感覺不是人去幫他們
[00:00:34.120 --> 00:00:37.880]  是主自己直接介入他們的生命當中
[00:00:37.880 --> 00:00:39.760]  很多回教徒表示他們信耶穌
[00:00:39.760 --> 00:00:42.240]  是因為他們在異象當中
[00:00:42.240 --> 00:00:45.360]  做夢的時候夢見耶穌
[00:00:45.360 --> 00:00:47.960]  又或者他們講到在某一些時間
[00:00:47.960 --> 00:00:51.840]  突然間主耶穌向他們說話
[00:00:51.840 --> 00:00:54.000]  他們聽見有主的聲音
[00:00:54.000 --> 00:00:55.880]  因此有一種很大的動力去尋找
[00:00:55.880 --> 00:00:57.720]  要明白耶穌是誰
[00:00:57.720 --> 00:00:59.760]  因此歸向耶穌
[00:00:59.760 --> 00:01:02.320]  我們聽到很多這樣的故事
[00:01:02.320 --> 00:01:03.920]  同時我們見到很多弟兄姊妹
[00:01:03.920 --> 00:01:06.760]  很多在當中帶職服侍的人
[00:01:06.760 --> 00:01:08.760]  他們帶著很大的熱誠
[00:01:08.760 --> 00:01:10.520]  付出很大的代價在當中
[00:01:10.520 --> 00:01:14.040]  來勞苦地見證神
[00:01:14.040 --> 00:01:15.720]  在整個回教國家
[00:01:15.720 --> 00:01:19.160]  回教地區裏面有很多困難的環境
[00:01:19.160 --> 00:01:21.160]  但他們仍然堅持服侍
[00:01:21.160 --> 00:01:23.160]  我為他們很感恩
[00:01:23.160 --> 00:01:24.800]  當我去到的時候就會體會到
[00:01:24.800 --> 00:01:28.000]  今天的橫教會已經蒙受神的賜福
[00:01:28.000 --> 00:01:29.560]  我們常常說200年之前
[00:01:29.560 --> 00:01:32.160]  瑪麗遜宣教士來到華人當中
[00:01:32.160 --> 00:01:34.000]  將福音帶給我們
[00:01:34.000 --> 00:01:35.800]  今天華人教會普遍來說
[00:01:35.800 --> 00:01:38.120]  都是一個成長的階段
[00:01:38.120 --> 00:01:39.960]  而我們都要更加思想
[00:01:39.960 --> 00:01:41.760]  我們當然逐層的福音
[00:01:41.760 --> 00:01:44.280]  去到其他未得知民當中
[00:01:44.280 --> 00:01:46.440]  包括在回教徒當中
[00:01:46.440 --> 00:01:49.360]  所以我想在這方面鼓勵大家
[00:01:49.360 --> 00:01:51.920]  亦都鼓勵北宣家更多地關心到
[00:01:51.920 --> 00:01:54.080]  在回教國家的福音的需要
[00:01:54.080 --> 00:01:56.320]  亦都為他們祈禱
[00:01:56.320 --> 00:01:58.040]  我自己也有一種很特別的經歷
[00:01:58.040 --> 00:02:00.280]  就是在這次的旅程裏面
[00:02:00.280 --> 00:02:02.000]  我上飛機之前
[00:02:02.000 --> 00:02:04.920]  突然間發覺自己患了感冒
[00:02:04.920 --> 00:02:07.240]  因此上到飛機就發燒
[00:02:07.240 --> 00:02:10.480]  我都很少試過在飛機上發燒
[00:02:10.480 --> 00:02:13.640]  因為鼻腔裏面有很多的液體
[00:02:13.640 --> 00:02:17.360]  所以上飛機的時候就閉塞著
[00:02:17.360 --> 00:02:20.720]  因為氣壓的改變
[00:02:20.720 --> 00:02:22.840]  是通不到的 所以很刺痛
