
[00:00:00.000 --> 00:00:04.800]  宣讀羅馬書第十二章第一到第二節
[00:00:04.800 --> 00:00:08.960]  所以弟兄們
[00:00:08.960 --> 00:00:12.280]  我以神的慈悲勸你們
[00:00:12.280 --> 00:00:14.340]  將身體獻上
[00:00:14.340 --> 00:00:15.880]  當作活祭
[00:00:15.880 --> 00:00:17.920]  是聖節的
[00:00:17.920 --> 00:00:20.220]  是神所喜悅的
[00:00:20.220 --> 00:00:23.040]  你們如此侍奉
[00:00:23.040 --> 00:00:25.340]  乃是理所當然的
[00:00:25.340 --> 00:00:29.180]  不要效法這個世界
[00:00:29.700 --> 00:00:32.780]  只要心意更新而變化
[00:00:32.780 --> 00:00:34.820]  叫你們查驗
[00:00:34.820 --> 00:00:37.380]  何謂神的善良
[00:00:37.380 --> 00:00:38.660]  純全
[00:00:38.660 --> 00:00:40.960]  可喜悅的旨意
[00:00:40.960 --> 00:00:43.260]  這是上主的話
[00:00:43.260 --> 00:00:46.340]  弟兄姊妹
[00:00:46.340 --> 00:00:47.100]  早安
[00:00:47.100 --> 00:00:51.200]  我是本堂的賀子永傳道
[00:00:51.200 --> 00:00:54.280]  所以就不需要另外的歡迎了
[00:00:54.280 --> 00:00:57.100]  歡迎你們一起來到恩橋堂
[00:00:57.340 --> 00:01:01.180]  恩橋堂九月份剛剛成立一周年
[00:01:01.180 --> 00:01:02.720]  剛剛成立一周年
[00:01:02.720 --> 00:01:06.040]  取名為恩橋就是恩典的橋樑
[00:01:06.040 --> 00:01:08.340]  希望是溝通
[00:01:08.340 --> 00:01:11.940]  香港文化和普通話文化的一個橋樑
[00:01:11.940 --> 00:01:13.220]  可以
[00:01:13.220 --> 00:01:18.600]  就是說傳揚福音可以幫助到更多的來港的普通話人
[00:01:18.600 --> 00:01:21.660]  在開始之前的話我們來一個禱告先
[00:01:21.660 --> 00:01:24.220]  天父感謝你
[00:01:24.220 --> 00:01:25.500]  赐下
[00:01:25.500 --> 00:01:27.300]  你的獨生愛子
[00:01:27.760 --> 00:01:30.060]  讓我們雖然沒有血緣的關係
[00:01:30.060 --> 00:01:33.660]  我們在這裡卻彼此稱為弟兄姊妹
[00:01:33.660 --> 00:01:35.700]  稱為一家人
[00:01:35.700 --> 00:01:38.780]  神啊願你真的保守我們這一家人
[00:01:38.780 --> 00:01:40.560]  無論是新朋友
[00:01:40.560 --> 00:01:41.840]  還是老朋友
[00:01:41.840 --> 00:01:44.140]  都可以在你的話語裡頭
[00:01:44.140 --> 00:01:45.440]  得著你的牧養
[00:01:45.440 --> 00:01:46.960]  得著你的造就
[00:01:46.960 --> 00:01:51.320]  也可以享受這一份敬拜和侍奉的時間
[00:01:51.320 --> 00:01:54.140]  讓我們彼此在這裡彼此的侍奉
[00:01:54.140 --> 00:01:56.440]  彼此可以來高歌
[00:01:56.700 --> 00:01:57.720]  來讚美你
[00:01:57.720 --> 00:01:58.760]  讓我們心裡
[00:01:58.760 --> 00:02:01.320]  滿有你充滿的喜樂與平安
[00:02:01.320 --> 00:02:03.100]  願我們今天
[00:02:03.100 --> 00:02:05.160]  各個弟兄姊妹的款待
[00:02:05.160 --> 00:02:06.940]  都成為一個橋樑
[00:02:06.940 --> 00:02:12.840]  讓很多新的朋友在這裡感受到你赐下的榮美和溫暖
[00:02:12.840 --> 00:02:13.860]  和愛
[00:02:13.860 --> 00:02:17.700]  我們這樣仰望交托奉祖耶穌得勝的民囚
[00:02:17.700 --> 00:02:18.460]  Amen
[00:02:18.460 --> 00:02:23.340]  所以剛剛這段經文會不會很熟啊
[00:02:23.340 --> 00:02:26.400]  熟得不得了的熟啊
[00:02:26.660 --> 00:02:28.720]  好所以就很難講
[00:02:28.720 --> 00:02:32.040]  越是熟的經文越是難講啊
[00:02:32.040 --> 00:02:37.920]  可能麻煩那個我們的後面的幫我來PPT的操作一下就行了下一頁
[00:02:37.920 --> 00:02:41.520]  我認識一位那個香港牧師呢
[00:02:41.520 --> 00:02:42.280]  他
[00:02:42.280 --> 00:02:44.320]  住在美國加州
[00:02:44.320 --> 00:02:48.160]  有一次呢他帶女兒去看電影
[00:02:48.160 --> 00:02:49.960]  就去買票
[00:02:49.960 --> 00:02:54.060]  買票的地方呢就有一道那個高度線
[00:02:54.060 --> 00:02:56.620]  如果這個小朋友呢
[00:02:56.840 --> 00:02:58.620]  在8歲以下
[00:02:58.620 --> 00:03:01.700]  又不超過那個高度線的話呢
[00:03:01.700 --> 00:03:05.020]  就可以買半價的兒童票
[00:03:05.020 --> 00:03:09.120]  那牧師的女兒呢已經10歲了
[00:03:09.120 --> 00:03:13.480]  但是華人嘛看起來呢個子會小一點啊
[00:03:13.480 --> 00:03:15.260]  年紀會小一點
[00:03:15.260 --> 00:03:17.820]  好像不到8歲的樣子
[00:03:17.820 --> 00:03:21.140]  可惜呢就是
[00:03:21.140 --> 00:03:25.240]  他女兒稍微高了一點點那個高度線
[00:03:26.260 --> 00:03:28.300]  然後呢牧師買了自己的票了
[00:03:28.300 --> 00:03:29.840]  然後呢
[00:03:29.840 --> 00:03:33.420]  順手就把那個女兒頭呢往下壓下一點點
[00:03:33.420 --> 00:03:34.200]  說
[00:03:34.200 --> 00:03:36.500]  再買張兒童票
[00:03:36.500 --> 00:03:39.820]  順手
[00:03:39.820 --> 00:03:42.140]  然後呢他女兒聽見了
[00:03:42.140 --> 00:03:45.200]  很不高興的就望著他說
[00:03:45.200 --> 00:03:46.740]  Daddy
[00:03:46.740 --> 00:03:50.840]  他一下子就驚醒了
[00:03:50.840 --> 00:03:52.880]  他很羞愧
[00:03:52.880 --> 00:03:55.180]  買了一張全家票
[00:03:56.220 --> 00:03:57.760]  後來他跟我分享
[00:03:57.760 --> 00:03:59.040]  他說啊
[00:03:59.040 --> 00:04:01.660]  人的本性要完全改變
[00:04:01.660 --> 00:04:02.940]  真不容易
[00:04:02.940 --> 00:04:05.460]  一不小心呢
