
[00:00:00.000 --> 00:00:01.640]  彼得候書第一章的經文
[00:00:01.640 --> 00:00:04.720]  在當中提到神給我們的應許
[00:00:04.720 --> 00:00:08.160]  但在看經文之前我想先說一件
[00:00:08.160 --> 00:00:10.680]  我想大家都會熟悉的一件事情
[00:00:10.680 --> 00:00:15.160]  就是聖經所說到的十個童女的比喻
[00:00:15.160 --> 00:00:18.200]  《馬太福音》二十五章提到有十個童女
[00:00:18.200 --> 00:00:20.640]  其中五個是聰明的
[00:00:20.640 --> 00:00:23.320]  他們聰明因為他們不單點著燈
[00:00:23.320 --> 00:00:25.160]  也預備好油
[00:00:25.160 --> 00:00:29.440]  當油用盡的時候可以補貼
[00:00:29.440 --> 00:00:32.360]  有另外五個童女是愚拙的
[00:00:32.360 --> 00:00:34.160]  他們沒錯點著燈
[00:00:34.160 --> 00:00:36.800]  但沒有預備油
[00:00:36.800 --> 00:00:39.640]  以致有些時候當油用盡的時候
[00:00:39.640 --> 00:00:41.000]  燈就熄滅
[00:00:41.000 --> 00:00:43.760]  不再能夠照耀出來
[00:00:43.760 --> 00:00:46.720]  當我們等待新郎來到的時候
[00:00:46.720 --> 00:00:48.600]  新郎延遲了
[00:00:48.600 --> 00:00:51.720]  聖經就說有一些人就開始打盹
[00:00:51.720 --> 00:00:53.760]  開始睡覺
[00:00:53.760 --> 00:00:55.840]  突然半夜的時候有人告訴他們
[00:00:55.840 --> 00:00:58.280]  新郎來了
[00:00:58.280 --> 00:01:02.800]  愚拙的童女就發覺自己的燈開始熄滅了
[00:01:02.800 --> 00:01:04.640]  但沒有預備油
[00:01:04.640 --> 00:01:09.120]  所以他們就想向那些有油的人借用
[00:01:09.120 --> 00:01:12.120]  但對方說對不起我們不足夠給你
[00:01:12.120 --> 00:01:14.960]  所以他們就去買油
[00:01:14.960 --> 00:01:17.800]  在這段時間新郎回來了
[00:01:17.800 --> 00:01:20.840]  因此他迎接這五個聰明的童女
[00:01:20.840 --> 00:01:24.280]  去到房子 去到屋子裏面
[00:01:24.280 --> 00:01:26.760]  在這時候就關上門
[00:01:26.760 --> 00:01:29.800]  聖經就說五個愚拙的童女回來之後
[00:01:29.800 --> 00:01:33.480]  發覺新郎已經進入了屋子
[00:01:33.480 --> 00:01:36.040]  所以他們就敲門想進去
[00:01:36.040 --> 00:01:41.520]  但有一句令我們很難過的話
[00:01:41.520 --> 00:01:45.360]  新郎就說:我實實在在告訴你們
[00:01:45.360 --> 00:01:50.320]  我並不認識你們
[00:01:50.320 --> 00:01:51.920]  這段聖經接著就說
[00:01:51.920 --> 00:01:54.200]  他說:因此你們要警醒
