
[00:00:00.000 --> 00:00:03.560]  當你想到在今個季我們特別提及到
[00:00:03.560 --> 00:00:05.560]  「循一向主」的心
[00:00:05.560 --> 00:00:08.200]  我就很自然就想起一件事情
[00:00:08.200 --> 00:00:11.840]  在過去也偶爾聽到一些香港的家庭
[00:00:11.840 --> 00:00:14.480]  一些婚姻的問題
[00:00:14.480 --> 00:00:16.880]  其中有一個家庭一位男士
[00:00:16.880 --> 00:00:18.640]  他因為工作比較繁忙
[00:00:18.640 --> 00:00:21.440]  很多時候入了中國內地公幹
[00:00:21.440 --> 00:00:23.120]  但事業發展得很好
[00:00:23.120 --> 00:00:24.760]  有很多的成就
[00:00:24.760 --> 00:00:28.120]  但因為太忙碌很少時間給家人
[00:00:28.120 --> 00:00:31.160]  慢慢他在內地認識了很多朋友
[00:00:31.160 --> 00:00:33.160]  亦認識了一些當地的女士
[00:00:33.160 --> 00:00:35.000]  後來亦不知不覺
[00:00:35.000 --> 00:00:37.240]  陷入一些陷阱裏面
[00:00:37.240 --> 00:00:39.840]  他就在裏面收了一個二奶
[00:00:39.840 --> 00:00:43.120]  在過程裏面太太初初不知道
[00:00:43.120 --> 00:00:46.600]  但很快就發現了
[00:00:46.600 --> 00:00:50.520]  發現了一直和這個先生爭論的時候
[00:00:50.520 --> 00:00:53.320]  這位丈夫就直認不諱
[00:00:53.320 --> 00:00:55.320]  「是呀,我有一個二奶」
[00:00:55.320 --> 00:00:58.000]  然後他就跟太太說
[00:00:58.000 --> 00:01:02.560]  「不要緊,不如叫她出來」
[00:01:02.560 --> 00:01:04.560]  「在香港一起住」
[00:01:04.560 --> 00:01:06.840]  「你們兩個做姊妹」
[00:01:06.840 --> 00:01:08.840]  「我對你們一樣好」
[00:01:08.840 --> 00:01:11.680]  「不會有甚麼少了對你們的供應」
[00:01:11.680 --> 00:01:14.640]  「放心,大家和和氣氣還開心」
[00:01:14.640 --> 00:01:19.600]  就一直要求太太接納二奶
[00:01:19.600 --> 00:01:22.400]  入住香港自己的地方
[00:01:22.400 --> 00:01:25.200]  聽到這些事情的時候
[00:01:25.200 --> 00:01:29.680]  大家可能都覺得好像有些耳熟能詳的情況
[00:01:29.680 --> 00:01:32.360]  但事實上有太多人都會覺得
[00:01:32.360 --> 00:01:34.480]  沒有問題,婚姻的事情
[00:01:34.480 --> 00:01:36.480]  如果大家接受到,很好的
[00:01:36.480 --> 00:01:39.240]  不需要做甚麼很痛苦的抉擇
[00:01:39.240 --> 00:01:42.120]  就可以在一起
[00:01:42.120 --> 00:01:44.600]  我就想回到我們每一個人
[00:01:44.600 --> 00:01:45.880]  當我們信主的時候
[00:01:45.880 --> 00:01:47.880]  都會記得一件事情
[00:01:47.880 --> 00:01:49.800]  當主耶穌拯救我們的時候
[00:01:49.800 --> 00:01:52.840]  是把救恩賜給我們
[00:01:52.840 --> 00:01:56.680]  但這份救恩是一個關係
[00:01:56.680 --> 00:02:00.200]  是上帝讓我們成為祂的子民
[00:02:00.200 --> 00:02:02.800]  祂成為我們的神
[00:02:02.800 --> 00:02:04.240]  因此當我們很多時候
[00:02:04.240 --> 00:02:05.360]  我們領聖餐的時候
[00:02:05.360 --> 00:02:08.440]  你會記得我們上上講到主耶穌說
[00:02:08.440 --> 00:02:16.600]  這個杯是用我的血所納的新藥
[00:02:16.600 --> 00:02:19.680]  我們和主是一個藥的關係
[00:02:19.680 --> 00:02:21.120]  是主祂犧牲自己
[00:02:21.120 --> 00:02:24.800]  傳言毀身在我們的身上
[00:02:24.800 --> 00:02:26.800]  成為我們的神
[00:02:26.800 --> 00:02:28.160]  但同樣這個藥
[00:02:28.160 --> 00:02:32.760]  是期望我們都傳言毀身給祂
[00:02:32.760 --> 00:02:35.360]  因此你會發覺聖經裏面不斷強調
[00:02:35.360 --> 00:02:37.720]  我們是屬於神
[00:02:37.720 --> 00:02:39.680]  神是屬於我們
[00:02:39.680 --> 00:02:43.520]  那種互相納藥毀身的關係
[00:02:43.520 --> 00:02:48.480]  這種關係是不容許第三者的
[00:02:48.480 --> 00:02:52.000]  正因為那種絕對的忠誠
[00:02:52.000 --> 00:02:58.120]  讓我們得到那份最完全的恩惠和拯救
[00:02:58.120 --> 00:03:01.160]  但當然在基督徒很多人生的體驗裏面
[00:03:01.160 --> 00:03:03.000]  有些時候都會察覺到
[00:03:03.000 --> 00:03:05.520]  到處都有很多衝擊
[00:03:05.520 --> 00:03:10.680]  有些時候會有其他事或人向你招手
[00:03:10.680 --> 00:03:14.720]  要進入來佔一些位置
[00:03:14.720 --> 00:03:19.760]  甚至和你心裏面的主爭持這個位置
[00:03:19.760 --> 00:03:24.000]  有些時候見到有人會軟弱
[00:03:24.000 --> 00:03:27.400]  會因此失去對主的忠誠
[00:03:27.400 --> 00:03:30.640]  甚至被這個世界吸住
[00:03:30.640 --> 00:03:33.040]  當我們想到這些情況的時候
[00:03:33.040 --> 00:03:35.160]  我們每一個跟隨主的人
[00:03:35.160 --> 00:03:37.920]  需要常常警覺
[00:03:37.920 --> 00:03:42.280]  要救自己脫離這種試探
[00:03:42.280 --> 00:03:46.920]  讓自己一生可以單單屬於主
[00:03:46.920 --> 00:03:49.880]  今次我們讀到聖經在舊約英段經文
[00:03:49.880 --> 00:03:52.360]  大家知道當時的事跡
[00:03:52.360 --> 00:03:55.000]  就是一位以利亞先知
[00:03:55.000 --> 00:03:58.720]  他奉神的命令來告訴以色列人
[00:03:58.720 --> 00:04:02.280]  你們要轉離開巴黎
[00:04:02.280 --> 00:04:05.400]  在大家剛才讀的十八章之前
[00:04:05.400 --> 00:04:09.280]  曾經提及過一位以利亞先知
[00:04:09.280 --> 00:04:12.880]  向當時的以色列王阿哈說
[00:04:12.880 --> 00:04:14.880]  如果我不祈禱
[00:04:14.880 --> 00:04:17.640]  天不會再下雨
[00:04:17.640 --> 00:04:18.800]  其實向他們表達出
[00:04:18.800 --> 00:04:21.920]  就是神要管教他們
[00:04:21.920 --> 00:04:23.680]  但他們在一段時間
[00:04:23.680 --> 00:04:25.040]  三年多的日子
[00:04:25.040 --> 00:04:27.640]  他們不願意來回轉
