
[00:00:00.000 --> 00:00:06.000]  剛才兩位親愛的青年的弟兄
[00:00:06.000 --> 00:00:11.000]  向我們做的報告非常的寶貴
[00:00:11.000 --> 00:00:18.000]  平常的普通的變成不平常的普通的
[00:00:18.000 --> 00:00:21.000]  神的恩典作為就是這樣
[00:00:21.000 --> 00:00:24.000]  我們都是平常普通人
[00:00:24.000 --> 00:00:29.000]  但是神能夠使我們成為天賦的兒女
[00:00:29.000 --> 00:00:31.000]  成為分別為聖的人
[00:00:31.000 --> 00:00:33.000]  成為愛主的人
[00:00:33.000 --> 00:00:36.000]  成為陶祖許願的人
[00:00:36.000 --> 00:00:38.000]  成為見證他的人
[00:00:38.000 --> 00:00:41.000]  不普通不平常
[00:00:41.000 --> 00:00:44.000]  我們每個人都有這個可能性
[00:00:44.000 --> 00:00:47.000]  神的恩典的手伸出來
[00:00:47.000 --> 00:00:50.000]  在每個人的生命中工作
[00:00:50.000 --> 00:00:54.000]  把我們從普通變成特別
[00:00:54.000 --> 00:00:56.000]  每個人都可以做特別的人
[00:00:56.000 --> 00:00:58.000]  感謝主
[00:00:58.000 --> 00:01:00.000]  我們的敬拜
[00:01:00.000 --> 00:01:03.000]  如果就是循例
[00:01:03.000 --> 00:01:05.000]  那是普通
[00:01:05.000 --> 00:01:08.000]  什麼時候我們的靈得了釋放
[00:01:08.000 --> 00:01:11.000]  我們用靈來敬拜
[00:01:11.000 --> 00:01:13.000]  不普通啊
[00:01:13.000 --> 00:01:17.000]  我們的禱告原來例行公事
[00:01:17.000 --> 00:01:19.000]  就聽別人禱告
[00:01:19.000 --> 00:01:20.000]  別人替我禱告
[00:01:20.000 --> 00:01:22.000]  有很多人自己不禱告
[00:01:22.000 --> 00:01:23.000]  到教會裡來
[00:01:23.000 --> 00:01:25.000]  別人替他禱告
[00:01:25.000 --> 00:01:27.000]  回到家又不禱告
[00:01:27.000 --> 00:01:30.000]  這樣的一個普通的禱告
[00:01:30.000 --> 00:01:34.000]  如果我們的靈被釋放
[00:01:34.000 --> 00:01:38.000]  就變成了一個靈裡面的禱告
[00:01:38.000 --> 00:01:40.000]  把我們舉起來
[00:01:40.000 --> 00:01:43.000]  就把主舉起來
[00:01:43.000 --> 00:01:46.000]  特別的禱告
[00:01:46.000 --> 00:01:49.000]  有個人講到例行公事
[00:01:49.000 --> 00:01:52.000]  就是把聖經的話
[00:01:52.000 --> 00:01:56.000]  來這樣的不經過靈傳達出來
[00:01:56.000 --> 00:01:59.000]  普通的聽了等於沒有聽
[00:01:59.000 --> 00:02:01.000]  講了等於沒有講
[00:02:01.000 --> 00:02:06.000]  但是當我們的靈被釋放的時候
[00:02:06.000 --> 00:02:09.000]  順靈通過我們的靈
[00:02:09.000 --> 00:02:12.000]  把神的話就是靈
[00:02:12.000 --> 00:02:13.000]  生命的那個話
[00:02:13.000 --> 00:02:15.000]  釋放出來
[00:02:15.000 --> 00:02:17.000]  就特別不普通
[00:02:17.000 --> 00:02:19.000]  有能力有作用
[00:02:19.000 --> 00:02:21.000]  能夠得到人心
[00:02:21.000 --> 00:02:23.000]  歸向他
[00:02:23.000 --> 00:02:26.000]  所以今天我們在主的面前
[00:02:26.000 --> 00:02:28.000]  我們的敬拜
[00:02:28.000 --> 00:02:29.000]  我們的歌唱
[00:02:29.000 --> 00:02:30.000]  我們的禱告
[00:02:30.000 --> 00:02:32.000]  我們的講道
[00:02:32.000 --> 00:02:33.000]  我們的聽道
[00:02:33.000 --> 00:02:38.000]  求神把我們的靈釋放
[00:02:38.000 --> 00:02:39.000]  打開
[00:02:39.000 --> 00:02:42.000]  一起向著神
[00:02:42.000 --> 00:02:45.000]  When we open up ourselves to God
[00:02:45.000 --> 00:02:47.000]  God will respond
[00:02:47.000 --> 00:02:49.000]  這是祂的引起
[00:02:49.000 --> 00:02:50.000]  我們的把握
[00:02:50.000 --> 00:02:55.000]  我們確知的事情
[00:02:55.000 --> 00:02:58.000]  今天早上我要依靠主
[00:02:58.000 --> 00:03:00.000]  做一件不容易做的事
[00:03:00.000 --> 00:03:06.000]  就是把沒有講的完全講完
[00:03:06.000 --> 00:03:09.000]  那麼你們聽見可能害怕了
[00:03:09.000 --> 00:03:13.000]  講到你們沒有吃午餐的時間了
[00:03:13.000 --> 00:03:15.000]  但是求主幫助
[00:03:15.000 --> 00:03:18.000]  我把濃素
[00:03:18.000 --> 00:03:20.000]  濃素呢
[00:03:20.000 --> 00:03:21.000]  講容易
[00:03:21.000 --> 00:03:24.000]  聽不容易
[00:03:24.000 --> 00:03:28.000]  因為每一點缺少發揮解釋的時候
[00:03:28.000 --> 00:03:31.000]  聽起來不容易領受
[00:03:31.000 --> 00:03:33.000]  但是有一個辦法
[00:03:33.000 --> 00:03:35.000]  如果你集中精神來聽
[00:03:35.000 --> 00:03:38.000]  可以聽得清楚
[00:03:38.000 --> 00:03:39.000]  可以領受
[00:03:39.000 --> 00:03:41.000]  可以得到
[00:03:41.000 --> 00:03:44.000]  所以你看我們去拿藥的時候
[00:03:44.000 --> 00:03:48.000]  這是一個concentrated medicine
[00:03:48.000 --> 00:03:50.000]  那表示量很小
[00:03:50.000 --> 00:03:52.000]  作用很大
[00:03:52.000 --> 00:03:54.000]  我們如果注意
[00:03:54.000 --> 00:03:56.000]  我們的注意集中了
[00:03:56.000 --> 00:03:58.000]  我們的領受
[00:03:58.000 --> 00:03:59.000]  那個量
[00:03:59.000 --> 00:04:02.000]  領受量也可以增加
[00:04:02.000 --> 00:04:03.000]  擴充
[00:04:03.000 --> 00:04:05.000]  我們在主的面前靠著主
[00:04:05.000 --> 00:04:09.000]  今天來一同做這件事
[00:04:09.000 --> 00:04:12.000]  我們來到第八個律
[00:04:12.000 --> 00:04:16.000]  得實律
[00:04:16.000 --> 00:04:18.000]  意思就是說
[00:04:18.000 --> 00:04:21.000]  我們為主所失去的
[00:04:21.000 --> 00:04:23.000]  所放下的
[00:04:23.000 --> 00:04:25.000]  所捨去的
[00:04:25.000 --> 00:04:29.000]  都變成我們的獲得
[00:04:29.000 --> 00:04:31.000]  好像是尋世
[00:04:31.000 --> 00:04:35.000]  事實上是得著
[00:04:35.000 --> 00:04:37.000]  我們要看聖經裡面
[00:04:37.000 --> 00:04:39.000]  好多好多地方
[00:04:39.000 --> 00:04:42.000]  都是把這個真理
[00:04:42.000 --> 00:04:45.000]  重複地告訴我們
[00:04:45.000 --> 00:04:48.000]  讓我們能夠領受
[00:04:48.000 --> 00:04:51.000]  我們很簡單地提出
[00:04:51.000 --> 00:04:53.000]  幾個例子來
[00:04:53.000 --> 00:04:55.000]  我們不把所有的
[00:04:55.000 --> 00:04:58.000]  講義裡面的章節都看
[00:04:58.000 --> 00:05:03.000]  我們只提出來一兩點
[00:05:03.000 --> 00:05:06.000]  我們先注意第四點
[00:05:06.000 --> 00:05:08.000]  在收割上
[00:05:08.000 --> 00:05:10.000]  確實如此
[00:05:10.000 --> 00:05:12.000]  十篇一百二十六篇
[00:05:12.000 --> 00:05:14.000]  五節六節
[00:05:14.000 --> 00:05:16.000]  因為很熟悉了
[00:05:16.000 --> 00:05:19.000]  我們不必打開聖經來讀了
[00:05:19.000 --> 00:05:21.000]  我就把它的內容說出來
[00:05:21.000 --> 00:05:23.000]  流淚殺種的
[00:05:23.000 --> 00:05:26.000]  必歡呼收割
[00:05:26.000 --> 00:05:28.000]  你看
[00:05:28.000 --> 00:05:30.000]  殺種的人
[00:05:30.000 --> 00:05:32.000]  他付代價
[00:05:32.000 --> 00:05:34.000]  流淚
[00:05:34.000 --> 00:05:37.000]  他要把寶貴的種子
[00:05:37.000 --> 00:05:39.000]  殺在地下
[00:05:39.000 --> 00:05:40.000]  原來他的倉庫
[00:05:40.000 --> 00:05:42.000]  很多種子很滿
[00:05:42.000 --> 00:05:43.000]  但是呢
[00:05:43.000 --> 00:05:44.000]  要把這些種子
[00:05:44.000 --> 00:05:46.000]  殺在地下埋藏
[00:05:46.000 --> 00:05:48.000]  看不見了
[00:05:48.000 --> 00:05:50.000]  好像失去了
[00:05:50.000 --> 00:05:51.000]  而且工作的時候
[00:05:51.000 --> 00:05:56.000]  在炎熱的陽光之下
[00:05:56.000 --> 00:05:58.000]  有的是在不好的天氣之下
[00:05:58.000 --> 00:05:59.000]  風雨之中
[00:05:59.000 --> 00:06:01.000]  來勞苦工作
[00:06:01.000 --> 00:06:02.000]  付代價
[00:06:02.000 --> 00:06:05.000]  甚至要流淚
[00:06:05.000 --> 00:06:06.000]  但是有一天
[00:06:06.000 --> 00:06:08.000]  他說殺下去的
[00:06:08.000 --> 00:06:10.000]  好像是失去的
