
[00:00:00.000 --> 00:00:04.500]  我們今天一起思想的是一個知足的題目
[00:00:04.500 --> 00:00:08.100]  「知足才能思語」
[00:00:08.100 --> 00:00:11.140]  剛剛前兩天有一位弟兄跟我聊天的時候
[00:00:11.140 --> 00:00:13.140]  就提及一件事情
[00:00:13.140 --> 00:00:15.860]  在幾年之前就有一個報道聚會
[00:00:15.860 --> 00:00:20.420]  當中有一位患癌症的姐妹來分享見證
[00:00:20.420 --> 00:00:23.660]  這位姐妹當時說到她自己雖然是癌症
[00:00:23.660 --> 00:00:25.160]  但是神給她恩典
[00:00:25.160 --> 00:00:29.220]  她很歡喜去探望、關心很多其他的病友
[00:00:29.220 --> 00:00:31.420]  雖然她自己的生命很短促
[00:00:31.420 --> 00:00:34.700]  她的精神力量很少、很缺乏
[00:00:34.700 --> 00:00:36.860]  但是她心裡有一種力量
[00:00:36.860 --> 00:00:39.300]  她仍然可以很平安、很喜樂
[00:00:39.300 --> 00:00:43.940]  很快樂地來關心她身邊的病友、朋友
[00:00:43.940 --> 00:00:46.780]  當我聽弟兄講述這件事的時候
[00:00:46.780 --> 00:00:51.900]  我心裡突然間再次體會到什麼是知足
[00:00:51.900 --> 00:00:54.900]  知足不單止是有經濟的情況
[00:00:54.900 --> 00:00:56.580]  或者是足夠或者不足夠
[00:00:56.580 --> 00:00:59.900]  但是內心覺得知足、感恩
[00:00:59.900 --> 00:01:01.220]  同樣可能你的生活
[00:01:01.220 --> 00:01:04.980]  有些時候你的健康你覺得不足夠
[00:01:04.980 --> 00:01:08.420]  你的體力、你的精神力量不足夠
[00:01:08.420 --> 00:01:12.380]  但是知道是神所容許、神所賜予的
[00:01:12.380 --> 00:01:14.300]  因此仍然在不足當中
[00:01:14.300 --> 00:01:18.700]  付出時間、精神去關心別人
[00:01:18.700 --> 00:01:21.060]  跟別人分享你所有的
[00:01:21.060 --> 00:01:24.860]  那是另一種知足所產生的力量
[00:01:24.860 --> 00:01:28.340]  而可以去施予、去付出
[00:01:28.340 --> 00:01:31.380]  各位弟兄姊妹在人生裡有很多不同的經歷
[00:01:31.380 --> 00:01:32.340]  但在神上上
[00:01:32.340 --> 00:01:36.140]  歡迎我們帶著知足的心來跟隨祂
[00:01:36.140 --> 00:01:38.660]  因此今天我們思想知足
[00:01:38.660 --> 00:01:40.460]  思想敬虔
[00:01:40.460 --> 00:01:42.900]  思想到怎樣能夠施予
[00:01:42.900 --> 00:01:45.140]  這三方面之間的關係
[00:01:45.140 --> 00:01:47.060]  我們大家一起來去思想
[00:01:47.060 --> 00:01:51.380]  大家一起先看聖經的第六章
[00:01:51.380 --> 00:01:53.940]  首先我們思想就是聖經提及敬虔
[00:01:53.940 --> 00:01:57.900]  加上知足就是大的利益
[00:01:57.900 --> 00:02:01.060]  在提摩大前書第六章第三節
[00:02:01.060 --> 00:02:04.500]  提到一群當時傳異教的人
[00:02:04.500 --> 00:02:06.420]  他們所說的道理
[00:02:06.420 --> 00:02:10.820]  跟聖經敬虔的道理是不相符合的
[00:02:10.820 --> 00:02:14.140]  在第五節又提及到他們有一些表面的敬虔
[00:02:14.140 --> 00:02:17.300]  作為一些得取利益的門路
[00:02:17.300 --> 00:02:19.340]  在第五節最後說
[00:02:19.340 --> 00:02:23.340]  他們以敬虔為得利的門路
[00:02:23.340 --> 00:02:25.540]  因此保羅提醒信徒
[00:02:25.540 --> 00:02:27.220]  要小心
[00:02:27.220 --> 00:02:28.780]  在第六節說
[00:02:28.780 --> 00:02:32.860]  然而敬虔加上知足的心
[00:02:32.860 --> 00:02:35.380]  便是最大的利益
[00:02:35.380 --> 00:02:38.020]  就是最大的利益
[00:02:38.020 --> 00:02:39.220]  當保羅這樣說的時候
[00:02:39.220 --> 00:02:41.420]  其實他不單是說一些理念
[00:02:41.420 --> 00:02:44.180]  他自己生命的榜樣就是這樣
[00:02:44.180 --> 00:02:45.100]  我請大家這個時候
[00:02:45.100 --> 00:02:51.660]  我們揭開前面的菲律賓書第四章
[00:02:51.660 --> 00:02:56.540]  前面第四章聖經219頁
[00:02:56.540 --> 00:03:00.900]  在第十一節開始
[00:03:00.900 --> 00:03:02.460]  保羅說
[00:03:02.460 --> 00:03:04.860]  「我並不是因缺乏」
[00:03:04.860 --> 00:03:06.500]  說者說
[00:03:06.500 --> 00:03:10.260]  「我無論在什麼境況都可以知足」
[00:03:10.260 --> 00:03:12.940]  「這事我已經學會了」
[00:03:12.940 --> 00:03:14.860]  「我知道怎樣處悲戰」
[00:03:14.860 --> 00:03:16.980]  「也知道怎樣處豐富」
[00:03:16.980 --> 00:03:18.740]  「或飽足或飢餓」
[00:03:18.740 --> 00:03:20.900]  「或有餘或缺乏」
[00:03:20.900 --> 00:03:24.460]  「隨是隨在我都得了秘訣」
[00:03:24.460 --> 00:03:29.580]  「我靠著那加給我力量的凡事都能做」
[00:03:29.580 --> 00:03:33.300]  保羅提及他在無論不同的什麼境況裡面
[00:03:33.300 --> 00:03:35.100]  他都可以知足
[00:03:35.100 --> 00:03:35.980]  但這個知足
[00:03:35.980 --> 00:03:39.340]  他不是說一開始的時候他已經有了
[00:03:39.340 --> 00:03:41.540]  他是學會了
[00:03:41.540 --> 00:03:43.900]  意味著他一開始不懂得知足
[00:03:43.900 --> 00:03:46.980]  但後來一步一步去明白
[00:03:46.980 --> 00:03:49.620]  認識什麼是知足
[00:03:49.620 --> 00:03:50.620]  你要發覺很多時候
[00:03:50.620 --> 00:03:52.700]  神在人生不同的階段裡面
[00:03:52.700 --> 00:03:55.420]  讓我們經歷某些缺乏
[00:03:55.420 --> 00:03:58.820]  可能經濟某一段時間很緊張
[00:03:58.820 --> 00:04:00.620]  經濟有困難
[00:04:00.620 --> 00:04:02.340]  又或者某一個階段
[00:04:02.340 --> 00:04:06.420]  身體或者是很多其他方面的資源
[00:04:06.420 --> 00:04:09.660]  不足夠有缺乏、有困難
[00:04:09.660 --> 00:04:10.700]  但在那些階段裡面
[00:04:10.700 --> 00:04:13.300]  神讓我們去經驗這些不足
[00:04:13.300 --> 00:04:15.660]  而更加知道去依靠祂
[00:04:15.660 --> 00:04:20.140]  因此學懂了知足
[00:04:20.140 --> 00:04:24.140]  透過困難、透過不足而學懂知足
[00:04:24.140 --> 00:04:26.700]  這是很多人的經歷
[00:04:26.700 --> 00:04:28.380]  我想問一位朋友
[00:04:28.380 --> 00:04:29.900]  他自己在北美生活
[00:04:29.900 --> 00:04:33.180]  很豐富的環境、富裕的環境
[00:04:33.180 --> 00:04:38.940]  後來他有機會在北極的地方住了六個月
[00:04:38.940 --> 00:04:42.460]  北極大家知道環境是冰天雪地
[00:04:42.460 --> 00:04:43.740]  沒有什麼特別的娛樂
[00:04:43.740 --> 00:04:46.180]  沒有什麼可以特別買到
[00:04:46.180 --> 00:04:47.980]  在那個環境住了六個月之後
[00:04:47.980 --> 00:04:50.060]  出來有人問他
[00:04:50.060 --> 00:04:52.660]  你的經歷是怎樣的?
