
[00:00:00.000 --> 00:00:04.800]  透過約翰福音16:16-33的經文
[00:00:04.800 --> 00:00:09.480]  讓我們思想耶穌如何教導我們祈禱
[00:00:09.480 --> 00:00:14.920]  我們存著什麼態度向耶穌有一個禱告
[00:00:14.920 --> 00:00:20.640]  在約翰福音16:16-19
[00:00:20.640 --> 00:00:21.720]  說
[00:00:21.720 --> 00:00:24.200]  「等不多時,你們就不得見我;
[00:00:24.200 --> 00:00:26.800]  再等不多時,你們還要見我。
[00:00:26.800 --> 00:00:30.160]  有幾個門徒就彼此說:
[00:00:30.160 --> 00:00:32.560]  等不多時,你們就不得見我;
[00:00:32.560 --> 00:00:35.200]  再等不多時,你們還要見我。
[00:00:35.200 --> 00:00:39.160]  又說:因我往腐乸裡去,這是什麼意思?
[00:00:39.160 --> 00:00:40.600]  門徒彼此說:
[00:00:40.600 --> 00:00:43.440]  等不多時,你們就不得見我;
[00:00:43.440 --> 00:00:45.600]  再等不多時,你們還要見我。
[00:00:45.600 --> 00:00:49.560]  耶穌看出他們要問他,就說:
[00:00:49.560 --> 00:00:52.400]  我說等不多時,你們就不得見我;
[00:00:52.400 --> 00:00:55.040]  再等不多時,你們還要見我。
[00:00:55.040 --> 00:00:57.920]  你們畏者說彼此相問嗎?」
[00:00:57.920 --> 00:00:59.760]  在約翰福音裡面
[00:00:59.760 --> 00:01:01.720]  這幾章的聖經
[00:01:01.720 --> 00:01:05.040]  說到耶穌知道快要被釘十字架了
[00:01:05.040 --> 00:01:07.120]  他要離開一幫門徒了
[00:01:07.120 --> 00:01:11.360]  一幫門徒跟隨了他幾年的時間
[00:01:11.360 --> 00:01:15.360]  其實一幫門徒不是很清楚知道
[00:01:15.360 --> 00:01:18.040]  耶穌究竟是誰
[00:01:18.040 --> 00:01:19.560]  他的身份是誰
[00:01:19.560 --> 00:01:21.720]  他的使命是什麼
[00:01:21.720 --> 00:01:23.160]  他們跟著耶穌
[00:01:23.160 --> 00:01:26.400]  每個人都有不同的目的
[00:01:26.400 --> 00:01:29.040]  或者每個人都有不同的動機
[00:01:29.040 --> 00:01:30.680]  但是耶穌在這裡
[00:01:30.680 --> 00:01:34.040]  他自己知道將要被釘十字架了
[00:01:34.040 --> 00:01:36.640]  他知道這幫門徒
[00:01:36.640 --> 00:01:38.640]  當他離開之後
[00:01:38.640 --> 00:01:41.680]  他們會有一陣子的
[00:01:41.680 --> 00:01:44.080]  可以說心情很忐忑
[00:01:44.080 --> 00:01:45.600]  也有不安
[00:01:45.600 --> 00:01:49.800]  他們將要面對很多很多的衝擊
[00:01:49.800 --> 00:01:51.200]  就在這個時候
[00:01:51.200 --> 00:01:54.160]  耶穌逐步的顯露
[00:01:54.160 --> 00:01:55.560]  顯示給他們知道
[00:01:55.560 --> 00:01:57.280]  究竟他是誰
[00:01:57.280 --> 00:01:59.640]  還有他來到地上
[00:01:59.640 --> 00:02:03.480]  究竟他要做些什麼的使命
[00:02:03.480 --> 00:02:07.000]  在這一節的經文裡面
[00:02:07.000 --> 00:02:08.320]  在這幾節的經文裡面
[00:02:08.320 --> 00:02:09.400]  耶穌揭露了
[00:02:09.400 --> 00:02:13.160]  他說自己上十字架的情況
[00:02:13.160 --> 00:02:16.480]  在這裡說「等不多時你們就不見我」
[00:02:16.480 --> 00:02:17.680]  意思就是說
[00:02:17.680 --> 00:02:22.160]  耶穌就要被釘上十字架了
[00:02:22.160 --> 00:02:23.760]  就要被釘十字架
[00:02:23.760 --> 00:02:24.960]  在那一刻裡面
[00:02:24.960 --> 00:02:26.680]  你們見不到我
[00:02:26.680 --> 00:02:29.280]  但是再等一會的時候
[00:02:29.280 --> 00:02:30.720]  你會再見到我
[00:02:30.720 --> 00:02:34.440]  是說到耶穌會從死裡面去復活
[00:02:34.440 --> 00:02:38.960]  所以耶穌是透過這幾節的說話
[00:02:38.960 --> 00:02:40.800]  可以說一段短短的說話
[00:02:40.800 --> 00:02:42.400]  告訴一幫門徒知道
[00:02:42.400 --> 00:02:46.280]  暗示我現在被釘十字架的時候到了
[00:02:46.280 --> 00:02:48.000]  到時你們會見不到我
[00:02:48.000 --> 00:02:49.240]  一段很短的時間
[00:02:49.240 --> 00:02:51.360]  但是我從三天後
[00:02:51.360 --> 00:02:52.840]  我從死裡面去復活
[00:02:52.840 --> 00:02:54.480]  我會再向你們顯現
[00:02:54.480 --> 00:02:56.920]  你們會再一次的去見到我
[00:02:56.920 --> 00:02:57.880]  在這裡
[00:02:57.880 --> 00:03:00.920]  耶穌很暗示的可以說
[00:03:00.920 --> 00:03:05.080]  逐步去將他自己被釘十字架的事實
[00:03:05.080 --> 00:03:07.360]  向門徒去解釋出來
[00:03:07.360 --> 00:03:11.000]  接著在20~22節
[00:03:11.000 --> 00:03:13.280]  耶穌繼續的去說
[00:03:13.280 --> 00:03:16.400]  當他被釘十字架這件事之後
[00:03:16.400 --> 00:03:20.240]  究竟不同的人有什麼反應呢?
[00:03:20.240 --> 00:03:22.360]  在20~22節
[00:03:22.360 --> 00:03:24.160]  我實實在在的告訴你們
[00:03:24.160 --> 00:03:25.840]  你們將要痛哭
[00:03:25.840 --> 00:03:26.600]  哀號
[00:03:26.600 --> 00:03:28.600]  世人都要喜樂
[00:03:28.600 --> 00:03:30.200]  你們將要憂愁
[00:03:30.200 --> 00:03:33.240]  然而你們的憂愁要變為喜樂
[00:03:33.240 --> 00:03:36.000]  婦人生產的時候就要憂愁
[00:03:36.000 --> 00:03:37.920]  因為她的時候到了
[00:03:37.920 --> 00:03:39.120]  既生了孩子
[00:03:39.120 --> 00:03:41.160]  就不再記念那苦楚
[00:03:41.160 --> 00:03:44.960]  因為歡喜世上生了一個人
[00:03:44.960 --> 00:03:46.720]  你們現在也是憂愁
[00:03:46.720 --> 00:03:48.680]  但我要再見你們
[00:03:48.680 --> 00:03:50.560]  你們的心就喜樂了
[00:03:50.560 --> 00:03:53.760]  這喜樂也沒有人能奪去
[00:03:53.760 --> 00:03:55.680]  耶穌去說出
[00:03:55.680 --> 00:03:58.280]  他被釘十字架這個事實
[00:03:58.280 --> 00:04:00.960]  不同人是有不同的反應
[00:04:00.960 --> 00:04:03.360]  一幫跟從耶穌的人
[00:04:03.360 --> 00:04:05.080]  是會憂愁
[00:04:05.080 --> 00:04:06.640]  為什麼會憂愁呢?
[00:04:06.640 --> 00:04:11.560]  是因為他們跟從耶穌的那一個動機
[00:04:11.560 --> 00:04:12.760]  其實不正確
[00:04:12.760 --> 00:04:15.440]  我想大家在不同的廣語裡面
