
[00:00:00.000 --> 00:00:04.880]  今天的經文是記載在《約翰福音》第十章一至二十一節
[00:00:04.880 --> 00:00:08.480]  整個第十章內容的基礎在第九章
[00:00:08.480 --> 00:00:14.080]  第九章是說到耶穌醫治了一個生來是黑眼的一個人
[00:00:14.080 --> 00:00:19.120]  當這個人在第九章的結尾就說到他認耶穌是神的兒子
[00:00:19.120 --> 00:00:22.920]  接著在第十章耶穌就很清楚地說
[00:00:22.920 --> 00:00:27.000]  究竟他作為神的兒子的身份究竟是什麼呢?
[00:00:27.000 --> 00:00:29.600]  他來到的使命又是什麼呢?
[00:00:29.600 --> 00:00:31.840]  在第十章的第二節這樣說
[00:00:31.840 --> 00:00:33.720]  「我實實在在地告訴你們
[00:00:33.720 --> 00:00:36.720]  人進羊圈不從門進去
[00:00:36.720 --> 00:00:38.800]  倒從別處爬進去
[00:00:38.800 --> 00:00:41.000]  乃人就是賊就是強盜
[00:00:41.000 --> 00:00:44.440]  從門進去的就是羊的牧人」
[00:00:44.440 --> 00:00:46.080]  在這裡耶穌一開始說
[00:00:46.080 --> 00:00:48.080]  「我實實在在地告訴你們」
[00:00:48.080 --> 00:00:50.320]  這是一個很嚴肅的慣用語
[00:00:50.320 --> 00:00:54.000]  開啟了之後的一連串的隱喻
[00:00:54.000 --> 00:00:57.920]  這個隱喻是用一個羊人的關係
[00:00:57.920 --> 00:01:03.360]  在當時的社會很常見的一個生活的一個場景
[00:01:03.360 --> 00:01:08.040]  在這裡強調把焦點放在強盜和賊那裡
[00:01:08.040 --> 00:01:11.440]  強化了一個跟牧羊人的關係
[00:01:11.440 --> 00:01:15.320]  這些強盜和賊其實應該是對應在第九章
[00:01:15.320 --> 00:01:17.920]  那些宗教的領袖
[00:01:17.920 --> 00:01:21.760]  一群宗教領袖應該是一個牧羊人的身份
[00:01:21.760 --> 00:01:25.120]  去照顧一群猶太人去認識上帝
[00:01:25.120 --> 00:01:27.000]  但是他們沒有做到這個責任
[00:01:27.000 --> 00:01:30.800]  他們是賊,耶穌形容他們
[00:01:30.800 --> 00:01:32.960]  他們就是為了自己的利益
[00:01:32.960 --> 00:01:36.640]  而去跟這些猶太人有一種關係
[00:01:36.640 --> 00:01:40.800]  而不是真的去作這些猶太人的導師
[00:01:40.800 --> 00:01:42.800]  在這裡也可以說
[00:01:42.800 --> 00:01:45.960]  當時一個家庭也有一些羊
[00:01:45.960 --> 00:01:48.720]  有幾個家庭,羊比較多
[00:01:48.720 --> 00:01:51.280]  他們就放在一個地方
[00:01:51.280 --> 00:01:54.080]  聘請一些牧羊代理人
[00:01:54.080 --> 00:01:57.480]  去照顧那些羊群
[00:01:57.480 --> 00:02:02.640]  在這個羊圈裡也應該有一個看門的人
[00:02:02.640 --> 00:02:06.000]  這裡說有一個看門的人
[00:02:06.000 --> 00:02:12.560]  認出這是一個被孤離的牧羊人
[00:02:12.560 --> 00:02:15.760]  就開門讓他進入羊圈裡
[00:02:15.760 --> 00:02:17.280]  在這裡耶穌說
[00:02:17.280 --> 00:02:21.360]  偷羊的人不會從正門進去
[00:02:21.360 --> 00:02:24.240]  就會從別處爬進去
[00:02:24.240 --> 00:02:28.160]  他們只是希望能夠偷取一些羊
[00:02:28.160 --> 00:02:31.920]  去賣或者吃,為了自己的利益
[00:02:31.920 --> 00:02:34.920]  在第九章裡說到
[00:02:34.920 --> 00:02:40.880]  一群宗教領袖應該聽到耶穌的教訓
[00:02:40.880 --> 00:02:42.680]  應該認出耶穌的身份
[00:02:42.680 --> 00:02:47.640]  但是他們不認耶穌這個彌賽的身份
[00:02:47.640 --> 00:02:53.720]  反而將上帝交給他們的羊趕來會堂
[00:02:53.720 --> 00:02:57.680]  接著耶穌藉著這個比喻
[00:02:57.680 --> 00:03:00.960]  說出自己的身份的內容
[00:03:00.960 --> 00:03:02.760]  第三至第五節說
[00:03:02.760 --> 00:03:05.320]  「開門的就給他開門
[00:03:05.320 --> 00:03:07.080]  羊也聽見他的聲音
[00:03:07.080 --> 00:03:10.000]  他才按著名叫自己的羊
[00:03:10.000 --> 00:03:11.600]  把羊領出來
[00:03:11.600 --> 00:03:16.200]  放出自己的羊來說在前頭走
[00:03:16.200 --> 00:03:17.800]  羊也跟著他走
[00:03:17.800 --> 00:03:20.200]  因為認得他的聲音
[00:03:20.200 --> 00:03:22.040]  羊不跟著山人
[00:03:22.040 --> 00:03:24.200]  因為不認得他的聲音
[00:03:24.200 --> 00:03:25.840]  必要逃跑」
[00:03:25.840 --> 00:03:31.080]  在這裡代理人、牧羊人聘請回來的
[00:03:31.080 --> 00:03:35.960]  他們會站在圍欄的不同地方
[00:03:35.960 --> 00:03:37.760]  發出一些聲音
[00:03:37.760 --> 00:03:41.960]  當牧羊的羊聽到這些聲音
[00:03:41.960 --> 00:03:44.480]  就會去到這些牧羊人那裡
[00:03:44.480 --> 00:03:47.040]  牧羊人就帶著牧羊人出去
[00:03:47.040 --> 00:03:48.960]  找一些草去吃
[00:03:48.960 --> 00:03:51.040]  接著進一步的說
[00:03:51.040 --> 00:03:53.160]  這個牧羊人跟羊的關係
[00:03:53.160 --> 00:03:56.280]  他就按名字叫這些羊
[00:03:56.280 --> 00:03:57.720]  每一隻羊都有名字
[00:03:57.720 --> 00:03:59.960]  你是A仔你是B仔
[00:03:59.960 --> 00:04:06.840]  強調他很認識每一隻羊的關係
[00:04:06.840 --> 00:04:12.200]  他表示這個牧羊人
[00:04:12.200 --> 00:04:18.160]  跟羊群有一個密切的狀態
[00:04:18.160 --> 00:04:23.440]  在西方國家也有牧羊人的工作
[00:04:23.440 --> 00:04:27.560]  但是牧羊人就養著牧羊犬
[00:04:27.560 --> 00:04:29.760]  如果大家有看電視都會看到
[00:04:29.760 --> 00:04:34.680]  牧羊犬在後面驅趕著羊去不同的地方
[00:04:34.680 --> 00:04:37.240]  但是在耶穌的年代不是這樣的
[00:04:37.240 --> 00:04:41.360]  是牧羊人在前面帶領著羊
[00:04:41.360 --> 00:04:44.920]  進入一些可以吃草的地方
[00:04:44.920 --> 00:04:48.040]  所以這些羊跟著牧羊人
[00:04:48.040 --> 00:04:50.640]  因為牧羊人認得這個聲音
[00:04:50.640 --> 00:04:53.000]  如果是其他人牧羊人就會離開
[00:04:53.000 --> 00:04:54.480]  耶穌在這裡說
[00:04:54.480 --> 00:04:58.000]  凡是牧羊人的羊都會跟著牧羊人走
[00:04:58.000 --> 00:05:02.440]  耶穌在第六節說出有什麼後果
[00:05:02.440 --> 00:05:04.960]  耶穌就將這個比喻告訴他們
[00:05:04.960 --> 00:05:08.360]  但他們不明白所說的是什麼意思
[00:05:08.360 --> 00:05:14.080]  他們一群其他人不明白耶穌說了什麼
[00:05:14.080 --> 00:05:15.880]  這個比喻究竟說了什麼
[00:05:15.880 --> 00:05:19.280]  其實之後耶穌繼續去解釋
[00:05:19.280 --> 00:05:24.240]  這個比喻可以說是寓意的意思在裡面
[00:05:24.240 --> 00:05:25.920]  在一樣的形式經常去說
[00:05:25.920 --> 00:05:27.120]  耶穌說了一些話
[00:05:27.120 --> 00:05:28.080]  那些人不明白
[00:05:28.080 --> 00:05:29.680]  耶穌繼續去說
[00:05:29.680 --> 00:05:31.920]  解釋究竟我要說什麼
[00:05:31.920 --> 00:05:34.120]  第七節第八節說
[00:05:34.120 --> 00:05:36.480]  所以耶穌對他們說
[00:05:36.480 --> 00:05:38.400]  我實實在在的告訴你們
[00:05:38.400 --> 00:05:40.040]  我就是羊的門
[00:05:40.040 --> 00:05:41.640]  凡在我已先來的
[00:05:41.640 --> 00:05:42.480]  都是賊
[00:05:42.480 --> 00:05:43.360]  是強盜
[00:05:43.360 --> 00:05:45.360]  羊卻不聽他們
[00:05:45.360 --> 00:05:46.760]  耶穌繼續說
[00:05:46.760 --> 00:05:48.640]  開始的時候說
[00:05:48.640 --> 00:05:50.080]  我是牧羊人
[00:05:50.080 --> 00:05:53.280]  其實耶穌在這裡盡心的說
[00:05:53.280 --> 00:05:55.360]  他不只是牧羊人
[00:05:55.360 --> 00:05:57.360]  他還是那道門
[00:05:57.360 --> 00:06:00.400]  更盡心的說
[00:06:00.400 --> 00:06:02.440]  我跟牧羊人的關係
[00:06:02.440 --> 00:06:04.120]  羊要通過我
[00:06:04.120 --> 00:06:09.520]  才能得到真正的草食的地方
[00:06:09.520 --> 00:06:13.720]  通過我才能得到真正的餵羊
[00:06:13.720 --> 00:06:15.840]  耶穌在這裡用
[00:06:15.840 --> 00:06:17.400]  第一第五節
[00:06:17.400 --> 00:06:19.360]  基本上是用小偷和強盜
[00:06:19.360 --> 00:06:20.960]  跟他們的比較
[00:06:20.960 --> 00:06:24.400]  接著說到他是真正的牧羊人
[00:06:24.400 --> 00:06:26.320]  在這裡他繼續說
[00:06:26.320 --> 00:06:31.920]  羊要通過他才能得到真正的安全
[00:06:31.920 --> 00:06:33.120]  先前來的人
[00:06:33.120 --> 00:06:33.840]  都是賊
[00:06:33.840 --> 00:06:34.840]  都是強盜
[00:06:34.840 --> 00:06:37.960]  究竟先前來的是什麼人呢
[00:06:37.960 --> 00:06:40.080]  不同的人有不同的說法
[00:06:40.080 --> 00:06:42.760]  有些人說可能是當時的宗教領袖
[00:06:42.760 --> 00:06:45.280]  可能是其他不同的人
[00:06:45.280 --> 00:06:47.560]  不過更有可能的就是耶穌是指
[00:06:47.560 --> 00:06:50.080]  之前其實已經有不少人
[00:06:50.080 --> 00:06:53.720]  說自己就是上帝差派來的彌賽亞
[00:06:53.720 --> 00:06:56.800]  我可以給你們自由
[00:06:56.800 --> 00:06:59.680]  可以給你們一個福分
[00:06:59.680 --> 00:07:01.880]  已經有不同的人
[00:07:01.880 --> 00:07:04.440]  去表達我就是彌賽亞
[00:07:04.440 --> 00:07:06.240]  所以耶穌可能是指到
[00:07:06.240 --> 00:07:09.240]  這一群假冒的彌賽亞
[00:07:09.240 --> 00:07:12.080]  他們允許給百姓得到自由
[00:07:12.080 --> 00:07:16.040]  但卻是奴役這一群以色列人
[00:07:16.040 --> 00:07:18.160]  耶穌在這裡可以說
[00:07:18.160 --> 00:07:20.760]  他為這一群以色列人
[00:07:20.760 --> 00:07:24.080]  真的得到真正的自由
[00:07:24.080 --> 00:07:26.800]  不過不是靠著刀劍
[00:07:26.800 --> 00:07:29.240]  而是靠著被釘十字架
[00:07:29.240 --> 00:07:30.880]  這個事實
[00:07:30.880 --> 00:07:34.680]  之前有很多人跟隨了假冒的彌賽亞
[00:07:34.680 --> 00:07:40.000]  說我可以帶領你們建立一個以色列的強國
[00:07:40.000 --> 00:07:42.760]  但耶穌在這裡說
[00:07:42.760 --> 00:07:45.000]  真正屬於耶穌的羊
