
[00:00:00.000 --> 00:00:05.200]  剛才小棠和平民的評分
[00:00:05.200 --> 00:00:09.900]  在內在會上
[00:00:09.900 --> 00:00:13.900]  記得做一個價值觀的問題
[00:00:13.900 --> 00:00:18.900]  你們都記得一句很出名的話
[00:00:18.900 --> 00:00:22.900]  不愛江山愛美人
[00:00:23.900 --> 00:00:29.900]  這句話和這件事和價值觀有什麼關係呢?
[00:00:29.900 --> 00:00:42.900]  當各位英國貴族王族放棄江山寶藏
[00:00:42.900 --> 00:00:45.900]  而僅選美人的時候
[00:00:47.900 --> 00:00:53.900]  很多人都很受感動
[00:00:53.900 --> 00:00:56.900]  我們不理會他的婚姻背景如何
[00:00:56.900 --> 00:00:59.900]  這就是論事
[00:00:59.900 --> 00:01:03.900]  很多人體會到
[00:01:03.900 --> 00:01:08.900]  一個人可以有完全不同的價值觀
[00:01:08.900 --> 00:01:14.900]  有人認為江山是最高的價值
[00:01:15.900 --> 00:01:17.900]  但是這位王族認為
[00:01:17.900 --> 00:01:22.900]  不是,愛才是最高的價值
[00:01:22.900 --> 00:01:27.900]  當兩種標準對立的時候
[00:01:27.900 --> 00:01:31.900]  一個人要選擇
[00:01:31.900 --> 00:01:39.900]  一個人的價值就在於他的價值觀
[00:01:39.900 --> 00:01:43.900]  他的人生價值如何
[00:01:43.900 --> 00:01:49.900]  就看他如何在價值觀上的選擇
[00:01:49.900 --> 00:01:55.900]  傑都圖應該有很清楚
[00:01:55.900 --> 00:01:58.900]  很堅強的
[00:01:58.900 --> 00:02:02.900]  很明確的價值觀
[00:02:02.900 --> 00:02:06.900]  我過去是指日港港這個題目
[00:02:06.900 --> 00:02:12.900]  但是這次的周會的策略的成員
[00:02:12.900 --> 00:02:16.900]  感覺需要再強調一點
[00:02:16.900 --> 00:02:22.900]  再從保羅的經驗來說這件事
[00:02:22.900 --> 00:02:28.900]  將範圍縮小到保羅的人生經驗
[00:02:28.900 --> 00:02:33.900]  在這個範圍看傑都圖的價值觀
[00:02:33.900 --> 00:02:40.900]  我們看一次經文
[00:02:40.900 --> 00:02:49.900]  柯林多考試第五章
[00:02:49.900 --> 00:03:05.900]  柯林多考試第五章第十三條
[00:03:09.900 --> 00:03:13.900]  第十三條
[00:03:13.900 --> 00:03:16.900]  我們如果
[00:03:16.900 --> 00:03:18.900]  我們如果是正經的
[00:03:18.900 --> 00:03:24.900]  我們是正經的
