
[00:00:00.000 --> 00:00:04.340]  今日和大家思想一個題目就是十字架的受苦的心智
[00:00:04.340 --> 00:00:07.140]  大家一定會記得當主耶穌在世上的時候
[00:00:07.140 --> 00:00:09.800]  曾經很強調這樣說
[00:00:09.800 --> 00:00:11.900]  若有人要跟從我
[00:00:11.900 --> 00:00:13.900]  就當捨己
[00:00:13.900 --> 00:00:17.940]  天天背棄他的十字架來跟從我
[00:00:17.940 --> 00:00:19.320]  主耶穌很清楚地強調
[00:00:19.320 --> 00:00:20.820]  誰要跟隨他
[00:00:20.820 --> 00:00:22.900]  是要學習捨己的
[00:00:22.900 --> 00:00:26.700]  是要天天背著神給我們的十字架
[00:00:26.700 --> 00:00:28.580]  來跟隨他
[00:00:28.580 --> 00:00:31.340]  在受苦節的時候我們會思念到主自己
[00:00:31.340 --> 00:00:33.840]  他釘十字架的事實
[00:00:33.840 --> 00:00:35.540]  而當他釘十字架的時候
[00:00:35.540 --> 00:00:38.220]  他將救恩帶給我們
[00:00:38.220 --> 00:00:42.140]  他的十字架表面上是一個迎罰的記號
[00:00:42.140 --> 00:00:44.940]  但同時是一個榮耀的記號
[00:00:44.940 --> 00:00:48.360]  是叫我們永世來去重陽的記號
[00:00:48.360 --> 00:00:49.560]  因為十字架
[00:00:49.560 --> 00:00:52.660]  我們今天已經蒙受救恩
[00:00:52.660 --> 00:00:54.360]  但同時我們很清楚知道
[00:00:54.360 --> 00:00:56.820]  所有跟隨他的人
[00:00:56.820 --> 00:01:00.500]  神都將我們的十字架給我們
[00:01:00.500 --> 00:01:02.920]  或者每個人的十字架都不同
[00:01:02.920 --> 00:01:04.280]  但正如所說
[00:01:04.280 --> 00:01:07.920]  天天背起神給我們的十字架
[00:01:07.920 --> 00:01:10.200]  來跟隨他
[00:01:10.200 --> 00:01:12.760]  我記得我曾經提及過一個
[00:01:12.760 --> 00:01:15.600]  在網上的一個卡通
[00:01:15.600 --> 00:01:18.640]  一個基督教的網上的網站
[00:01:18.640 --> 00:01:21.640]  就講述一個十字架的故事
[00:01:21.640 --> 00:01:24.400]  這個故事講到有一大群人
