
[00:00:00.000 --> 00:00:05.240]  我們今天思想的在基督裡的人都要復活
[00:00:05.240 --> 00:00:10.800]  大家可能見到在台上有兩盤很燦爛的百合花
[00:00:10.800 --> 00:00:12.280]  剛剛星期五的時候
[00:00:12.280 --> 00:00:16.400]  兩天之前我太太早上都買了一些百合花回家
[00:00:16.400 --> 00:00:18.560]  她買回來的兩束百合花
[00:00:18.560 --> 00:00:22.080]  我一看發現原來都是全部未開的
[00:00:22.080 --> 00:00:24.840]  是花冧的百合花
[00:00:24.840 --> 00:00:27.880]  那我就想一下什麼時候會開呢?
[00:00:27.880 --> 00:00:31.640]  昨天早上起床的時候見到都未曾開
[00:00:31.640 --> 00:00:33.880]  隔了大概一個多小時
[00:00:33.880 --> 00:00:39.200]  一看的時候其中一朵竟然很燦爛地開大了
[00:00:39.200 --> 00:00:40.880]  我一看的時候覺得很開心
[00:00:40.880 --> 00:00:46.240]  因為很短的時間突然就開了整朵的花出來
[00:00:46.240 --> 00:00:48.520]  我一看的時候心裡有一種快樂
[00:00:48.520 --> 00:00:50.880]  我就想起聖經所說
[00:00:50.880 --> 00:00:53.040]  就在一閃時
[00:00:53.040 --> 00:00:57.280]  好像我們拍照的時候閃一閃燈
[00:00:57.280 --> 00:00:59.120]  眨眼之間
[00:00:59.120 --> 00:01:01.600]  號同末次吹響的時候
[00:01:01.600 --> 00:01:03.360]  死人要復活
[00:01:03.360 --> 00:01:06.320]  我們都要改變
[00:01:06.320 --> 00:01:09.440]  就是在我們想不到一閃時之間
[00:01:09.440 --> 00:01:11.440]  我們都會改變
[00:01:11.440 --> 00:01:15.080]  這個可扭壞的軀體
[00:01:15.080 --> 00:01:18.400]  要變成不扭壞的軀體
[00:01:18.400 --> 00:01:21.920]  是神所賜給我們永恆的身體
[00:01:21.920 --> 00:01:23.840]  永恆的生命
[00:01:23.840 --> 00:01:24.480]  各位電影姐妹
[00:01:24.480 --> 00:01:25.600]  當我們復活節的時候
[00:01:25.600 --> 00:01:28.080]  我們想起主耶穌復活的事
[00:01:28.080 --> 00:01:29.880]  但我們問自己
[00:01:29.880 --> 00:01:34.080]  我是否真的相信耶穌復活了
[00:01:34.080 --> 00:01:35.600]  或者我們再問
[00:01:35.600 --> 00:01:36.920]  我是否真的相信
[00:01:36.920 --> 00:01:41.120]  我自己有一天會復活
[00:01:41.120 --> 00:01:42.120]  有人就說
[00:01:42.120 --> 00:01:44.080]  這個問題我不想了
[00:01:44.080 --> 00:01:45.160]  將來復不復活
[00:01:45.160 --> 00:01:47.480]  那個現在想不到的
[00:01:47.480 --> 00:01:48.480]  但不是
[00:01:48.480 --> 00:01:49.880]  你要去想
[00:01:49.880 --> 00:01:53.040]  因為這是一個極其重要的問題
[00:01:53.040 --> 00:01:55.800]  而當你確認你自己的復活的時候
[00:01:55.800 --> 00:01:59.400]  你會有完全不同的生活態度
[00:01:59.400 --> 00:02:01.760]  你會有更大的盼望
[00:02:01.760 --> 00:02:03.680]  你要走每一天的生活
[00:02:03.680 --> 00:02:05.160]  所以我們今天一起思想
[00:02:05.160 --> 00:02:06.040]  原來聖經講到
[00:02:06.040 --> 00:02:07.720]  在耶穌基督裡面的人
[00:02:07.720 --> 00:02:09.240]  都要復活
[00:02:09.240 --> 00:02:10.600]  我們一起揭開聖經
[00:02:10.600 --> 00:02:13.200]  欣賞聖經神的說話
[00:02:13.200 --> 00:02:16.440]  聖經哥林多前書第十五章
[00:02:24.040 --> 00:02:27.200]  在十五章十二節我們首先思想
[00:02:27.200 --> 00:02:29.400]  聖經說如果耶穌沒有復活
[00:02:29.400 --> 00:02:31.040]  會是怎樣的呢?
[00:02:31.040 --> 00:02:33.320]  在十二節就說
[00:02:33.320 --> 00:02:36.360]  既傳基督是從死裡復活了
[00:02:36.360 --> 00:02:38.360]  怎麼在你們中間有人說
[00:02:38.360 --> 00:02:40.840]  沒有死人復活的事呢?
[00:02:40.840 --> 00:02:42.760]  若沒有死人復活的事
[00:02:42.760 --> 00:02:46.240]  基督也就沒有復活了
[00:02:46.240 --> 00:02:49.800]  如果沒有人從死裡復活過來
[00:02:49.800 --> 00:02:53.600]  亦意味著耶穌基督是沒有復活過
[00:02:53.600 --> 00:02:55.880]  因為當主在世上的時候
[00:02:55.880 --> 00:02:56.960]  祂是神
[00:02:56.960 --> 00:03:00.200]  但同時祂是一個完全的人
[00:03:00.200 --> 00:03:01.880]  祂作為人的身份
[00:03:01.880 --> 00:03:04.040]  祂從死裡復活過來
[00:03:04.040 --> 00:03:06.800]  顯明祂勝過了死亡
[00:03:06.800 --> 00:03:08.560]  但如果我們說沒有人復活過
[00:03:08.560 --> 00:03:11.040]  亦表示耶穌也沒有復活過
[00:03:11.040 --> 00:03:14.440]  所以聖經接續在十六節再說
[00:03:14.440 --> 00:03:16.720]  因為死人若不復活
[00:03:16.720 --> 00:03:19.840]  基督也就沒有復活了
[00:03:19.840 --> 00:03:21.240]  十七節說
[00:03:21.240 --> 00:03:22.480]  基督若沒有復活
[00:03:22.480 --> 00:03:24.720]  你們的信便是徒然
[00:03:24.720 --> 00:03:27.480]  你們仍在罪中
[00:03:27.480 --> 00:03:30.360]  我們的信仰就沒有意思了
[00:03:30.360 --> 00:03:31.360]  因為聖經說到
[00:03:31.360 --> 00:03:34.080]  耶穌基督為我們受死
[00:03:34.080 --> 00:03:35.840]  是為了什麼呢?
[00:03:35.840 --> 00:03:37.760]  是為了代贖我們
[00:03:37.760 --> 00:03:40.880]  代替我們受我們應當受的刑罰
[00:03:40.880 --> 00:03:42.760]  這個大家都知道
[00:03:42.760 --> 00:03:45.560]  但如果是耶穌為我們受死之後
[00:03:45.560 --> 00:03:49.000]  仍然停留在死亡裡面
[00:03:49.000 --> 00:03:50.360]  亦都意味著
[00:03:50.360 --> 00:03:53.880]  耶穌不能勝過了死權
[00:03:53.880 --> 00:03:54.680]  大家都知道
