
[00:00:00.000 --> 00:00:03.920]  我們主要多謝你 你愛我們 你賜給我們生命
[00:00:03.920 --> 00:00:06.240]  並且你拯救我們有永恆的生命
[00:00:06.240 --> 00:00:08.800]  主要我們今天早上聽你自己的真理
[00:00:08.800 --> 00:00:11.280]  很想知道你的真理當中
[00:00:11.280 --> 00:00:14.740]  我們的生命尤其是在今生結束的時候
[00:00:14.740 --> 00:00:17.300]  我們有些什麼的變化
[00:00:17.300 --> 00:00:20.080]  我們中國傳統有很多不同的看法
[00:00:20.080 --> 00:00:23.800]  求主讓我們能夠有聳明的分辨能力
[00:00:23.800 --> 00:00:26.400]  聖靈也求你帶我們進入真理裡面
[00:00:26.400 --> 00:00:31.160]  讓我們看見你的真理 也看見我們民族的習慣的時候
[00:00:31.160 --> 00:00:33.440]  所了解的能夠懂得去分辨
[00:00:33.440 --> 00:00:35.740]  求主讓我們同在 聽我們的祈禱
[00:00:35.740 --> 00:00:38.400]  奉耶穌基督的名頭 阿們
[00:00:38.400 --> 00:00:41.040]  好 今天的題目都挺特別的
[00:00:41.040 --> 00:00:43.500]  你給我 我就研究
[00:00:43.500 --> 00:00:47.860]  叫做道教和佛教 中國人的鬼和聖經的鬼
[00:00:47.860 --> 00:00:50.160]  不是鬼佬的鬼
[00:00:50.160 --> 00:00:54.560]  我就直接講了
[00:00:54.560 --> 00:00:59.680]  不過這個題目是中國人的鬼和聖經的鬼
[00:00:59.680 --> 00:01:04.640]  我相信大家要問的問題想知道的
[00:01:04.640 --> 00:01:08.600]  就是人死了之後的狀態
[00:01:08.600 --> 00:01:11.520]  就是我們今生肉身死了
[00:01:11.520 --> 00:01:14.440]  斷了氣之後的狀態會是怎麼樣
[00:01:14.440 --> 00:01:16.800]  我就從這個角度來說
[00:01:16.800 --> 00:01:20.720]  所以我們今天所講的就是死了之後
[00:01:20.720 --> 00:01:26.400]  道教和佛教是我們中國傳統的宗教
[00:01:26.400 --> 00:01:29.640]  當然它都會講到鬼魂
[00:01:29.640 --> 00:01:31.420]  佛教我跟大家特別講
[00:01:31.420 --> 00:01:35.180]  是人死了之後佛教很強調的輪迴
[00:01:35.180 --> 00:01:37.220]  英文就是reincarnation
[00:01:37.220 --> 00:01:39.440]  現在變成很流行的
[00:01:39.440 --> 00:01:43.120]  基督教又是怎麼樣呢?
[00:01:43.120 --> 00:01:45.880]  就是說人死了之後 鬼是什麼呢?
[00:01:45.880 --> 00:01:51.400]  鬼就是會回到陽間 就是我們今生生活的世界裡面
[00:01:51.400 --> 00:01:54.240]  已經死了的靈魂
[00:01:54.240 --> 00:01:59.520]  好 究竟狀態 信仰 基督教信仰怎麼看?
[00:01:59.520 --> 00:02:03.300]  首先我們看人死了之後還有沒有什麼的
[00:02:03.300 --> 00:02:05.960]  我們有些中國人其實最流行的
[00:02:05.960 --> 00:02:08.160]  很多時候是他心裡面信
[00:02:08.160 --> 00:02:09.860]  但是嘴巴當然是告訴你
[00:02:09.860 --> 00:02:11.680]  如果你是中國的傳統
[00:02:11.680 --> 00:02:17.560]  就說人死如燈滅 就是說人死了就沒事了
[00:02:17.560 --> 00:02:22.200]  就好像以前是油燈 吹了就沒有了
[00:02:22.200 --> 00:02:25.720]  化作青煙就沒有了
[00:02:25.720 --> 00:02:28.100]  那究竟人死了之後是不是什麼都沒有?
[00:02:28.100 --> 00:02:30.140]  我們先從這個角度來說
[00:02:30.140 --> 00:02:33.000]  這一點我相信信耶穌基督的人
[00:02:33.000 --> 00:02:35.640]  我們基督徒一定是不贊成的
