
[00:00:00.000 --> 00:00:05.120]  各位觀眾我們今天一起開始第九屆的培靈會
[00:00:05.120 --> 00:00:12.160]  今年由我來說這個培靈會就好像在自己家裡和自己人一樣
[00:00:12.160 --> 00:00:18.800]  比較親切的分享 但是可能會有些很習慣沒有什麼新鮮感
[00:00:18.800 --> 00:00:24.800]  其實不要緊的 神的話永遠都有新鮮感的 好不好
[00:00:24.800 --> 00:00:28.480]  我們一起來思想我們今天的題目
[00:00:28.480 --> 00:00:35.440]  其實這個培靈會我早就答應了
[00:00:35.440 --> 00:00:38.640]  我預備了另外兩個題目
[00:00:38.640 --> 00:00:42.640]  不過過去這幾個月我相信你和我一樣的感受
[00:00:42.640 --> 00:00:47.840]  那種意想不到的變化令我們的心很沉重
[00:00:47.840 --> 00:00:52.880]  我們很想問究竟神有什麼訊息和我們說
[00:00:52.880 --> 00:00:58.480]  所以在這幾個月裡我開始預備了一個新的題目
[00:00:58.480 --> 00:01:02.240]  就是你當預備迎見你的神
[00:01:02.240 --> 00:01:09.520]  我記得有一天我站在香港的街頭突然間感覺到滿目瘡痍
[00:01:09.520 --> 00:01:15.520]  以前有一個這麼美麗、這麼有朝氣、這麼陽光的城市會變成這樣
[00:01:15.520 --> 00:01:19.600]  突然間有一種好像看災難片的感覺
[00:01:19.600 --> 00:01:25.680]  突然間覺得這個城市好像一個災難的城市
[00:01:25.680 --> 00:01:32.800]  那我就想到究竟我們基督徒如何面對這個世界的末日
[00:01:32.800 --> 00:01:36.800]  面對世界的末日基督徒的心情很複雜
[00:01:36.800 --> 00:01:41.200]  你說是不是緊張、有些恐懼、有些悲觀呢?
[00:01:41.200 --> 00:01:45.600]  當然是 但同時我們記得聖經提醒我們
[00:01:45.600 --> 00:01:48.640]  面對這個世界的結束 耶穌基督再來的時候
[00:01:48.640 --> 00:01:50.400]  其實是歡喜快樂的
[00:01:50.400 --> 00:01:52.720]  究竟我們帶來什麼樣的心情呢?
[00:01:52.720 --> 00:01:55.520]  這就成為我想和大家分享的
[00:01:55.520 --> 00:01:59.120]  是這個培靈會裡面的主要的訊息
[00:01:59.120 --> 00:02:05.200]  由今天這個第一堂就說到究竟將來會發生什麼事
[00:02:05.200 --> 00:02:08.720]  我們才要在聖經裡面告訴我們
[00:02:08.720 --> 00:02:11.040]  然後我們如何去預備
[00:02:11.040 --> 00:02:15.120]  這就是第二堂我們的主題
[00:02:15.120 --> 00:02:18.640]  我想和大家說 如果我們說到這個主題
[00:02:18.640 --> 00:02:21.840]  有幾樣東西我先和大家交代一下
[00:02:21.840 --> 00:02:27.040]  首先第一樣就是肯定要說的是很多關於預言的事
[00:02:27.040 --> 00:02:29.120]  將來會發生的事
[00:02:29.120 --> 00:02:32.400]  這個是不能避免的 因為這些事還沒有發生
[00:02:32.400 --> 00:02:34.320]  但將來聖經裡面怎麼說呢?
[00:02:34.320 --> 00:02:37.520]  有些人問究竟聖經有沒有說將來會發生的事呢?
[00:02:37.520 --> 00:02:40.080]  我答案是肯定有
[00:02:40.080 --> 00:02:46.720]  正如上一個世紀有一個著名的學者John Weywod所說的
[00:02:46.720 --> 00:02:50.320]  他研究過聖經很仔細地看的時候
[00:02:50.320 --> 00:02:55.920]  他說他的結論看見在聖經裡面其實有四分之一的內容
[00:02:55.920 --> 00:02:58.560]  是和將來的預言有關的
[00:02:58.560 --> 00:03:01.760]  所以聖經肯定是一本將來預言的書
[00:03:01.760 --> 00:03:04.400]  一方面聖經為什麼要記載這麼多呢?
[00:03:04.400 --> 00:03:09.920]  不像我們中國傳統的古老的燒餅歌、推背圖那樣
[00:03:09.920 --> 00:03:12.320]  說一些無伶兩可的預言
[00:03:12.320 --> 00:03:17.360]  而是他想告訴我們這一位我們所相信的神的掌管歷史
[00:03:17.360 --> 00:03:21.600]  他現在已經知道將來會發生的事
[00:03:21.600 --> 00:03:25.280]  在他的手裡面 這是一個很重要的信息
[00:03:25.280 --> 00:03:32.800]  第二也想我們知道一些將來的方向使我們有盼望
[00:03:32.800 --> 00:03:37.600]  所以這是一個很健康的
[00:03:37.600 --> 00:03:39.840]  當然只有神自己才能做到的事情
[00:03:39.840 --> 00:03:43.040]  所以這個聖經這麼寶貴的資料
[00:03:43.040 --> 00:03:44.800]  我們今天要去拆開它
[00:03:44.800 --> 00:03:46.960]  拆開的時候會有危險性
[00:03:46.960 --> 00:03:47.680]  為什麼呢?
[00:03:47.680 --> 00:03:49.040]  因為很容易對號入座
[00:03:49.040 --> 00:03:50.560]  憑一刷
[00:03:50.560 --> 00:03:52.560]  所以我很提醒我自己
[00:03:52.560 --> 00:03:53.920]  不要亂說
[00:03:53.920 --> 00:03:56.480]  不要像人家看上了風水佬那樣
[00:03:56.480 --> 00:03:57.840]  隨便說說
[00:03:57.840 --> 00:03:59.280]  這句話就是了
[00:03:59.280 --> 00:04:00.160]  不可以
[00:04:00.160 --> 00:04:04.320]  於是我又不敢百分之百肯定我的解釋
[00:04:04.320 --> 00:04:06.720]  一定是唯一和準確的解釋
[00:04:06.720 --> 00:04:07.680]  大家明白我的意思嗎?
[00:04:07.680 --> 00:04:08.720]  我很小心
[00:04:08.720 --> 00:04:10.960]  我每一次說的時候
[00:04:10.960 --> 00:04:12.880]  經文會這樣去理解
[00:04:12.880 --> 00:04:15.520]  因為還沒有發生的事
[00:04:15.520 --> 00:04:18.320]  如果我不想一刷的話
[00:04:18.320 --> 00:04:19.760]  我會說出我的理由
[00:04:19.760 --> 00:04:22.800]  不過請你千萬不要認為
[00:04:22.800 --> 00:04:24.400]  溫韋耀這樣說
[00:04:24.400 --> 00:04:27.280]  和我所路所了解的不同
[00:04:27.280 --> 00:04:28.560]  不要緊的
[00:04:28.560 --> 00:04:30.240]  不是因為你對我錯
[00:04:30.240 --> 00:04:31.520]  或者我對你錯
[00:04:31.520 --> 00:04:33.680]  反正將來的事情
[00:04:33.680 --> 00:04:36.160]  神給我們一個空間去了解
[00:04:36.160 --> 00:04:37.120]  不過我覺得
[00:04:37.120 --> 00:04:38.960]  既然我說這個培靈會
[00:04:38.960 --> 00:04:41.440]  我就有責任告訴你我是怎麼看的
[00:04:41.440 --> 00:04:42.400]  好不好?
[00:04:42.400 --> 00:04:43.920]  這個我相信
[00:04:43.920 --> 00:04:46.560]  是必須要負責任的
[00:04:46.560 --> 00:04:48.720]  所以我就會很大膽的去說
[00:04:48.720 --> 00:04:50.000]  第三
[00:04:50.000 --> 00:04:52.880]  我相信也要提醒大家
[00:04:52.880 --> 00:04:55.200]  關於將來所發生的事情
[00:04:55.200 --> 00:04:58.720]  其中一些肯定是超自然的
[00:04:58.720 --> 00:05:01.040]  有些不是自然界
[00:05:01.040 --> 00:05:04.080]  或者甚至超自然的事情會發生
[00:05:04.080 --> 00:05:06.880]  如果你說超自然也相信
[00:05:06.880 --> 00:05:07.680]  你問我
[00:05:07.680 --> 00:05:08.400]  我告訴你
[00:05:08.400 --> 00:05:09.040]  我相信
[00:05:09.040 --> 00:05:09.840]  當然相信
[00:05:09.840 --> 00:05:11.760]  我們的神是超自然的
[00:05:11.760 --> 00:05:13.200]  掌管歷史的
[00:05:13.200 --> 00:05:16.000]  人類所能夠所謂的科學
[00:05:16.000 --> 00:05:19.520]  能夠了解的現象
[00:05:19.520 --> 00:05:21.360]  只不過是很微小
[00:05:21.360 --> 00:05:23.040]  既然神是超自然的
[00:05:23.040 --> 00:05:24.880]  有超自然的事情出現
[00:05:24.880 --> 00:05:28.880]  是絕對可能並且很合理的
[00:05:28.880 --> 00:05:31.600]  所以我會很大膽的和大家提到
[00:05:31.600 --> 00:05:32.800]  某些超自然的事情
[00:05:32.800 --> 00:05:34.080]  會覺得很荒謬
[00:05:34.080 --> 00:05:37.120]  我不想你認為超自然是荒謬
[00:05:37.120 --> 00:05:39.120]  不過我們要很小心
[00:05:39.120 --> 00:05:41.120]  這件事會這樣發生
[00:05:41.120 --> 00:05:43.040]  我們估計我們有理由
