
[00:00:00.000 --> 00:00:02.520]  我們大家都會在不同的場合
[00:00:02.520 --> 00:00:04.680]  有提及到、有聽到
[00:00:04.680 --> 00:00:08.000]  教徒可以來關心社會
[00:00:08.000 --> 00:00:12.160]  或者說教徒應該來關心社會
[00:00:12.160 --> 00:00:15.520]  但有人問為什麼教徒要特別在這方面
[00:00:15.520 --> 00:00:18.240]  來關心社會上的事情呢?
[00:00:18.240 --> 00:00:20.120]  或者社會上的人呢?
[00:00:20.120 --> 00:00:21.880]  我很記得有一個人曾經這樣說
[00:00:21.880 --> 00:00:23.120]  我很認同的
[00:00:23.120 --> 00:00:25.240]  他英文所說的話是
[00:00:25.240 --> 00:00:31.840]  Evil flourishes when the righteous keep silent
[00:00:31.840 --> 00:00:33.240]  意思就是說
[00:00:33.240 --> 00:00:37.000]  邪惡是會不斷的發展興旺
[00:00:37.000 --> 00:00:39.080]  如果那些公義的人
[00:00:39.080 --> 00:00:42.520]  一直保持沉靜
[00:00:42.520 --> 00:00:44.880]  當公義的人保持沉靜的時候
[00:00:44.880 --> 00:00:46.200]  很多邪惡的力量
[00:00:46.200 --> 00:00:50.320]  就會有機會不斷不斷地蓬勃發展
[00:00:50.320 --> 00:00:52.640]  但是哪一個是公義的人呢?
[00:00:52.640 --> 00:00:56.560]  我相信在社會上也有很多公義的朋友
[00:00:56.560 --> 00:00:57.920]  但對基督徒來說
[00:00:57.920 --> 00:01:01.200]  我們心知肚神將公義的生命給我們
[00:01:01.200 --> 00:01:02.640]  縱使我們有軟弱
[00:01:02.640 --> 00:01:03.880]  但我們內心生命
[00:01:03.880 --> 00:01:07.240]  我們知道已經有基督耶穌的補血潔淨了
[00:01:07.240 --> 00:01:10.000]  而我們靠祂主可以行公義
[00:01:10.000 --> 00:01:12.640]  而我們因此有更大的角色
[00:01:12.640 --> 00:01:14.200]  來發揮出來
[00:01:14.200 --> 00:01:17.520]  來讓社會上很多很多邪惡的事情
[00:01:17.520 --> 00:01:19.760]  不只是很囂張
[00:01:19.760 --> 00:01:23.200]  而能夠抗衡這些邪惡的事情
[00:01:23.200 --> 00:01:24.760]  所以說到社會上的事的時候
[00:01:24.760 --> 00:01:28.640]  你和我都值得更小心地思想和關心
[00:01:28.640 --> 00:01:30.800]  在宣導會裏面有很多討論
[00:01:30.800 --> 00:01:34.000]  關乎社會關懷和傳福音的
[00:01:34.000 --> 00:01:35.760]  兩方面的使命
[00:01:35.760 --> 00:01:36.880]  我們的信念就是
[00:01:36.880 --> 00:01:40.400]  兩者之間是一個夥伴
[00:01:40.400 --> 00:01:44.000]  在口傳和身傳兩方面
[00:01:44.000 --> 00:01:47.160]  配合著來見證主耶穌的福音
[00:01:47.160 --> 00:01:48.160]  因此互相之間
[00:01:48.160 --> 00:01:51.960]  有一種很重要的互相配合的作用
[00:01:51.960 --> 00:01:53.640]  因此你和我也學習
[00:01:53.640 --> 00:01:55.840]  一方面向人講述福音
[00:01:55.840 --> 00:01:57.880]  另一方面也有機會的時候
[00:01:57.880 --> 00:01:59.520]  在自己的行為當中
[00:01:59.520 --> 00:02:02.720]  去關懷、去幫助、去勉勵
[00:02:02.720 --> 00:02:06.440]  讓社會能夠因為我們而得到福氣
[00:02:06.440 --> 00:02:07.480]  所以我們今天所思想的
[00:02:07.480 --> 00:02:09.040]  就是聖經所說的
[00:02:09.040 --> 00:02:11.760]  一個教徒帶著什麼樣的態度
[00:02:11.760 --> 00:02:15.080]  什麼樣的生命狀況來關心社會呢?
[00:02:15.080 --> 00:02:17.600]  因此我們揭開聖經的彼得前書
