
[00:00:00.000 --> 00:00:02.800]  今天跟大家思想的就是剛才所說的
[00:00:02.800 --> 00:00:06.400]  「擔待不堅固人」的軟弱
[00:00:06.400 --> 00:00:08.500]  我想分析一對中年的夫婦
[00:00:08.500 --> 00:00:11.100]  和我說說他們的一個經歷
[00:00:11.100 --> 00:00:13.400]  他們說到幾年之前曾經參加過
[00:00:13.400 --> 00:00:16.500]  「焦圖」的聖地旅行團
[00:00:16.500 --> 00:00:20.000]  他們半夜起床就走西瀨山
[00:00:20.000 --> 00:00:22.700]  要上到山頂看日出
[00:00:22.700 --> 00:00:24.000]  他們一大群人很興奮
[00:00:24.000 --> 00:00:27.100]  因為很希望能夠趕及在日出之前
[00:00:27.100 --> 00:00:30.500]  上到山頂可以看得很清楚整個山景
[00:00:30.500 --> 00:00:32.800]  整個日出的情況
[00:00:32.800 --> 00:00:35.500]  很多人很快就走上去
[00:00:35.500 --> 00:00:38.900]  但是這對夫婦特別太太身體不是太好
[00:00:38.900 --> 00:00:41.900]  因此走到一半已經是氣喘
[00:00:41.900 --> 00:00:43.300]  沒有力量再走
[00:00:43.300 --> 00:00:45.600]  而且很慢很慢
[00:00:45.600 --> 00:00:48.200]  先生在旁邊陪著她
[00:00:48.200 --> 00:00:50.700]  一位領隊是一位牧師
[00:00:50.700 --> 00:00:53.200]  他就和這些團員說
[00:00:53.200 --> 00:00:55.500]  你們向哪條路怎樣走怎樣走
[00:00:55.500 --> 00:00:57.100]  指引他們上去
[00:00:57.100 --> 00:01:00.100]  旁邊就陪著這對夫婦
[00:01:00.100 --> 00:01:00.900]  走著走著的時候
[00:01:00.900 --> 00:01:02.300]  太太就說不要阻礙你們
[00:01:02.300 --> 00:01:03.600]  你們上去看吧
[00:01:03.600 --> 00:01:05.400]  我不去了
[00:01:05.400 --> 00:01:07.800]  這位領隊就鼓勵他
[00:01:07.800 --> 00:01:10.700]  上面很好看 你們上去吧
[00:01:10.700 --> 00:01:12.800]  經過一輪的討論之後
[00:01:12.800 --> 00:01:15.800]  最終的答案和解決方法就是
[00:01:15.800 --> 00:01:17.900]  一位很健壯的牧師
[00:01:17.900 --> 00:01:20.400]  就揹著這位太太
[00:01:20.400 --> 00:01:23.600]  走上西瀨山
[00:01:23.600 --> 00:01:24.800]  在走的過程當中
[00:01:24.800 --> 00:01:25.900]  他很感激
[00:01:25.900 --> 00:01:29.400]  但是更加感受到別人對自己的幫助
[00:01:29.400 --> 00:01:32.500]  一步一步地走到山頂
[00:01:32.500 --> 00:01:33.200]  雖然遲了一點
[00:01:33.200 --> 00:01:34.000]  但不是太遲
[00:01:34.000 --> 00:01:36.500]  仍然能夠看到整個日出的景況
[00:01:36.500 --> 00:01:37.500]  他們很開心
[00:01:37.500 --> 00:01:39.700]  也很感謝這位牧師
[00:01:39.700 --> 00:01:41.200]  這對夫婦告訴我的時候
[00:01:41.200 --> 00:01:42.900]  我深受想像
[00:01:42.900 --> 00:01:46.300]  要背著一位太太走上山
