
[00:00:00.000 --> 00:00:03.560]  我們一齊同心去祈禱
[00:00:03.560 --> 00:00:05.120]  我們親愛的天父上帝
[00:00:05.120 --> 00:00:07.520]  我們滿心感謝讚美你
[00:00:07.520 --> 00:00:10.480]  因為我們可以去敬拜你
[00:00:10.480 --> 00:00:13.200]  我們時刻的要思想
[00:00:13.200 --> 00:00:16.720]  我們的生命是一份禮物
[00:00:16.720 --> 00:00:18.960]  是一份恩賜
[00:00:18.960 --> 00:00:21.920]  我們實在要再去思想
[00:00:21.920 --> 00:00:26.040]  當我們發現到生活上的事情
[00:00:26.040 --> 00:00:29.720]  好像不是我們可以掌握的時候
[00:00:29.720 --> 00:00:31.920]  我們更加要知道
[00:00:31.920 --> 00:00:35.120]  我們只不過是很普通的人
[00:00:35.120 --> 00:00:38.080]  在我們以上有我們的上帝
[00:00:38.080 --> 00:00:40.360]  你是我們生命的主
[00:00:40.360 --> 00:00:44.640]  在這麼充滿混亂的時候
[00:00:44.640 --> 00:00:47.000]  我們要回歸於你
[00:00:47.000 --> 00:00:50.600]  再一次在你的面前去謙卑
[00:00:50.600 --> 00:00:54.040]  讓我們去承認你是我們生命的主
[00:00:54.040 --> 00:00:56.320]  讓我們在敬拜的時候
[00:00:56.320 --> 00:01:00.240]  得到你自己聖經的教導
[00:01:00.240 --> 00:01:03.400]  讓你的聖靈住在我們的內心
[00:01:03.400 --> 00:01:07.720]  讓我們有力量去面對各種的挑戰
[00:01:07.720 --> 00:01:09.280]  因為我們知道
[00:01:09.280 --> 00:01:12.680]  我們所盼望的不是在地上
[00:01:12.680 --> 00:01:15.480]  而是在永恆的國度裡面
[00:01:15.480 --> 00:01:17.960]  我們的祈禱奉耶穌基督的名
[00:01:17.960 --> 00:01:19.600]  阿門
[00:01:19.600 --> 00:01:21.760]  很感謝上帝的恩典
[00:01:21.760 --> 00:01:25.680]  也很感謝老傳道的邀請
[00:01:25.680 --> 00:01:29.160]  讓我跟洪恩堂的弟兄姐妹
[00:01:29.160 --> 00:01:31.880]  來分享聖經的說話
[00:01:31.880 --> 00:01:38.160]  我心裡面有一種很特別的感受
[00:01:38.160 --> 00:01:40.360]  雖然我看不到你們
[00:01:40.360 --> 00:01:45.400]  但是我感受到你們在一起崇拜
[00:01:45.400 --> 00:01:48.440]  我最近也很感恩
[00:01:48.440 --> 00:01:51.360]  因為經歷到
[00:01:51.360 --> 00:01:54.120]  雖然外面的環境
[00:01:54.120 --> 00:01:56.600]  很多很多的變化
[00:01:56.600 --> 00:01:58.120]  但是
[00:01:58.120 --> 00:02:01.440]  神又讓我的情緒能夠穩定
[00:02:01.440 --> 00:02:03.720]  可以每天去做事
[00:02:03.720 --> 00:02:05.720]  特別是看聖經
[00:02:05.720 --> 00:02:08.280]  這件事情是我以前
[00:02:08.280 --> 00:02:09.640]  不是很經歷到
[00:02:09.640 --> 00:02:12.440]  不過這一兩年我是經歷了很多
[00:02:12.440 --> 00:02:16.840]  今天我就將我看聖經的一些心得
[00:02:16.840 --> 00:02:18.880]  跟大家去分享
[00:02:18.880 --> 00:02:23.760]  剛才陳全道已經將那兩節經文
[00:02:23.760 --> 00:02:24.960]  讀出來了
[00:02:24.960 --> 00:02:27.760]  所以我就不再重複了
[00:02:27.760 --> 00:02:30.160]  在這兩段經文裡面
[00:02:30.160 --> 00:02:34.200]  有兩個詞是很特別的
[00:02:34.200 --> 00:02:36.520]  一個詞就是預定
[00:02:36.520 --> 00:02:39.400]  第二個詞就是明定
[00:02:39.400 --> 00:02:40.160]  好了
[00:02:40.160 --> 00:02:41.320]  我就會問
[00:02:41.320 --> 00:02:44.240]  究竟這兩段經文裡面
[00:02:44.240 --> 00:02:45.960]  這兩個詞
[00:02:45.960 --> 00:02:48.520]  在希臘文的原文裡面
[00:02:48.520 --> 00:02:51.520]  是不是同一個字?
[00:02:51.520 --> 00:02:54.560]  如果兩個是不同的字
[00:02:54.560 --> 00:02:57.640]  究竟原來的意思是什麼?
[00:02:57.640 --> 00:02:59.800]  我就很感謝神
[00:02:59.800 --> 00:03:05.640]  我就是透過這樣去追查經文的背景
[00:03:05.640 --> 00:03:09.160]  去發現一些道理
[00:03:09.160 --> 00:03:11.240]  我就將這個發現
[00:03:11.240 --> 00:03:12.920]  定了一個講道的題目
[00:03:12.920 --> 00:03:13.760]  就是說
[00:03:13.760 --> 00:03:16.600]  患難是擺在面前的
[00:03:16.600 --> 00:03:20.120]  我將講道分了三個部分
[00:03:20.120 --> 00:03:21.520]  第一個部分
[00:03:21.520 --> 00:03:25.120]  就是神預定人是得救的
[00:03:25.120 --> 00:03:26.520]  第二個部分
[00:03:26.520 --> 00:03:28.640]  就是受苦
