
[00:00:00.000 --> 00:00:07.000]  感謝天父把這麼美好的敬拜他的地方賜給北角宣道會
[00:00:07.000 --> 00:00:12.000]  我們心裡充滿了感謝和讚美
[00:00:12.000 --> 00:00:18.000]  感謝天父將這麼好敬拜他的地方加給北角宣道會
[00:00:18.000 --> 00:00:22.000]  今天我要奉主的名傳達一個信息
[00:00:22.000 --> 00:00:25.000]  我們外面的物質的聖殿建好之後
[00:00:25.000 --> 00:00:33.000]  我們外表的物質的聖殿建好之後
[00:00:33.000 --> 00:00:38.000]  我們還要同心的建立我們裡面的聖殿
[00:00:38.000 --> 00:00:45.000]  讓我們裡面的聖殿和外面的聖殿能夠配合
[00:00:45.000 --> 00:00:54.000]  讓我們裡面的聖殿能夠和外面的聖殿互相配合
[00:00:54.000 --> 00:00:58.000]  這樣我們才能夠真正的將榮耀歸給天父
[00:00:58.000 --> 00:01:02.000]  在舊約裡面有一篇很短的詩
[00:01:02.000 --> 00:01:09.000]  是詩篇第122篇
[00:01:09.000 --> 00:01:18.000]  這篇詩裡面給我們看見神所喜悅的聖殿教會的藍圖
[00:01:18.000 --> 00:01:23.000]  我們在這裡能夠看到神所喜悅的一間教會的藍圖是怎樣的
[00:01:23.000 --> 00:01:28.000]  雖然很短但是裡面充滿了寶貴的真理
[00:01:28.000 --> 00:01:31.000]  雖然是很短但是裡面充滿了寶貴的真理
[00:01:31.000 --> 00:01:38.000]  我要和各位的弟兄姊妹同工一同來領受彼此的綿力
[00:01:38.000 --> 00:01:45.000]  我要和各位的弟兄姊妹同工一同來領受彼此的綿力
[00:01:45.000 --> 00:01:51.000]  請大家回到詩篇第122篇
[00:01:51.000 --> 00:01:56.000]  我們從第一節開始看起
[00:01:56.000 --> 00:02:02.000]  人對我說 我們往耶和華的殿去 我就歡喜
[00:02:02.000 --> 00:02:06.000]  人對我說 我們往耶和華的殿去 我就歡喜
[00:02:06.000 --> 00:02:10.000]  這是世人的心
[00:02:10.000 --> 00:02:13.000]  他很愛神
[00:02:13.000 --> 00:02:18.000]  因為愛神所以愛神的殿
[00:02:18.000 --> 00:02:24.000]  一聽見人說 讓我們敬拜神 讓我們到神的家去
