
[00:00:00.000 --> 00:00:03.800]  大家知道今天是父親節
[00:00:03.800 --> 00:00:06.160]  也是教會的家庭主日
[00:00:06.160 --> 00:00:07.480]  我們鼓勵弟兄姊妹
[00:00:07.480 --> 00:00:10.440]  是一個家庭一起參加崇拜
[00:00:10.440 --> 00:00:14.760]  第四堂平時比較少一些兒童少年
[00:00:14.760 --> 00:00:16.040]  或者未必是兒童少年
[00:00:16.040 --> 00:00:17.560]  你是和你的家人
[00:00:17.560 --> 00:00:19.080]  或者部分或者全部的家人
[00:00:19.080 --> 00:00:21.160]  一起參加崇拜的
[00:00:21.160 --> 00:00:22.040]  有沒有這樣的弟兄姊妹
[00:00:22.040 --> 00:00:23.280]  你不如舉手給我們知道
[00:00:23.280 --> 00:00:25.640]  你和家人一起敬拜神的
[00:00:25.640 --> 00:00:27.640]  你舉手給我們知道
[00:00:27.640 --> 00:00:35.120]  感謝神給我們機會一起去敬拜神
[00:00:35.120 --> 00:00:36.560]  在這次的主日
[00:00:36.560 --> 00:00:38.280]  我們特別在第二第三堂
[00:00:38.280 --> 00:00:40.800]  沒有了平時的主日學
[00:00:40.800 --> 00:00:42.840]  兒童的主學和兒童的崇拜
[00:00:42.840 --> 00:00:46.560]  所以很多小朋友都一起來參加崇拜
[00:00:46.560 --> 00:00:48.440]  很有熱鬧家庭的氣氛
[00:00:48.440 --> 00:00:49.440]  我相信第四堂
[00:00:49.440 --> 00:00:54.120]  都有小部分的小朋友或者大朋友在這裡
[00:00:54.120 --> 00:00:55.480]  教會的負責安排
[00:00:55.480 --> 00:00:58.400]  這次崇拜的同工邀請我
[00:00:58.400 --> 00:01:03.440]  在講道之前要講一個故事
[00:01:03.440 --> 00:01:06.080]  所以無論你是小朋友還是大朋友
[00:01:06.080 --> 00:01:09.080]  我們帶著一個輕散的心
[00:01:09.080 --> 00:01:12.440]  我們一起透過故事去思想
[00:01:12.440 --> 00:01:14.000]  這個故事是什麼呢
[00:01:14.000 --> 00:01:17.000]  就是在很遠很遠的地方
[00:01:17.000 --> 00:01:19.280]  有一個國王
[00:01:19.280 --> 00:01:22.480]  這個國王有大片的土地
[00:01:22.480 --> 00:01:26.280]  其中一部分土地種了一些很高大的樹木
[00:01:26.280 --> 00:01:28.800]  很高很高
[00:01:28.800 --> 00:01:33.560]  這個地方國王很喜歡在裡面到處散步
[00:01:33.560 --> 00:01:37.560]  沒有其他人敢進去這個地方
[00:01:37.560 --> 00:01:39.560]  但是很多人都會問
[00:01:39.560 --> 00:01:41.160]  究竟有多大呢
[00:01:41.160 --> 00:01:43.280]  樹有多高呢
[00:01:43.280 --> 00:01:46.280]  究竟有多高有多大呢
[00:01:46.280 --> 00:01:48.280]  (笑聲)
