
[00:00:00.000 --> 00:00:10.000]  請大家翻到 以賽亞書第六章
[00:00:10.000 --> 00:00:18.000]  我們已經看過先知伊西傑所看見聖殿的意象
[00:00:18.000 --> 00:00:21.000]  那是神所喜悅的殿
[00:00:21.000 --> 00:00:25.000]  也叫我們想到神所喜悅的教會
[00:00:25.000 --> 00:00:32.000]  從神所喜悅的教會裡面就流出來豐盛的生命的河
[00:00:32.000 --> 00:00:36.000]  那就是昨天晚上我們所看見的
[00:00:36.000 --> 00:00:39.000]  求主是你我的教會
[00:00:39.000 --> 00:00:42.000]  是合乎主心意的教會
[00:00:42.000 --> 00:00:48.000]  因此能夠從我們的教會裡面流露出來豐盛的生命
[00:00:48.000 --> 00:00:55.000]  讓這個豐盛的生命所到之處我們得人如得魚一樣
[00:00:55.000 --> 00:00:59.000]  昨天晚上我們看這幅景象的時候
[00:00:59.000 --> 00:01:02.000]  我們的心再次被主提醒
[00:01:02.000 --> 00:01:04.000]  我們需要追求
[00:01:04.000 --> 00:01:06.000]  我們不但得生命
[00:01:06.000 --> 00:01:08.000]  還有得豐盛的生命
[00:01:08.000 --> 00:01:11.000]  我們昨天看那張聖經裡面
[00:01:11.000 --> 00:01:13.000]  有一個警告
[00:01:13.000 --> 00:01:20.000]  說泥濘之地不能夠享受豐盛生命的河水的好處
[00:01:20.000 --> 00:01:25.000]  只有這一種地方得不到豐盛生命的好處
[00:01:25.000 --> 00:01:28.000]  那就是泥濘的地方
[00:01:28.000 --> 00:01:31.000]  這是一個很重要的警告
[00:01:31.000 --> 00:01:33.000]  什麼是泥濘的地方
[00:01:33.000 --> 00:01:36.000]  就是有一點水
[00:01:36.000 --> 00:01:38.000]  但是水不多
[00:01:38.000 --> 00:01:42.000]  只能夠叫土變成泥
[00:01:42.000 --> 00:01:45.000]  如果我們得了一點點的恩典
[00:01:45.000 --> 00:01:47.000]  就知足知滿
[00:01:47.000 --> 00:01:48.000]  夠了夠了
[00:01:48.000 --> 00:01:51.000]  我不需要豐盛的生命
[00:01:51.000 --> 00:01:53.000]  我是一個相當好的基督徒了
[00:01:53.000 --> 00:01:56.000]  我沒有什麼疏零的需要
[00:01:56.000 --> 00:01:58.000]  別人有我沒有
[00:01:58.000 --> 00:02:00.000]  我的侍奉我已經滿意了
[00:02:00.000 --> 00:02:03.000]  我的疏零的光景我已經滿意了
[00:02:03.000 --> 00:02:07.000]  我的做見證的生活我已經滿意了
[00:02:07.000 --> 00:02:10.000]  我服結的果子我已經滿意了
[00:02:10.000 --> 00:02:14.000]  這樣的基督徒就是在泥濘之地
[00:02:14.000 --> 00:02:18.000]  這樣的人得不到豐盛的生命
[00:02:18.000 --> 00:02:20.000]  我們先要愛慕
[00:02:20.000 --> 00:02:25.000]  在愛慕之前要先感覺自己的虧欠和需要
[00:02:25.000 --> 00:02:29.000]  從需要感裡面就產生愛慕的心
[00:02:29.000 --> 00:02:32.000]  從愛慕的心裡面就有追求
[00:02:32.000 --> 00:02:36.000]  追求的時候就能夠遮住
[00:02:36.000 --> 00:02:38.000]  今天晚上
[00:02:38.000 --> 00:02:41.000]  我們要看在聖殿裡面
[00:02:41.000 --> 00:02:44.000]  所發生一件很重要的事
[00:02:44.000 --> 00:02:46.000]  就是先知以色列
[00:02:46.000 --> 00:02:51.000]  在聖殿裡面把自己奉獻給神
[00:02:51.000 --> 00:02:54.000]  如果你我的教會裡面
[00:02:54.000 --> 00:02:58.000]  缺少人奉獻的情形
[00:02:58.000 --> 00:03:01.000]  我們的教會一定有問題
[00:03:01.000 --> 00:03:03.000]  如果一個教會裡面
[00:03:03.000 --> 00:03:07.000]  常常看不見人奉獻
[00:03:07.000 --> 00:03:11.000]  無論是全世間侍奉主的奉獻也好
[00:03:11.000 --> 00:03:15.000]  或是所謂生活的奉獻也好
[00:03:15.000 --> 00:03:18.000]  缺少這種的情形出現
[00:03:18.000 --> 00:03:21.000]  那麼我們就要行察自己了
[00:03:21.000 --> 00:03:24.000]  我這個教會有毛病
[00:03:24.000 --> 00:03:27.000]  我這個教會不正常
[00:03:27.000 --> 00:03:29.000]  因為在聖經裡面說告訴我們
[00:03:29.000 --> 00:03:31.000]  那個正常的教會
[00:03:31.000 --> 00:03:34.000]  就是神和喜悅的聖殿裡面
[00:03:34.000 --> 00:03:39.000]  有奉獻的事發生
[00:03:39.000 --> 00:03:41.000]  求神使我們今天在座的
[00:03:41.000 --> 00:03:44.000]  眾弟兄姊妹們所在的教會
[00:03:44.000 --> 00:03:46.000]  能夠常常的有
[00:03:46.000 --> 00:03:50.000]  看見弟兄姊妹將自己奉獻
[00:03:50.000 --> 00:03:54.000]  有多的青年人將自己奉獻給主
[00:03:54.000 --> 00:03:56.000]  做全世間侍奉的工作
[00:03:56.000 --> 00:03:58.000]  也有很多的弟兄姊妹
[00:03:58.000 --> 00:04:00.000]  不分什麼年齡
[00:04:00.000 --> 00:04:02.000]  將自己完完全全的
[00:04:02.000 --> 00:04:05.000]  毫無保留的交在主的手中
[00:04:05.000 --> 00:04:08.000]  放在祭壇上
[00:04:08.000 --> 00:04:12.000]  我們現在要把這一章聖經
[00:04:12.000 --> 00:04:15.000]  第一節到底八節
[00:04:15.000 --> 00:04:20.000]  來查考來思想來領受
[00:04:20.000 --> 00:04:24.000]  我們先看先知以色陽
[00:04:24.000 --> 00:04:28.000]  見這一個異象的背景
[00:04:28.000 --> 00:04:33.000]  他什麼時候看見這個異象呢
[00:04:33.000 --> 00:04:36.000]  這個背景很重要
[00:04:36.000 --> 00:04:40.000]  我們應該有清楚的認識
[00:04:40.000 --> 00:04:42.000]  第一節
[00:04:42.000 --> 00:04:46.000]  當烏西亞王崩的那年
[00:04:46.000 --> 00:04:51.000]  先知以色陽就看見了這個異象
[00:04:51.000 --> 00:04:55.000]  我相信烏西亞王的死
[00:04:55.000 --> 00:05:02.000]  對於先知以色陽是一個很大的刺激和警惕
