
[00:00:00.000 --> 00:00:02.760]  我們回到《聖經馬蹄福音》第五章
[00:00:02.760 --> 00:00:04.760]  我們來到第27節
[00:00:04.760 --> 00:00:07.600]  主要訴訟教導的有關不可姦淫
[00:00:07.600 --> 00:00:10.600]  和不可背世的教導
[00:00:10.600 --> 00:00:16.160]  我記得早前我曾經和大家分享一件事情
[00:00:16.160 --> 00:00:19.000]  就是有一次看到保安提及
[00:00:19.000 --> 00:00:22.360]  香港一位大學的教授
[00:00:22.360 --> 00:00:23.960]  他一些的言論
[00:00:23.960 --> 00:00:26.600]  在他的文字當中他提及
[00:00:26.600 --> 00:00:29.600]  就是說他想勸告香港很多的太太
[00:00:29.600 --> 00:00:32.000]  很多已婚的女士
[00:00:32.000 --> 00:00:37.000]  是應該放心接受丈夫有婚愛情
[00:00:37.000 --> 00:00:40.000]  他的比喻是這樣說
[00:00:40.000 --> 00:00:42.000]  他說很多不同的男士
[00:00:42.000 --> 00:00:45.000]  有些人會吃一碗飯
[00:00:45.000 --> 00:00:47.600]  有些人胃口大一點吃兩碗
[00:00:47.600 --> 00:00:49.200]  有些人吃三碗
[00:00:49.200 --> 00:00:52.000]  你不需要限制他吃多少碗飯
[00:00:52.000 --> 00:00:55.400]  按他所需要的就給他吃飯
[00:00:55.400 --> 00:00:57.600]  然後他說
[00:00:57.600 --> 00:00:59.600]  太太應該明白
[00:00:59.600 --> 00:01:01.600]  丈夫有不同的需要
[00:01:01.600 --> 00:01:03.600]  他要有第三者
[00:01:03.600 --> 00:01:05.000]  第四者
[00:01:05.000 --> 00:01:06.400]  第五者
[00:01:06.400 --> 00:01:08.000]  不要限制他
[00:01:08.000 --> 00:01:11.000]  讓他可以得到他所需要的
[00:01:11.000 --> 00:01:16.600]  當我聽到看到這一段話的時候
[00:01:16.600 --> 00:01:19.600]  心裡有一種嘔心的感覺
[00:01:19.600 --> 00:01:22.600]  一種很奇怪的一種比喻
[00:01:22.600 --> 00:01:27.600]  但好像是按著很多人所期望的說出來
[00:01:27.600 --> 00:01:31.200]  很多人很快就會接受了這個理念
[00:01:31.200 --> 00:01:32.600]  就覺得沒問題
[00:01:32.600 --> 00:01:35.600]  人有這樣的需要就應該接受
[00:01:35.600 --> 00:01:39.600]  當你聽到看到這些言論的時候
[00:01:39.600 --> 00:01:42.000]  你發覺這些不是獨立的表達
[00:01:42.000 --> 00:01:43.800]  有很多不同的言論
[00:01:43.800 --> 00:01:46.200]  在世界不同的人士
