
[00:00:00.000 --> 00:00:04.000]  在分享訊息之前,我也想分享多一件事情
[00:00:04.000 --> 00:00:06.000]  剛剛在過去一個星期
[00:00:06.000 --> 00:00:11.000]  在香港舉行了亞洲宣導會的一個聯合會議
[00:00:11.000 --> 00:00:15.000]  有140多位從亞洲20個地區的
[00:00:15.000 --> 00:00:17.000]  很多不同的宣導會的代表
[00:00:17.000 --> 00:00:19.000]  來到香港一起開會
[00:00:19.000 --> 00:00:23.000]  而只要大家分享的就是各地的呼音的工作
[00:00:23.000 --> 00:00:27.000]  教會的情況,大家彼此的交流,彼此的學習
[00:00:27.000 --> 00:00:32.000]  我在當中第一次聽到一件事情就是關乎蒙古國的情況
[00:00:32.000 --> 00:00:37.000]  以前被稱為「外蒙」,現在是一個獨立的國家,蒙古
[00:00:37.000 --> 00:00:40.000]  1990年初期的時候
[00:00:40.000 --> 00:00:46.000]  知道的,信了主的人數只是4個人,整個國家
[00:00:46.000 --> 00:00:51.000]  一個經過了70年共產政權統治的國家
[00:00:51.000 --> 00:00:54.000]  很多人都是無神主義者
[00:00:54.000 --> 00:01:00.000]  但是1997年,當我們很留心香港的回歸的時候
[00:01:00.000 --> 00:01:03.000]  在那個地方有第一位宣導會的宣教士
[00:01:03.000 --> 00:01:06.000]  去到一個蒙古的地方
[00:01:06.000 --> 00:01:08.000]  在一個很艱難的環境裡面
[00:01:08.000 --> 00:01:12.000]  他們很清楚神給他們的呼召和意象
[00:01:12.000 --> 00:01:15.000]  他們就開始了很多重要的方案工作
[00:01:15.000 --> 00:01:20.000]  到今天我們見到有蒙古的目者來到我們中間分享
[00:01:20.000 --> 00:01:25.000]  他們就說,經過差不多17年的時間,97年到今天
[00:01:25.000 --> 00:01:30.000]  他們教會裡面已經開始了15間教會
[00:01:30.000 --> 00:01:33.000]  另外有17個聚會點
[00:01:33.000 --> 00:01:38.000]  雖然教會都不少,但是仍然是很艱難
[00:01:38.000 --> 00:01:45.000]  因為在很多的教會,當他們要繼續工作的時候
[00:01:45.000 --> 00:01:49.000]  每一年都要向政府重新登記
[00:01:49.000 --> 00:01:54.000]  政府去到某一年,如果有什麼不認同的
[00:01:54.000 --> 00:01:57.000]  就可以隨時不讓教會繼續登記
[00:01:57.000 --> 00:02:00.000]  但到今天,每一個主日
[00:02:00.000 --> 00:02:05.000]  平均有350位弟兄姊妹,在不同的聚會點來敬拜神
[00:02:05.000 --> 00:02:08.000]  一方面我們見到當中有很多難處
[00:02:08.000 --> 00:02:12.000]  但同時見到上帝沒有忘記這個國家
[00:02:12.000 --> 00:02:15.000]  亦都是感動人,去到這個地方
[00:02:15.000 --> 00:02:18.000]  來做很重要的呼應工作
[00:02:18.000 --> 00:02:23.000]  亦都是這樣期待神繼續在這個地方來施恩
[00:02:23.000 --> 00:02:25.000]  讓很多的生命認識祂
[00:02:25.000 --> 00:02:28.000]  當聽到很多同工分享不同地方的情況的時候
[00:02:28.000 --> 00:02:32.000]  就體會一切都是聖靈的工作
[00:02:32.000 --> 00:02:35.000]  是聖靈會將意象賜給人
[00:02:35.000 --> 00:02:38.000]  或者在近處,或者在遠方
[00:02:38.000 --> 00:02:43.000]  將福音帶給很多身邊未曾認識神的人
[00:02:43.000 --> 00:02:47.000]  在這個過程裡面,當人回應神給的意象
[00:02:47.000 --> 00:02:50.000]  就領受神對我們的恩惠
[00:02:50.000 --> 00:02:53.000]  每一次都是體會到
[00:02:53.000 --> 00:02:56.000]  能夠成為施恩的一條管道
[00:02:56.000 --> 00:02:59.000]  或者說福音的出口
[00:02:59.000 --> 00:03:02.000]  是蒙恩的一個過程
[00:03:02.000 --> 00:03:05.000]  亦都在歷史裡面,很多的弟兄姊妹
[00:03:05.000 --> 00:03:09.000]  他們領受神給他們福音的意象
[00:03:09.000 --> 00:03:11.000]  亦都回應神的感動
[00:03:11.000 --> 00:03:15.000]  然後見到神的恩惠在當中彰顯出來
[00:03:15.000 --> 00:03:18.000]  今天我們讀聖經,讀到《四郎傳》第十六章的時候
[00:03:18.000 --> 00:03:22.000]  你會見到馬其頓意象,人領受意象
[00:03:22.000 --> 00:03:25.000]  亦都領受神對他們的恩惠
[00:03:25.000 --> 00:03:27.000]  我們一起來思想
[00:03:27.000 --> 00:03:33.000]  十六章,大家知道是保羅第二次宣教旅程的描述
[00:03:33.000 --> 00:03:37.000]  在當中提到保羅和西拉他們起行
[00:03:37.000 --> 00:03:40.000]  他們不是太明確的方向
[00:03:40.000 --> 00:03:42.000]  但是神一步步的帶領他們
[00:03:42.000 --> 00:03:45.000]  大家看第十六章第六節
[00:03:45.000 --> 00:03:49.000]  聖靈既然禁止他們在亞西亞傳道
[00:03:49.000 --> 00:03:53.000]  他們就走遍佛羅里加,加拉泰地區
[00:03:53.000 --> 00:03:55.000]  他們來到美西亞的邊境
[00:03:55.000 --> 00:04:00.000]  想要去被推離耶穌的靈也不許
[00:04:00.000 --> 00:04:05.000]  是兩節提及到聖靈不容許他們去某個地方
[00:04:05.000 --> 00:04:08.000]  本來他們內心裡面很想去到亞西亞省
[00:04:08.000 --> 00:04:10.000]  在當時的地域來說
[00:04:10.000 --> 00:04:14.000]  就是在南部的地方,西南的地方
[00:04:14.000 --> 00:04:16.000]  那裡很多人都未有機會認識主
[00:04:16.000 --> 00:04:18.000]  他們很想去那邊
[00:04:18.000 --> 00:04:21.000]  但是聖靈禁止他們
[00:04:21.000 --> 00:04:24.000]  聖經沒有具體說是如何禁止
[00:04:24.000 --> 00:04:28.000]  或者是有很明顯的環境上的阻礙
[00:04:28.000 --> 00:04:30.000]  他們知道他們是不可以去
[00:04:30.000 --> 00:04:34.000]  又或者是他們內心裡面很清晰的意念
