
[00:00:00.000 --> 00:00:02.960]  不僅停留在猶太人這個群體裡
[00:00:02.960 --> 00:00:06.600]  也將福音帶給非猶太人的群體
[00:00:06.600 --> 00:00:08.320]  當時說的叫做「愛邦人」
[00:00:08.320 --> 00:00:10.000]  即不是猶太人的民族
[00:00:10.000 --> 00:00:11.800]  都是叫做「愛邦人」的群體裡
[00:00:11.800 --> 00:00:13.880]  這一群不是猶太人的人
[00:00:13.880 --> 00:00:17.000]  都是上帝要被拯救救贖的對象
[00:00:17.000 --> 00:00:18.480]  我們也看到
[00:00:18.480 --> 00:00:20.400]  保羅在傳福音的過程裡面
[00:00:20.400 --> 00:00:21.880]  面對很多的困難
[00:00:21.880 --> 00:00:23.360]  不是一件容易的事
[00:00:23.360 --> 00:00:24.760]  今天我們在香港傳福音
[00:00:24.760 --> 00:00:27.000]  可以說不是很困難
[00:00:27.000 --> 00:00:29.880]  我們也沒有受過任何的借壓
[00:00:30.840 --> 00:00:32.240]  有什麼政治的壓力
[00:00:32.240 --> 00:00:33.800]  令我們不傳福音呢
[00:00:33.800 --> 00:00:34.960]  其實在香港來說
[00:00:34.960 --> 00:00:36.600]  基本上是不存在的
[00:00:36.600 --> 00:00:38.200]  我們也很自由
[00:00:38.200 --> 00:00:40.360]  可以將福音傳開
[00:00:40.360 --> 00:00:42.600]  但是在保羅的年代不是這樣
[00:00:42.600 --> 00:00:44.640]  他們要面對很多不同的困難
[00:00:44.640 --> 00:00:46.160]  猶太人的難阻
[00:00:46.160 --> 00:00:47.680]  當時政治
[00:00:47.680 --> 00:00:50.600]  羅馬帝國官員的難阻
[00:00:50.600 --> 00:00:53.000]  但是也看到上帝一路的保守
[00:00:53.000 --> 00:00:56.040]  讓福音真的不斷地傳開
[00:00:56.040 --> 00:00:57.520]  來到這裡
[00:00:57.520 --> 00:00:58.600]  第20章
[00:00:58.840 --> 00:01:02.040]  說到保羅在之前在爾忽所裡面
[00:01:02.040 --> 00:01:04.200]  在爾忽所地方傳道的時候
[00:01:04.200 --> 00:01:06.320]  經過一些騷動
[00:01:06.320 --> 00:01:07.400]  有人去起哄
[00:01:07.400 --> 00:01:10.960]  讓保羅不能繼續留在這個地方傳道
[00:01:10.960 --> 00:01:15.480]  接著保羅就離開了爾忽所
[00:01:15.480 --> 00:01:16.720]  保羅的計劃
[00:01:16.720 --> 00:01:19.400]  他的行程在這裡
[00:01:19.400 --> 00:01:20.560]  20章裡面說到
[00:01:20.560 --> 00:01:23.680]  他本來想由馬其頓阿戈亞的地方
[00:01:23.680 --> 00:01:25.640]  再回去耶路撒冷這個地方
[00:01:25.640 --> 00:01:26.920]  這個是他原來的計劃
[00:01:27.200 --> 00:01:31.520]  但是可以說最直接的路
[00:01:31.520 --> 00:01:33.680]  就是由當時在地理上
[00:01:33.680 --> 00:01:35.680]  在哥林多一個地方
[00:01:35.680 --> 00:01:37.880]  去到巴勒斯坦地的地方
[00:01:37.880 --> 00:01:41.360]  越過當時一個叫做亞西亞岸的地方
[00:01:41.360 --> 00:01:44.160]  他本來想著一條路回去
[00:01:44.160 --> 00:01:45.400]  但是因為在過程裡面
