
[00:00:00.000 --> 00:00:04.480]  我們一齊同心祈禱
[00:00:04.480 --> 00:00:09.040]  我們親愛的天父上帝 我們滿心感謝讚美祢
[00:00:09.040 --> 00:00:12.080]  我們知道祢是我們生命的主
[00:00:12.080 --> 00:00:16.480]  祢知道我們的優點 我們的缺點
[00:00:16.480 --> 00:00:20.240]  祢知道我們的限制 知道我們的軟弱
[00:00:20.240 --> 00:00:25.520]  祢就是不斷賜給我們機會 賜給我們恩典的神
[00:00:25.520 --> 00:00:30.080]  我們願意祢的說話 成為我們生活的力量
[00:00:30.080 --> 00:00:35.440]  讓我們面對各種的考驗 挑戰困難的時候
[00:00:35.440 --> 00:00:39.680]  我們都能夠看到祢 一路的引領
[00:00:39.680 --> 00:00:43.680]  祢是一路教導我們 建立我們
[00:00:43.680 --> 00:00:47.360]  求祢藉著今天講道的時間
[00:00:47.360 --> 00:00:50.240]  祝福我們每一位弟兄姊妹
[00:00:50.240 --> 00:00:54.400]  祈禱奉耶穌基督的名 阿們
[00:00:54.400 --> 00:00:55.920]  很感謝神的恩典
[00:00:55.920 --> 00:01:01.760]  也很感謝老牧師邀請我跟大家分享聖經的說話
[00:01:01.760 --> 00:01:08.880]  最近在一次學生小組課堂的報告上
[00:01:08.880 --> 00:01:11.520]  聽到有兩節經文
[00:01:11.520 --> 00:01:14.320]  很吸引我的注意
[00:01:14.320 --> 00:01:20.320]  第一段經文是在尤大書的第一章第三節
[00:01:20.320 --> 00:01:25.680]  他說 親愛的弟兄 我想盡心寫信給你們
[00:01:25.680 --> 00:01:29.280]  論我們同德救的時候
[00:01:29.280 --> 00:01:32.720]  就不能夠不寫信勸你們
[00:01:32.720 --> 00:01:37.600]  要為從前一次交付給聖徒的真道
[00:01:37.600 --> 00:01:39.680]  你要去竭力地爭辯
[00:01:39.680 --> 00:01:43.200]  第一 要為真道爭辯
[00:01:43.200 --> 00:01:45.200]  到第二段經文
[00:01:45.200 --> 00:01:48.720]  提摩太后書第二章第十四節
[00:01:48.720 --> 00:01:52.080]  你要使眾人回想這些事
[00:01:52.080 --> 00:01:54.800]  在主的面前祝福他們
[00:01:54.800 --> 00:01:58.240]  不可為言語爭辯
[00:01:58.240 --> 00:01:59.920]  這是無益處的
[00:01:59.920 --> 00:02:02.560]  只能夠敗為聽見的人
[00:02:02.560 --> 00:02:08.320]  我聽見這個報告有兩節不同的經文的時候
[00:02:08.320 --> 00:02:10.320]  我就問一個問題
[00:02:10.320 --> 00:02:15.280]  究竟在什麼情況下我們可以去爭辯
[00:02:15.280 --> 00:02:18.880]  什麼情況下是不可以去爭辯
[00:02:18.880 --> 00:02:21.680]  有一次聽到的時候
[00:02:21.680 --> 00:02:24.000]  我又聽到一段經文
[00:02:24.000 --> 00:02:27.440]  就是列王紀上的第二十二章
[00:02:27.440 --> 00:02:29.600]  就說到阿哈王
[00:02:29.600 --> 00:02:33.600]  這個是以色列王阿哈 就是北面的
[00:02:33.600 --> 00:02:39.280]  就和南面的尤大王約沙伐的故事
[00:02:39.280 --> 00:02:41.120]  另外有些領袖
[00:02:41.120 --> 00:02:42.960]  可能大家不知道這個故事是什麼
[00:02:42.960 --> 00:02:45.280]  我等一下會和你們解釋一下
[00:02:45.280 --> 00:02:48.880]  由於我講到的經文其實是很長的
[00:02:48.880 --> 00:02:55.440]  為了方便我只是選了列王紀上的第二十二章第十四節
[00:02:55.440 --> 00:02:57.760]  講到的題目就是
[00:02:57.760 --> 00:03:01.280]  我們只是為真道去爭辯
[00:03:01.280 --> 00:03:03.760]  講到的內容我怎樣處理呢
[00:03:03.760 --> 00:03:04.960]  我就分兩個部分
[00:03:04.960 --> 00:03:06.960]  第一就是經文的解釋
[00:03:06.960 --> 00:03:09.200]  第二就是生活的應用
[00:03:09.200 --> 00:03:12.880]  首先我們看看經文的解釋是怎樣
[00:03:12.880 --> 00:03:18.560]  大家應該聽過以色列王阿哈有關的兩件事
[00:03:18.560 --> 00:03:22.080]  可能你在主日學 查經班你都聽過
[00:03:22.080 --> 00:03:23.680]  第一件事就是
[00:03:23.680 --> 00:03:29.280]  以利亞和四百五十個巴力先知的比試的故事
[00:03:29.280 --> 00:03:34.160]  這件事記載在列王紀上的第十八章
[00:03:34.160 --> 00:03:41.440]  第十八章和我今天講到的經文二十二章還有幾章的故事在延續下去
[00:03:41.440 --> 00:03:44.160]  第二件事就是耶駛別
[00:03:44.160 --> 00:03:46.160]  聽過這個人名
[00:03:46.160 --> 00:03:50.480]  他用假見證去陷害一個人叫拿伯
[00:03:50.480 --> 00:03:53.840]  原因就是要奪取了他的葡萄園
[00:03:53.840 --> 00:03:58.160]  這件事記載在列王紀上的第二十一章
[00:03:58.160 --> 00:04:00.880]  這兩件事都讓我們看到
[00:04:00.880 --> 00:04:03.280]  就是和阿哈王有關係的
[00:04:03.280 --> 00:04:05.280]  阿哈是一個怎樣的人
[00:04:05.280 --> 00:04:11.200]  我們有了這個基本的概念就可以進入列王紀上的第二十二章
[00:04:11.200 --> 00:04:16.400]  列王紀上的二十二章第一節講的經文是
[00:04:16.400 --> 00:04:20.560]  阿蘭國和以色列國三年沒有戰爭
[00:04:20.560 --> 00:04:28.480]  列王紀上的記載就是阿哈娶了一個西頓王的女兒
[00:04:28.480 --> 00:04:31.680]  叫做耶駛別其實是另外一個國家
[00:04:31.680 --> 00:04:36.640]  耶駛別他就大力推動一種叫做異邦的宗教崇拜
[00:04:36.640 --> 00:04:39.600]  就是他將他鄉下的宗教帶過來
[00:04:39.600 --> 00:04:44.400]  不過以色列在政治上是相當成功的
[00:04:44.400 --> 00:04:48.400]  起碼三年和隔離的阿蘭大國沒有打過仗
[00:04:48.400 --> 00:04:52.880]  這個經文告訴我們
[00:04:52.880 --> 00:04:56.320]  阿哈娶了一個耶駛別
[00:04:56.320 --> 00:05:01.760]  耶駛別就是將他鄉下的異邦宗教帶去以色列
[00:05:01.760 --> 00:05:04.560]  但是這個危機還沒有爆
[00:05:04.560 --> 00:05:09.440]  不過另一方面的政治環境是相當不錯
[00:05:09.440 --> 00:05:11.440]  因為阿蘭沒有和他打仗
[00:05:11.440 --> 00:05:13.440]  你明白背景
[00:05:13.440 --> 00:05:18.480]  去到列王紀上的二十二章第三節就講到這件事
[00:05:18.480 --> 00:05:21.440]  這麼穩定當然要想一些事情
[00:05:21.440 --> 00:05:27.040]  阿哈王就希望奪回基列的拉門
[00:05:27.040 --> 00:05:30.000]  就是要拿回一塊他失去的地
[00:05:30.000 --> 00:05:34.000]  列王紀上二十二章第四節就記載
[00:05:34.000 --> 00:05:39.120]  以色列王阿哈就問猶大王約沙發
[00:05:39.120 --> 00:05:42.160]  你會不會一起去打基列的拉門
[00:05:42.160 --> 00:05:44.160]  他想著自己一個不夠打
[00:05:44.160 --> 00:05:48.080]  就找南面的約沙發合作
[00:05:48.080 --> 00:05:51.920]  猶大王約沙發就說好我和你出兵
[00:05:51.920 --> 00:05:54.720]  但是要先求問上帝
[00:05:54.720 --> 00:05:56.720]  很正常的
[00:05:56.720 --> 00:05:59.440]  以色列是這樣的要問耶和華的
