
[00:00:00.000 --> 00:00:06.000]  今天我們要看第四位被稱爲神人的人物
[00:00:06.000 --> 00:00:09.000]  在《獵王記》下四章九節
[00:00:09.000 --> 00:00:12.000]  《獵王記》下四章九節
[00:00:12.000 --> 00:00:14.000]  我們在這裏看見
[00:00:14.000 --> 00:00:19.000]  先知伊麗莎也被稱爲神人
[00:00:19.000 --> 00:00:20.000]  一個屬神的人
[00:00:20.000 --> 00:00:22.000]  一個合神心意的人
[00:00:22.000 --> 00:00:24.000]  一個敬畏神的人
[00:00:24.000 --> 00:00:26.000]  一個被神得者的人
[00:00:26.000 --> 00:00:29.000]  一個被神使用充滿的人
[00:00:29.000 --> 00:00:31.000]  一個表彰神的人
[00:00:31.000 --> 00:00:36.000]  伊麗莎實在是這樣的一位神人
[00:00:36.000 --> 00:00:39.000]  她有非常好的表現
[00:00:39.000 --> 00:00:43.000]  我們要按照聖經裏面所記載的
[00:00:43.000 --> 00:00:45.000]  從四方面來看
[00:00:45.000 --> 00:00:50.000]  先知伊麗莎這位神人的美好表現
[00:00:50.000 --> 00:00:51.000]  第一方面
[00:00:51.000 --> 00:00:57.000]  就是先知伊麗莎實行蛇級的道理
[00:00:57.000 --> 00:01:00.000]  實實在在的是蛇級
[00:01:00.000 --> 00:01:03.000]  有人口裏講蛇級
[00:01:03.000 --> 00:01:06.000]  但是行出來卻沒有蛇級
[00:01:06.000 --> 00:01:09.000]  先知伊麗莎不是這樣
[00:01:09.000 --> 00:01:14.000]  她實實在在地實行了蛇級之道
[00:01:14.000 --> 00:01:18.000]  在《獵王記》下第五章十六節
[00:01:18.000 --> 00:01:22.000]  給我們清清楚楚地看見
[00:01:22.000 --> 00:01:28.000]  就是當亞蘭王的元帥乃曼將軍
[00:01:28.000 --> 00:01:31.000]  得到伊麗莎醫治之後
[00:01:31.000 --> 00:01:33.000]  她非常的感謝
[00:01:33.000 --> 00:01:39.000]  所以她就帶了很豐厚的禮物來送給伊麗莎
[00:01:39.000 --> 00:01:44.000]  但是伊麗莎拒絕不肯接受
[00:01:44.000 --> 00:01:48.000]  不是因爲她輕看這些禮物
[00:01:48.000 --> 00:01:52.000]  是因爲她心裏有一個最主要的動機
[00:01:52.000 --> 00:01:55.000]  就是要神的榮耀
[00:01:55.000 --> 00:01:57.000]  她不要乃曼
[00:01:57.000 --> 00:02:01.000]  以爲是乃曼自己的地位和金錢
[00:02:01.000 --> 00:02:05.000]  所以是依侯華神依着她
[00:02:05.000 --> 00:02:07.000]  伊麗莎要乃曼知道
[00:02:07.000 --> 00:02:10.000]  依侯華神所以依着她
[00:02:10.000 --> 00:02:13.000]  完全是出於神的恩典
[00:02:13.000 --> 00:02:16.000]  不是因爲乃曼的地位和金錢
[00:02:16.000 --> 00:02:21.000]  如果伊麗莎接受了乃曼的豐厚禮物
[00:02:21.000 --> 00:02:24.000]  就很容易是乃曼認爲
[00:02:24.000 --> 00:02:29.000]  她所以的醫治是出於她的地位和金錢
[00:02:29.000 --> 00:02:34.000]  你看伊麗莎她全心全意要榮耀神
