
[00:00:00.000 --> 00:00:03.760]  我們今天一起思想是提多書的第二章
[00:00:03.760 --> 00:00:10.240]  請我們打開唐用聖經的1803頁
[00:00:10.240 --> 00:00:11.680]  剛才我們讀了和合本
[00:00:11.680 --> 00:00:15.240]  但我提到的時候可能會比較多用新譯本
[00:00:15.240 --> 00:00:17.720]  所以大家打開唐用聖經
[00:00:17.720 --> 00:00:21.440]  就會看到左手邊的新譯本是我用的
[00:00:21.440 --> 00:00:23.760]  你就不會發覺有時我用的字眼
[00:00:23.760 --> 00:00:25.800]  好像跟剛才所讀的有些不同
[00:00:25.800 --> 00:00:26.480]  好嗎?
[00:00:26.480 --> 00:00:29.560]  1803頁
[00:00:29.560 --> 00:00:32.400]  提多書的第二章
[00:00:32.400 --> 00:00:36.640]  我們北宣家的主題是使命教會
[00:00:36.640 --> 00:00:38.400]  看見了,使命教會
[00:00:38.400 --> 00:00:40.200]  使命的人生,很有意思的
[00:00:40.200 --> 00:00:44.200]  使命教會不只是屬於小牧師的
[00:00:44.200 --> 00:00:47.440]  使命教會不只是屬於一班執事的
[00:00:47.440 --> 00:00:51.760]  使命教會就是有一班使命人生的弟兄姊妹一起
[00:00:51.760 --> 00:00:53.080]  就是使命的教會
[00:00:53.080 --> 00:00:55.600]  如果我們沒有使命人生的弟兄姊妹
[00:00:55.600 --> 00:00:59.520]  只會搞一些活動,是沒有用的
[00:00:59.520 --> 00:01:01.080]  使命人生是怎樣的呢?
[00:01:01.080 --> 00:01:03.040]  今天我們看提多書
[00:01:03.040 --> 00:01:05.960]  提多書就是提到使命人生
[00:01:05.960 --> 00:01:09.000]  一個很重要的真理原則
[00:01:09.000 --> 00:01:12.600]  剛才讀提多書,我想你也會留意到
[00:01:12.600 --> 00:01:15.040]  聖經對很多不同類型的人
[00:01:15.040 --> 00:01:18.440]  都有所提醒和教導
[00:01:18.440 --> 00:01:20.960]  如果深水清就有五種
[00:01:20.960 --> 00:01:26.000]  年長的弟兄、年長的姊妹、年輕的姊妹
[00:01:26.000 --> 00:01:30.000]  年輕的弟兄和道僕
[00:01:30.000 --> 00:01:31.680]  今天我們時間很有限
[00:01:31.680 --> 00:01:33.840]  沒辦法仔細地講每一種
[00:01:33.840 --> 00:01:36.400]  也講得很仔細地講每一點
[00:01:36.400 --> 00:01:39.240]  但是我希望大家起碼記住一件事
[00:01:39.240 --> 00:01:40.400]  離開的時候
[00:01:40.400 --> 00:01:43.800]  一個使命的人生,透過這幾種人
[00:01:43.800 --> 00:01:45.680]  我聖經對他們的教導
[00:01:45.680 --> 00:01:49.640]  都有同一個模式
[00:01:49.640 --> 00:01:51.040]  這個模式你一定要記得
[00:01:51.040 --> 00:01:52.360]  因為這個模式
[00:01:52.360 --> 00:01:54.040]  應用在你和我身上
[00:01:54.040 --> 00:01:55.960]  是一個很重要的真理
[00:01:55.960 --> 00:01:57.400]  這個模式是什麼呢?
[00:01:57.400 --> 00:02:00.280]  就是當了基督徒之後
[00:02:00.280 --> 00:02:04.400]  他的操守和行為是有所不同的
[00:02:04.400 --> 00:02:06.240]  什麼叫做使命人生?
[00:02:06.240 --> 00:02:08.040]  使命人生簡單來說就是
[00:02:08.040 --> 00:02:10.760]  一個人不甘於平庸
[00:02:10.760 --> 00:02:13.960]  使命人生不是你要做一個老闆
[00:02:13.960 --> 00:02:15.640]  或者甚至說熟悉一點
[00:02:15.640 --> 00:02:17.360]  我不做這些,我熟悉一點
[00:02:17.360 --> 00:02:19.400]  我要去做宣教士
[00:02:19.400 --> 00:02:21.440]  不是要做什麼大事
[00:02:21.440 --> 00:02:24.240]  使命人生就是在你每一天的生活裡
[00:02:24.240 --> 00:02:25.800]  不甘於平庸
[00:02:25.800 --> 00:02:26.960]  什麼叫不甘於平庸?
[00:02:26.960 --> 00:02:28.360]  兩個方向,聖經告訴我們
[00:02:28.360 --> 00:02:29.840]  待會我們看到
[00:02:29.840 --> 00:02:32.240]  就是人人都會犯錯誤
[00:02:32.240 --> 00:02:34.320]  我偏偏就不犯
[00:02:34.320 --> 00:02:36.640]  對自己有要求
[00:02:36.640 --> 00:02:38.120]  人人都是這樣過日子的
[00:02:38.120 --> 00:02:39.240]  隨便亂來
[00:02:39.240 --> 00:02:40.240]  但我不是
[00:02:40.240 --> 00:02:41.400]  我要更上一層樓
[00:02:41.400 --> 00:02:42.840]  每天提醒我自己
[00:02:42.840 --> 00:02:44.360]  要更上一層樓的美德
[00:02:44.360 --> 00:02:45.480]  這個就是使命人生
[00:02:45.480 --> 00:02:47.200]  就是這麼簡單
[00:02:47.200 --> 00:02:50.360]  如果你理解或者我們比較熟悉
[00:02:50.360 --> 00:02:54.280]  什麼叫做教目書信
[00:02:54.280 --> 00:02:56.240]  教目書信就是聖經裡面
[00:02:56.240 --> 00:02:57.800]  新約裡面三卷的書
[00:02:57.800 --> 00:02:59.800]  通常我們叫做教目書信的
[00:02:59.800 --> 00:03:01.760]  就是提摩太前書
[00:03:01.760 --> 00:03:03.520]  不是,是提摩太前書
[00:03:03.520 --> 00:03:04.600]  提摩太後書
[00:03:04.600 --> 00:03:05.960]  和提多書
