
[00:00:00.000 --> 00:00:07.280]  好 今天我們會一起研讀約翰二書
[00:00:07.280 --> 00:00:11.960]  為什麼選擇這篇訊息來做猜拳聯會呢
[00:00:11.960 --> 00:00:16.440]  有原因的 第一 約翰二書用兩分鐘就讀完了
[00:00:16.440 --> 00:00:21.200]  在六十六卷書卷當中 用兩分鐘讀完一個書卷
[00:00:21.200 --> 00:00:23.360]  是不是很有滿足感呢 大家
[00:00:23.360 --> 00:00:28.720]  第二 我從未在柴灣堂查書家說過約翰二書
[00:00:28.720 --> 00:00:33.560]  所以值得我自己去學習
[00:00:33.560 --> 00:00:39.280]  第三 從約翰二書當中 大家會看到最重要的一點
[00:00:39.280 --> 00:00:43.160]  就是三一臣在聖教會的工作
[00:00:43.160 --> 00:00:49.320]  亦在幫助整體教會如何活出上主的心意
[00:00:49.320 --> 00:00:52.720]  我們一起研讀約翰二書
[00:00:52.720 --> 00:00:56.520]  約翰二書是一個很典型的書信
[00:00:56.520 --> 00:01:03.240]  在第一世紀的書信格式當中分三部分
[00:01:03.240 --> 00:01:06.040]  第一 有自信人和修信人
[00:01:06.040 --> 00:01:09.520]  寫信的 相信是使徒約翰
[00:01:09.520 --> 00:01:14.080]  他用長老的身份 一個崗位
[00:01:14.080 --> 00:01:18.720]  寫給誰呢 寫給蒙愛的太太和兒女
[00:01:18.720 --> 00:01:20.440]  都是一個隱喻
[00:01:20.440 --> 00:01:23.960]  一般解作是教會和聖徒
[00:01:23.960 --> 00:01:26.800]  作者寫給當時的教會
[00:01:26.800 --> 00:01:28.480]  一篇很流行的書信
[00:01:28.480 --> 00:01:31.000]  當中有文安 這是第一部分
[00:01:31.000 --> 00:01:32.440]  一子三節
[00:01:32.440 --> 00:01:35.440]  四至十一節是講述內容
[00:01:35.440 --> 00:01:41.560]  約翰希望教會學習真理
[00:01:41.560 --> 00:01:44.720]  最後有個結語 十二十三節
[00:01:44.720 --> 00:01:46.600]  還有最後的祝福
[00:01:46.600 --> 00:01:50.200]  是一個很典型的書信格式
[00:01:50.200 --> 00:01:54.240]  在這裡如何理解這個書信呢
[00:01:54.240 --> 00:01:57.480]  在內容當中的第七節
[00:01:57.480 --> 00:01:59.480]  你會看到有個「因為」這兩個字
[00:01:59.480 --> 00:02:01.480]  這個字很重要
