
[00:00:00.000 --> 00:00:04.000]  好,我們一起思想上帝的話語
[00:00:04.000 --> 00:00:07.000]  有一個故事是這樣的
[00:00:07.000 --> 00:00:12.000]  有一次有一個人在街上看到有人排長龍
[00:00:12.000 --> 00:00:17.000]  父母教他排長龍是怎樣的呢?
[00:00:17.000 --> 00:00:20.000]  先排好,不要執輸
[00:00:20.000 --> 00:00:24.000]  排好之後就知道要賣什麼
[00:00:24.000 --> 00:00:28.000]  問前面的朋友賣什麼
[00:00:28.000 --> 00:00:37.000]  那個人一念而滑,幾秒就明白的樣子
[00:00:37.000 --> 00:00:42.000]  就告訴他,這裡賣歌
[00:00:42.000 --> 00:00:48.000]  原來他排隊不是賣東西
[00:00:48.000 --> 00:00:52.000]  是教會排隊去崇拜的地方
[00:00:52.000 --> 00:00:58.000]  搞錯了,中還是英?香港就是中英
[00:00:58.000 --> 00:01:01.000]  所以我們的音有點像
[00:01:01.000 --> 00:01:06.000]  但如果是英文,就要想起門徒多瑪
[00:01:06.000 --> 00:01:11.000]  他遇見復活的主說了一句很重要的宣告
[00:01:11.000 --> 00:01:14.000]  My Lord and My God,我的主我的神
[00:01:14.000 --> 00:01:16.000]  是一個很神學性的宣告
[00:01:16.000 --> 00:01:18.000]  這個是我的主我的神
[00:01:18.000 --> 00:01:27.000]  但如果你說中文,就要想起賣主
[00:01:27.000 --> 00:01:36.000]  這個人的背影應該是拋起一些銀幣的
[00:01:36.000 --> 00:01:39.000]  那個就是很出名的加略人猶大
[00:01:39.000 --> 00:01:42.000]  也是門徒,剛才說多瑪是門徒
[00:01:42.000 --> 00:01:48.000]  今天我們要思想這兩個人物圍繞著同一段經文
[00:01:48.000 --> 00:01:53.000]  這兩個人物在十二章的經文中
[00:01:53.000 --> 00:01:56.000]  我曾經說過,分享最近的最大誡命
[00:01:56.000 --> 00:02:00.000]  如果說最大誡命,盡心盡性盡義盡力愛主你的神
[00:02:00.000 --> 00:02:04.000]  接著的經文,今天展示兩個人物
[00:02:04.000 --> 00:02:11.000]  最能夠展示到全心全意的愛神
[00:02:11.000 --> 00:02:14.000]  也是我們真正的信
[00:02:14.000 --> 00:02:18.000]  簡單的看,結構很簡單
[00:02:18.000 --> 00:02:22.000]  其實馬克福音,一個福音描述十六章聖經
[00:02:22.000 --> 00:02:27.000]  其實一至十章是說耶穌傳道的工作
[00:02:27.000 --> 00:02:34.000]  他的職事,說的是傳福音,醫病,講鬼,很多大能
[00:02:34.000 --> 00:02:40.000]  但到了十一章,就在耶路撒冷被人群被羞害
[00:02:40.000 --> 00:02:45.000]  進入了如虎騎鷹的中間階段,朝向接下來的受苦節和復活節
[00:02:45.000 --> 00:02:51.000]  事實上,我們在分享的時候,就像跟著耶穌的腳踏進耶路撒冷
[00:02:51.000 --> 00:02:53.000]  正在準備
[00:02:53.000 --> 00:02:56.000]  上次分享經文,就在他進入耶路撒冷
[00:02:56.000 --> 00:03:00.000]  有很多教導,甚至跟不同的人辯論爭論的時間
[00:03:00.000 --> 00:03:03.000]  分享到最大誡命
[00:03:03.000 --> 00:03:07.000]  這是其中一個核心的重要教導
[00:03:07.000 --> 00:03:13.000]  相信跟隨主的人,最大誡命就是盡心盡性盡義盡力愛主理實
[00:03:13.000 --> 00:03:15.000]  其次就是愛人如己
[00:03:15.000 --> 00:03:21.000]  接著在十二章經文打後,我們看到進入另一個段落
[00:03:21.000 --> 00:03:28.000]  他在他要受死,被賣,被殺的經文之先的段落
[00:03:28.000 --> 00:03:32.000]  其實是展示他是神的兒子身份
[00:03:32.000 --> 00:03:36.000]  而人作門徒,跟隨主的人,是怎樣的意義
[00:03:36.000 --> 00:03:41.000]  所以我們今天圍繞十四章經文,講剛才所分享的兩人物
[00:03:41.000 --> 00:03:43.000]  兩人物,其實是在說什麼呢?
[00:03:43.000 --> 00:03:48.000]  這個PowerPoint就已經完結了我要講的訊息的重點
[00:03:48.000 --> 00:03:52.000]  完全奉獻為主的那位女人
[00:03:52.000 --> 00:03:55.000]  她的生命找到價值
[00:03:55.000 --> 00:04:00.000]  完全出賣主耶穌為己的猶大
[00:04:00.000 --> 00:04:03.000]  她的生存只有價格
[00:04:03.000 --> 00:04:11.000]  所以基本上,經文最想講的就是完全奉獻和出賣
[00:04:11.000 --> 00:04:15.000]  只有二選一,今天的訊息是二選一
[00:04:15.000 --> 00:04:21.000]  我們先看一下,第一個奉獻是怎樣
[00:04:21.000 --> 00:04:23.000]  你熟悉也好,不熟悉也好
[00:04:23.000 --> 00:04:27.000]  其實在幾段的科幻書都有記載或相似
[00:04:27.000 --> 00:04:32.000]  甚至在約翰福音,似乎是在說瑪利亞的女人
[00:04:32.000 --> 00:04:36.000]  我們圍繞著馬可福音去看的時候
[00:04:36.000 --> 00:04:41.000]  單數節就請弟兄讀,雙數節就請姐妹讀
[00:04:41.000 --> 00:04:43.000]  先請弟兄預備起
[00:04:43.000 --> 00:04:49.000]  耶穌在伯大利長大麻風的西門家裡坐直的時候
[00:04:49.000 --> 00:04:54.000]  有一個女人拿著一玉瓶,自貴的珍拿達向高來
[00:04:54.000 --> 00:04:58.000]  打破玉瓶,飄在耶穌的頭上
[00:04:58.000 --> 00:05:05.000]  有幾個人心中很不喜悅,說:何用這兩黃米的金高呢?
[00:05:05.000 --> 00:05:10.000]  金高可以賣三十多兩銀子,周濟窮人
[00:05:10.000 --> 00:05:13.000]  他們就向那女人生氣
[00:05:13.000 --> 00:05:21.000]  耶穌說:求她吧,為甚麼難為她呢?她在我身上做的是一件美事
[00:05:21.000 --> 00:05:24.000]  因為常有窮人和你們同在
[00:05:24.000 --> 00:05:30.000]  要向他們行善,隨時都可以,只是你們不常有我
[00:05:30.000 --> 00:05:33.000]  她所做的,是盡她所能的
[00:05:33.000 --> 00:05:39.000]  她是為我安葬的事,打破玉瓶,飄在我身上
