
[00:00:00.000 --> 00:00:03.560]  信愛家的弟兄姊妹 早安 平安 主日平安
[00:00:03.560 --> 00:00:06.440]  來到這裡 雖然我第一次來
[00:00:06.440 --> 00:00:10.320]  昨晚來了 第一次來主日崇拜港島
[00:00:10.320 --> 00:00:12.760]  但是有很多熟悉的面孔
[00:00:12.760 --> 00:00:19.040]  周牧師 施母 方牧師 游牧師 月常 Yumi
[00:00:19.040 --> 00:00:23.680]  信愛家就想起你們無論在區議員會
[00:00:23.680 --> 00:00:30.080]  在警察會 房閣石 社福都有很多很美麗的奉獻
[00:00:30.080 --> 00:00:33.200]  看到你們很參與在其中
[00:00:33.200 --> 00:00:37.080]  雖然第一次見大家 好像很陌生
[00:00:37.080 --> 00:00:42.280]  但是卻是在神的宣導家當中我們一起共建
[00:00:42.280 --> 00:00:45.680]  為信愛家獻上衷心的感謝
[00:00:45.680 --> 00:00:50.160]  知道昨晚和周牧師談了一段長時間
[00:00:50.160 --> 00:00:55.000]  知道你們兩年後就是六十週年 走過很長的路
[00:00:55.000 --> 00:00:59.360]  信愛家都獻上感恩 崇拜後又有AGM
[00:00:59.360 --> 00:01:03.600]  其中的議題是可能擴堂
[00:01:03.600 --> 00:01:08.080]  又知道堂會經濟好像有些狀況
[00:01:08.080 --> 00:01:11.080]  不過我們很深信神的應許
[00:01:11.080 --> 00:01:14.840]  我的神必照他榮耀的豐富
[00:01:14.840 --> 00:01:19.960]  在耶穌基督裡 使你們一切所需用的都充足
[00:01:19.960 --> 00:01:22.480]  神是很高很豐富的神
[00:01:22.480 --> 00:01:27.520]  我們有欠缺的時候 祂會供應我們一切的基本需要
[00:01:27.520 --> 00:01:32.040]  包括神會使我們堂會 整個信愛家
[00:01:32.040 --> 00:01:36.680]  面對不同的事情都能夠應難而上
[00:01:36.680 --> 00:01:41.480]  好 說完隱形的 我又說到這裡
[00:01:41.480 --> 00:01:46.240]  上年我知道我成為候任總幹事之後
[00:01:46.240 --> 00:01:51.240]  我也有一個心願 正如我昨晚所說
[00:01:51.240 --> 00:01:54.120]  作為外來港元有一個很大的優勢
[00:01:54.120 --> 00:01:56.880]  就是我可以帶著兩三四篇講章
[00:01:56.880 --> 00:02:00.040]  走遍全港九新界一百二十一間宣導會
[00:02:00.040 --> 00:02:03.720]  大家都知道的 幾位不會追蹤我的
[00:02:03.720 --> 00:02:08.280]  我的IG也不會發文 所以你們也不知道我去到哪裡
[00:02:08.280 --> 00:02:12.040]  不過我的心願 大家知道宣導會是宣導精神
[00:02:12.040 --> 00:02:16.120]  除了說任務 使命承擔 說Deeper Life
[00:02:16.120 --> 00:02:19.640]  使命盡心的去認識耶穌基督
[00:02:19.640 --> 00:02:22.640]  好像葡萄樹與枝子 緊靠著祂
[00:02:22.640 --> 00:02:25.400]  所以我的心願 求主幫助我
[00:02:25.400 --> 00:02:30.160]  在繁忙的聯會工作的時候 可能面對很多行政人士
[00:02:30.160 --> 00:02:33.840]  我都很盼望去到每一間宣導會 堂會 宣講的時候
